PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PF,NBA_FANTASY_PTS,DD2,TD3,PLUS_MINUS
A.C. Green,DAL,34,82,20,62,32.3,7.3,3.0,6.5,45.3,0.0,0.0,0.0,1.4,2.0,71.6,2.7,5.5,8.1,1.5,0.8,1.0,0.3,1.9,22.4,14,0,-4.6
Aaron McKie,PHI,25,81,34,47,22.4,4.1,1.7,4.7,36.5,0.1,0.8,19.0,0.5,0.7,76.4,0.7,2.1,2.9,2.2,0.9,1.2,0.2,2.0,14.0,0,0,0.3
Aaron Williams,SEA,26,65,49,16,11.6,4.6,1.8,3.4,52.5,0.0,0.0,0.0,1.0,1.3,77.6,0.8,1.5,2.3,0.2,0.8,0.3,0.6,1.8,9.5,0,0,1.0
Adam Keefe,UTA,28,80,61,19,25.6,7.8,2.9,5.3,54.0,0.0,0.0,0.0,2.0,2.5,81.0,2.2,3.2,5.5,1.1,0.9,0.7,0.3,2.2,18.0,5,0,5.4
Adonal Foyle,GSW,23,55,9,46,12.0,3.0,1.3,3.1,40.6,0.0,0.0,0.0,0.5,1.1,43.5,1.3,2.0,3.3,0.3,0.9,0.2,0.9,1.7,10.0,0,0,-3.1
Adrian Caldwell,DAL,31,1,1,0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
Alan Henderson,ATL,25,69,42,27,29.1,14.3,5.3,10.9,48.5,0.0,0.1,50.0,3.7,5.6,65.2,2.9,3.5,6.4,1.1,1.6,0.6,0.5,2.5,25.3,12,0,1.3
Allan Houston,NYK,27,82,43,39,34.7,18.4,7.0,15.6,44.7,1.0,2.6,38.5,3.5,4.1,85.1,0.5,2.8,3.3,2.6,2.4,0.8,0.3,2.5,27.0,1,0,1.6
Allen Iverson,PHI,23,80,31,49,39.4,22.0,8.1,17.6,46.1,0.9,2.9,29.8,4.9,6.7,72.9,1.1,2.6,3.7,6.2,3.1,2.2,0.3,2.5,40.2,12,0,-1.2
Alonzo Mourning,MIA,28,58,39,19,33.4,19.3,7.0,12.6,55.1,0.0,0.0,0.0,5.3,8.0,66.5,3.3,6.3,9.6,0.9,3.1,0.7,2.2,3.6,37.9,24,0,7.4
