PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PF,NBA_FANTASY_PTS,DD2,TD3,PLUS_MINUS
A.C. Green,DAL,35,50,19,31,923,9.6,4.2,10.0,42.2,0.0,0.3,0.0,1.2,2.0,57.7,3.2,5.7,8.9,1.0,0.7,1.1,0.3,2.7,25.2,4,0,-3.2
Aaron McKie,PHI,26,50,28,22,959,9.0,3.6,8.9,40.1,0.2,1.2,19.4,1.7,2.3,71.0,1.0,4.2,5.3,3.8,2.1,2.4,0.1,3.4,26.2,0,0,-2.5
Aaron Williams,SEA,27,40,19,21,459,12.4,4.1,9.6,42.3,0.0,0.1,0.0,4.2,5.8,73.0,4.2,5.8,10.0,1.7,2.4,1.1,1.9,5.9,33.6,0,0,-7.7
Adam Keefe,UTA,29,44,32,12,643,9.7,3.1,6.9,45.2,0.0,0.2,0.0,3.5,5.0,69.7,2.9,5.1,8.0,1.6,1.8,0.9,0.7,3.5,24.5,0,0,2.9
Adonal Foyle,GSW,24,44,16,28,612,7.6,3.1,7.1,43.0,0.0,0.0,0.0,1.5,3.0,49.0,4.7,6.8,11.4,1.1,1.8,0.9,2.5,5.3,31.3,1,0,-2.5
Adonis Jordan,MIL,28,4,2,2,19,11.6,3.9,7.7,50.0,0.0,3.9,0.0,3.9,7.7,50.0,0.0,0.0,0.0,5.8,3.9,5.8,0.0,0.0,33.9,0,0,-31.0
Al Harrington,IND,19,21,11,10,159,10.2,4.1,12.7,32.1,0.0,1.1,0.0,2.0,3.4,60.0,4.5,4.3,8.8,1.1,2.5,0.9,0.5,5.9,24.1,0,0,-5.7
Alan Henderson,ATL,26,38,22,16,1142,14.9,5.9,13.3,44.2,0.0,0.0,0.0,3.2,4.7,67.1,3.2,4.7,7.9,0.9,1.8,1.0,0.6,3.0,28.8,4,0,-2.2
Allan Houston,NYK,28,50,27,23,1814,16.1,5.8,13.9,41.8,1.1,2.8,40.7,3.3,3.9,86.2,0.4,2.6,3.0,2.7,2.6,0.7,0.2,2.3,23.9,0,0,1.2
Allen Iverson,PHI,24,48,28,20,1991,23.2,7.9,19.1,41.2,1.0,3.6,29.1,6.4,8.6,75.1,1.2,3.1,4.3,4.0,3.0,2.0,0.1,1.8,37.7,4,0,3.4
Alonzo Mourning,MIA,29,46,32,14,1755,18.9,6.6,13.0,51.2,0.0,0.0,0.0,5.7,8.7,65.2,3.4,7.0,10.4,1.5,2.9,0.7,3.7,3.3,44.0,29,0,7.0
Alvin Sims,PHX,24,4,2,2,25,15.7,5.7,14.3,40.0,1.4,1.4,100,2.9,7.1,40.0,4.3,1.4,5.7,7.1,8.6,2.9,0.0,2.9,33.3,0,0,-17.1
Alvin Williams,TOR,24,50,23,27,1051,8.5,3.3,8.1,40.1,0.5,1.4,33.3,1.5,1.8,84.6,0.7,2.2,2.8,4.5,1.9,1.7,0.4,3.2,23.1,0,0,-2.4
Andrae Patterson,MIN,23,35,17,18,284,14.5,5.5,12.3,44.3,0.0,0.6,0.0,3.6,4.6,77.8,3.8,4.4,8.2,1.9,2.8,2.4,0.9,7.9,34.3,0,0,-2.5
Andrew DeClercq,CLE,26,47,20,27,1102,12.1,4.5,9.0,50.0,0.0,0.0,0.0,3.1,4.6,67.4,3.4,4.9,8.3,1.0,1.8,1.6,0.9,5.3,29.6,2,0,-1.6
Andrew Gaze,SAS,33,19,16,3,56,13.4,5.1,16.0,32.0,3.2,10.2,31.3,0.0,0.0,0.0,1.3,1.9,3.2,3.8,2.6,1.3,0.6,4.5,26.3,0,0,20.5
Andrew Lang,CHI,33,21,6,15,386,7.5,3.0,9.2,32.3,0.0,0.0,0.0,1.5,2.1,69.6,3.1,5.6,8.7,1.2,1.6,0.5,1.1,4.0,22.9,1,0,-5.2
Anfernee Hardaway,ORL,27,50,33,17,1946,14.6,5.6,13.3,42.0,0.7,2.6,28.6,2.8,3.9,70.6,1.4,3.9,5.3,4.9,2.8,2.1,0.4,2.1,33.0,9,0,2.4
Antawn Jamison,GSW,23,47,21,26,1058,15.3,6.1,13.4,45.2,0.1,0.3,30.0,3.1,5.2,58.8,4.5,5.8,10.2,1.2,2.3,1.3,0.5,3.5,32.5,7,0,-1.6
Anthony Avent,UTA,29,5,4,1,45,7.2,3.2,10.5,30.8,0.0,0.0,0.0,0.8,1.6,50.0,6.4,3.2,9.7,0.8,5.6,1.6,0.0,4.8,19.2,0,0,7.2
Anthony Johnson,ATL,24,49,31,18,886,9.9,3.7,9.1,40.4,0.2,0.8,26.3,2.3,3.3,69.5,0.7,2.4,3.0,4.3,2.6,1.4,0.3,2.7,22.6,0,0,-1.7
Anthony Miller,HOU,27,29,18,11,248,10.2,4.1,8.7,46.7,0.0,0.1,0.0,2.0,3.2,63.6,3.8,6.0,9.7,1.0,1.3,1.0,0.7,4.9,27.3,0,0,3.9
Anthony Parker,PHI,24,2,2,0,3,25.1,12.6,12.6,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.1,0,0,12.6
Anthony Peeler,MIN,29,28,14,14,809,12.0,4.6,12.1,37.9,1.5,5.1,29.8,1.3,1.8,73.2,1.3,2.4,3.7,3.5,1.7,1.6,0.3,2.7,25.5,0,0,2.3
Antoine Carr,HOU,37,18,10,8,152,11.1,5.0,12.3,40.4,0.0,0.2,0.0,1.2,1.7,71.4,2.1,5.2,7.3,2.1,2.1,0.2,2.4,7.3,28.8,0,0,-2.6
Antoine Walker,BOS,22,42,16,26,1550,18.2,7.0,17.1,41.2,1.5,4.1,36.9,2.6,4.7,55.9,2.5,5.9,8.3,3.0,2.8,1.5,0.7,3.3,36.3,14,0,-4.6
Antonio Daniels,SAS,24,47,36,11,614,12.9,4.9,10.7,45.4,0.3,1.0,29.4,2.9,3.8,75.4,0.8,2.4,3.2,6.2,2.6,1.8,0.4,2.3,29.8,0,0,6.2
Antonio Davis,IND,30,49,33,16,1271,13.1,4.6,9.9,47.1,0.0,0.0,0.0,3.8,5.4,70.3,3.3,6.5,9.7,0.9,1.4,0.6,1.2,3.9,30.2,4,0,0.2
Antonio Lang,CLE,27,10,5,5,65,7.2,2.2,3.3,66.7,0.0,0.0,0.0,2.8,5.0,55.6,3.3,5.5,8.8,0.6,2.2,1.1,0.6,7.2,21.4,0,0,-16.0
Antonio McDyess,DEN,24,50,14,36,1937,19.7,7.7,16.4,47.1,0.0,0.2,11.1,4.3,6.3,68.0,3.1,6.9,10.0,1.5,2.6,1.4,2.1,3.3,41.9,28,0,-4.7
Armen Gilliam,MIL,35,34,17,17,669,15.1,5.4,12.0,45.3,0.0,0.1,0.0,4.3,5.4,78.2,1.8,5.0,6.8,1.0,1.9,1.2,0.6,2.6,28.3,0,0,-1.2
Arvydas Sabonis,POR,34,50,35,15,1349,16.2,6.2,12.8,48.5,0.2,0.6,29.2,3.6,4.7,77.1,2.3,8.1,10.5,3.2,2.3,0.9,1.7,3.9,39.0,15,0,4.2
Austin Croshere,IND,24,27,21,6,250,13.3,4.6,10.8,42.7,1.2,4.2,27.6,2.9,3.3,87.0,2.3,4.2,6.5,1.4,3.3,1.0,1.2,4.6,26.4,0,0,-8.5
Avery Johnson,SAS,34,50,37,13,1673,10.5,4.7,9.9,47.3,0.0,0.3,8.3,1.1,1.9,56.8,0.5,2.1,2.5,7.9,2.4,1.1,0.2,2.2,27.0,8,0,6.4
B.J. Armstrong,ORL,31,32,18,14,356,10.6,4.0,8.9,45.5,0.7,1.5,46.7,1.8,2.1,85.7,0.2,3.7,3.9,6.2,2.5,1.2,0.0,3.1,25.7,0,0,-3.1
Ben Davis,NYK,26,8,5,3,20,30.2,12.4,30.2,41.2,0.0,0.0,0.0,5.3,10.7,50.0,16.0,3.6,19.5,5.3,1.8,0.0,0.0,7.1,59.8,0,0,12.4
Ben Wallace,WAS,24,46,17,29,1230,8.0,3.3,5.8,57.6,0.0,0.0,0.0,1.4,3.9,35.6,4.0,7.2,11.2,0.5,1.1,1.5,2.6,3.2,33.5,6,0,0.4
Benoit Benjamin,PHI,34,6,2,4,34,4.2,2.1,7.4,28.6,0.0,0.0,0.0,0.0,0.0,0.0,3.2,5.3,8.5,1.1,3.2,0.0,0.0,6.4,12.8,0,0,-1.1
Bill Curley,MIN,27,35,20,15,373,7.5,2.8,6.9,40.3,0.1,0.5,20.0,1.8,2.1,86.4,1.9,3.0,4.9,1.4,1.0,1.6,0.9,8.0,22.0,0,0,6.2
Bill Wennington,CHI,36,38,10,28,450,11.4,5.0,14.3,34.8,0.1,0.1,100,1.4,1.8,81.8,1.6,4.7,6.3,1.4,1.4,1.0,1.0,6.3,25.8,0,0,-6.6
Billy Owens,SEA,30,21,9,12,451,13.0,5.2,13.2,39.4,0.4,0.9,45.5,2.2,2.8,80.0,2.8,3.6,6.4,3.0,2.6,1.0,0.3,3.0,26.4,0,0,-2.0
Bimbo Coles,GSW,31,48,19,29,1274,12.9,5.2,11.7,44.2,0.2,0.7,24.0,2.3,2.9,82.2,0.6,2.7,3.3,6.3,2.3,1.3,0.3,3.2,28.7,1,0,-1.2
