PLAYER,TEAM,AGE,Restricted Area FGM,Restricted Area FGA,Restricted Area FG PCT,In The Paint (Non-RA) FGM,In The Paint (Non-RA) FGA,In The Paint (Non-RA) FG PCT,Mid-Range FGM,Mid-Range FGA,Mid-Range FG PCT,Left Corner 3 FGM,Left Corner 3 FGA,Left Corner 3 FG PCT,Right Corner 3 FGM,Right Corner 3 FGA,Right Corner 3 FG PCT,Corner 3 FGM,Corner 3 FGA,Corner 3 FG PCT,Above the Break 3 FGM,Above the Break 3 FGA,Above the Break 3 FG PCT
AJ Price,IND,23,0.7,1.2,58.5,0.3,0.7,36.8,0.6,1.4,42.9,0.1,0.4,27.8,0.1,0.5,25.0,0.2,0.9,22.2,0.9,2.5,37.0
Aaron Brooks,HOU,25,2.0,4.2,48.4,0.8,1.8,45.7,1.6,3.7,42.0,0.2,0.5,50.0,0.3,0.5,47.6,0.5,1.0,50.0,2.1,5.4,38.4
Aaron Gray,NOH,25,0.9,1.6,57.7,0.3,0.8,45.0,0.1,0.3,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Acie Law,CHI,25,1.0,1.7,57.8,0.1,0.4,25.0,0.1,0.2,33.3,0.1,0.1,100,0.1,0.3,25.0,0.2,0.4,50.0,0.1,0.5,27.3
Adam Morrison,LAL,25,0.2,0.3,60.0,0.4,0.8,54.5,0.3,1.0,28.1,0.1,0.3,25.0,0.0,0.3,0.0,0.1,0.6,16.7,0.1,0.4,30.8
Al Harrington,NYK,30,3.0,5.0,60.2,0.3,0.9,34.4,0.9,2.7,34.9,0.3,0.9,33.9,0.2,0.5,38.2,0.5,1.4,35.7,1.5,4.4,33.8
Al Horford,ATL,24,2.9,4.0,71.0,1.4,3.2,43.8,1.5,3.2,46.1,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,-,0.0,0.0,0.0
Al Jefferson,MIN,25,3.3,4.8,67.8,2.0,4.0,49.7,2.1,6.0,35.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Al Thornton,WAS,26,2.2,3.5,63.7,0.4,1.2,33.7,1.5,4.0,38.4,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,-,0.1,0.4,35.7
Alando Tucker,MIN,26,0.7,1.2,61.1,0.1,0.5,28.6,0.2,0.5,42.9,0.0,0.3,0.0,0.0,0.2,0.0,0.0,0.5,0.0,0.1,0.3,25.0
Alexis Ajinca,CHA,22,0.7,0.7,100,0.0,0.5,0.0,0.2,0.7,25.0,-,-,-,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Allen Iverson,PHI,35,1.1,2.3,47.7,0.7,1.7,39.6,2.8,6.4,43.3,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,-,0.3,0.8,34.8
Alonzo Gee,WAS,23,1.6,3.3,50.0,0.2,0.6,28.6,0.1,0.6,14.3,0.2,0.2,100,0.1,0.2,50.0,0.3,0.4,75.0,0.4,0.5,80.0
Amar'e Stoudemire,PHX,27,4.6,6.8,67.5,2.2,4.2,51.3,1.8,4.3,41.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,33.3
Amir Johnson,TOR,23,2.0,2.8,71.7,0.3,0.7,42.9,0.2,0.5,41.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Anderson Varejao,CLE,27,2.8,4.0,69.1,0.4,1.0,42.1,0.3,1.0,27.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.1,25.0
Andray Blatche,WAS,23,2.7,4.6,59.9,1.0,2.3,43.6,2.0,4.9,40.7,0.1,0.2,38.5,0.0,0.1,50.0,0.1,0.3,33.3,0.1,0.3,20.8
Andre Iguodala,PHI,26,2.6,3.8,67.7,0.4,1.1,38.9,1.9,5.0,37.4,0.1,0.3,22.7,0.1,0.4,38.7,0.2,0.7,28.6,0.9,3.0,31.7
Andre Miller,POR,34,2.6,4.4,59.9,0.5,1.5,36.6,1.6,4.2,37.1,0.0,0.1,28.6,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.8,22.6
Andrea Bargnani,TOR,24,2.0,3.0,67.4,1.0,2.2,43.6,2.2,5.0,44.1,0.1,0.1,62.5,0.0,0.0,0.0,0.1,0.1,100,1.4,3.9,37.0
Andrei Kirilenko,UTA,29,2.7,3.8,70.4,0.1,0.4,12.0,1.0,2.5,40.0,0.0,0.1,33.3,0.1,0.2,27.3,0.1,0.3,33.3,0.4,1.2,29.2
Andres Nocioni,SAC,30,0.9,1.7,50.4,0.3,1.1,30.8,0.6,1.7,37.2,0.2,0.4,47.6,0.2,0.6,36.1,0.4,1.0,40.0,1.0,2.6,38.0
