PLAYER,TEAM,GP,W,L,MIN,OPP_FGM,OPP_FGA,OPP_FG_PCT,OPP_FG3M,OPP_FG3A,OPP_FG3_PCT,OPP_FTM,OPP_FTA,OPP_FT_PCT,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_PF,OPP_PFD,OPP_PTS,PLUS_MINUS
"Abrines, Alex",OKC,68,37,31,15.5,12.8,27.2,47.1,2.8,7.6,37.2,6.5,8.3,78.7,2.9,10.1,13.0,7.0,4.3,2.6,2.0,1.6,6.7,7.0,35.0,0.0
"Acy, Quincy",BKN,32,11,21,15.9,12.5,27.9,44.7,3.3,9.2,36.1,7.3,9.2,78.9,3.6,11.2,14.7,6.9,5.1,2.7,2.1,1.4,7.3,7.3,35.5,0.3
"Acy, Quincy",DAL,6,0,6,8.0,6.2,12.7,48.7,1.7,5.2,32.3,4.5,5.7,79.4,1.3,5.3,6.7,4.2,2.0,1.2,0.5,0.2,3.3,4.5,18.5,4.5
"Adams, Steven",OKC,80,47,33,29.9,24.3,53.2,45.7,5.9,15.8,37.2,10.6,14.0,75.7,5.5,19.3,24.8,13.7,8.8,5.6,3.2,3.2,13.3,12.4,65.0,-2.4
"Afflalo, Arron",SAC,61,23,38,25.9,21.2,44.6,47.6,5.6,15.0,37.2,10.2,13.3,77.0,5.3,17.2,22.5,13.2,6.8,4.4,2.7,1.9,11.0,11.1,58.2,4.0
"Ajinca, Alexis",NOP,39,15,24,15.0,12.4,28.2,44.1,3.4,9.3,36.2,4.8,6.7,71.9,3.8,11.4,15.2,7.4,4.1,2.0,1.3,1.5,5.4,5.8,33.0,1.5
"Aldrich, Cole",MIN,62,23,39,8.6,7.0,14.5,47.8,1.8,5.2,33.6,3.2,4.3,76.1,1.5,5.4,6.9,4.0,2.7,1.4,0.8,0.7,3.2,4.1,18.9,0.5
"Aldridge, LaMarcus",SAS,72,52,20,32.4,24.9,55.2,45.1,5.4,15.1,35.6,10.7,13.6,78.5,6.4,21.6,27.9,14.6,9.1,4.5,2.3,3.9,13.1,11.8,65.8,-3.8
"Allen, Lavoy",IND,61,31,30,14.3,11.4,24.5,46.6,3.2,8.4,38.4,6.0,7.7,77.5,2.7,9.3,12.1,6.9,4.1,2.8,1.6,1.2,5.3,6.4,32.0,2.0
"Allen, Tony",MEM,71,36,35,27.0,19.6,43.6,44.8,5.5,15.6,35.3,10.7,14.1,76.4,5.4,18.4,23.7,11.7,8.6,3.8,3.0,2.2,10.8,12.1,55.4,0.1
"Aminu, Al-Farouq",POR,61,33,28,29.1,23.1,51.7,44.7,5.4,15.2,35.3,11.9,15.1,78.6,6.0,20.7,26.7,12.1,7.6,4.7,3.1,3.2,12.2,12.0,63.4,-0.4
"Andersen, Chris",CLE,12,8,4,9.5,7.0,17.3,40.6,2.3,6.4,36.4,4.4,5.4,81.5,3.7,6.3,10.0,4.3,3.2,1.2,0.9,1.3,3.8,4.7,20.8,-0.7
"Anderson, Alan",LAC,30,20,10,10.3,8.3,17.7,46.8,2.0,6.5,30.8,5.0,6.7,74.1,2.3,7.5,9.7,5.1,2.3,1.4,0.7,0.8,3.9,5.0,23.6,2.6
"Anderson, Justin",PHI,24,5,19,21.6,18.4,39.6,46.5,3.7,11.0,33.3,8.4,11.3,74.8,5.1,15.2,20.3,10.7,6.3,4.0,2.4,2.0,7.7,9.5,48.9,2.6
"Anderson, Justin",DAL,51,19,32,13.9,11.0,22.5,49.0,2.8,7.6,37.3,5.2,6.8,76.9,2.5,10.3,12.8,6.1,4.5,1.7,1.2,1.1,6.0,5.5,30.2,2.6
"Anderson, Kyle",SAS,72,53,19,14.2,10.7,24.4,43.7,2.2,7.0,32.0,4.2,5.6,74.8,2.6,9.3,11.9,6.0,4.5,2.3,1.6,1.8,5.6,5.2,27.8,-2.5
"Anderson, Ryan",HOU,72,50,22,29.4,25.1,53.3,47.1,5.9,16.8,35.3,9.4,12.2,77.3,5.9,20.1,26.0,14.7,9.3,5.2,3.0,2.5,12.4,11.6,65.6,-5.7
"Antetokounmpo, Giannis",MIL,80,42,38,35.6,27.6,60.6,45.5,7.3,20.3,35.9,13.4,17.5,76.9,7.7,23.9,31.5,17.2,11.1,5.2,3.5,4.2,14.5,15.1,75.9,-0.6
"Anthony, Carmelo",NYK,74,29,45,34.3,28.6,62.2,46.0,6.8,19.4,35.2,14.0,17.7,78.9,8.2,23.8,32.0,15.9,8.4,5.0,3.1,3.7,12.8,14.3,78.0,3.1
"Anthony, Joel",SAS,19,15,4,6.4,5.2,11.5,44.7,0.9,3.4,26.2,1.3,1.9,67.6,1.4,4.9,6.3,3.2,1.6,0.8,0.6,0.7,2.5,1.7,12.5,0.7
"Ariza, Trevor",HOU,80,53,27,34.7,29.9,63.5,47.1,7.3,20.8,35.2,12.2,15.7,77.5,7.2,24.1,31.3,17.8,10.9,6.3,3.4,2.9,14.8,13.7,79.4,-4.6
"Arthur, Darrell",DEN,41,20,21,15.6,13.5,28.5,47.2,3.4,9.3,36.8,5.1,6.6,77.2,2.9,11.1,14.0,7.6,4.0,2.2,1.6,1.3,5.7,6.1,35.5,0.6
"Asik, Omer",NOP,31,12,19,15.6,13.1,28.8,45.5,3.3,9.1,35.7,4.4,5.4,81.3,3.0,12.1,15.2,8.5,4.3,2.7,1.6,1.5,6.5,5.6,33.9,1.9
"Augustin, D.J.",ORL,78,29,49,19.7,16.0,34.3,46.7,4.0,10.8,36.9,7.6,9.8,78.0,3.9,14.8,18.8,9.2,5.2,3.2,2.1,1.9,8.2,8.4,43.7,5.7
"Babbitt, Luke",MIA,68,35,33,15.7,12.5,28.1,44.4,2.3,7.0,32.8,5.5,6.9,80.3,3.4,11.0,14.4,6.7,4.3,2.4,1.6,1.8,5.1,6.5,32.8,0.1
"Baker, Ron",NYK,52,14,38,16.5,12.8,28.5,45.0,3.5,10.1,35.0,6.1,7.8,78.2,3.6,11.1,14.7,6.8,5.0,2.8,1.6,1.5,6.8,6.6,35.3,1.1
"Baldwin IV, Wade",MEM,33,18,15,12.3,9.5,20.8,45.6,2.6,6.9,37.1,5.1,7.3,70.4,2.6,9.2,11.8,5.0,3.4,1.9,1.4,1.5,4.7,5.9,26.7,4.2
"Barbosa, Leandro",PHX,67,20,47,14.4,11.5,24.8,46.3,2.8,7.6,36.7,6.7,8.8,76.7,2.7,9.5,12.3,6.0,4.6,2.3,1.6,1.4,6.6,8.0,32.5,1.0
"Barea, J.J.",DAL,35,11,24,22.0,17.0,36.8,46.1,4.6,12.6,36.2,6.6,8.9,74.6,3.9,16.0,19.9,10.0,7.0,3.2,1.1,1.8,9.4,8.1,45.1,-0.3
"Barnes, Harrison",DAL,79,32,47,35.5,26.9,57.4,46.8,6.9,18.0,38.4,12.9,16.5,78.1,6.4,26.3,32.7,15.2,11.3,4.8,2.2,2.6,14.1,14.3,73.5,1.7
"Barnes, Matt",GSW,20,16,4,20.5,15.4,37.5,41.1,3.6,11.9,30.0,8.5,10.6,79.7,5.6,14.1,19.6,9.2,6.2,3.8,1.8,3.1,6.5,9.0,42.8,-1.7
"Barnes, Matt",SAC,54,22,32,25.3,19.2,42.3,45.4,6.1,16.6,36.6,11.1,14.4,77.5,5.1,17.5,22.7,12.0,7.6,4.3,2.6,2.1,10.9,11.4,55.7,1.8
"Barton, Will",DEN,60,31,29,28.4,24.5,51.3,47.8,5.5,15.3,36.2,10.8,13.4,80.8,5.6,18.8,24.4,13.9,7.5,4.9,3.2,2.3,11.8,12.0,65.4,1.3
"Bass, Brandon",LAC,52,29,23,11.1,9.7,19.9,48.8,2.4,6.3,38.3,4.2,5.5,75.9,2.6,7.7,10.2,5.9,2.5,1.8,1.0,0.9,4.3,4.8,26.0,2.8
"Batum, Nicolas",CHA,77,35,42,34.0,28.1,61.2,46.0,8.1,21.7,37.5,9.9,12.7,77.7,6.3,25.0,31.3,17.4,9.4,4.7,4.1,3.4,13.7,11.5,74.2,-0.9
"Bayless, Jerryd",PHI,3,1,2,23.8,19.0,43.3,43.8,2.7,10.3,25.8,11.3,15.0,75.6,6.3,16.3,22.7,9.7,5.3,3.7,4.7,3.3,10.3,12.0,52.0,7.0
"Baynes, Aron",DET,75,34,41,15.5,11.0,26.3,42.0,2.7,8.3,32.7,6.0,7.7,78.5,2.6,10.6,13.2,6.6,4.2,2.0,1.3,1.2,5.9,6.3,30.8,-1.8
"Bazemore, Kent",ATL,73,39,34,26.9,21.9,49.5,44.3,6.4,16.8,37.8,9.0,11.7,77.4,6.7,18.5,25.1,13.4,8.4,5.0,2.9,2.9,12.4,10.3,59.2,1.5
"Beal, Bradley",WAS,77,48,29,34.9,28.7,61.5,46.6,7.1,19.8,35.8,12.9,17.2,75.0,7.8,23.4,31.2,16.6,11.3,5.1,3.4,2.8,14.3,14.5,77.3,-4.3
