PLAYER,TEAM,AGE,GP,W,L,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM
AJ Hammons,DAL,24,22,4,18,7.4,76.2,23.8,50.0,29.2,31.3,4.2,18.8,12.5,20.8,91.7,8.3,100,0.0,94.1,5.9
Aaron Brooks,IND,32,65,36,29,13.7,57.3,42.7,45.3,17.4,44.7,7.5,9.9,12.4,28.0,9.6,90.4,58.3,41.7,28.9,71.1
Aaron Gordon,ORL,21,80,29,51,28.7,69.1,30.9,62.0,13.5,22.7,17.4,15.3,17.2,48.5,50.3,49.7,84.4,15.6,57.0,43.0
Aaron Harrison,CHA,22,5,2,3,3.3,50.0,50.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adreian Payne,MIN,26,18,5,13,7.5,72.2,27.8,63.5,25.4,14.3,6.3,22.2,17.5,38.1,65.0,35.0,100,0.0,69.6,30.4
Al Horford,BOS,31,68,46,22,32.3,69.8,30.2,61.6,19.3,27.1,4.3,11.3,10.5,42.2,59.0,41.0,97.7,2.3,67.8,32.2
Al Jefferson,IND,32,66,33,33,14.1,99.8,0.2,87.9,17.9,0.0,0.7,12.1,13.1,69.9,53.6,46.4,0.0,0.0,53.6,46.4
Al-Farouq Aminu,POR,26,61,33,28,29.1,54.5,45.5,42.5,4.5,39.5,9.0,18.0,11.3,38.0,46.0,54.0,100,0.0,66.7,33.3
Alan Anderson,LAC,34,30,20,10,10.3,45.0,55.0,37.2,7.0,48.8,0.0,14.0,19.8,30.2,56.3,43.8,85.7,14.3,70.0,30.0
Alan Williams,PHX,24,47,11,36,15.1,99.6,0.4,79.8,4.0,0.0,13.3,20.2,11.0,75.7,72.5,27.5,0.0,0.0,72.5,27.5
Alec Burks,UTA,25,42,26,16,15.5,69.4,30.6,52.3,17.7,26.5,14.1,21.2,15.9,34.6,31.1,68.9,84.0,16.0,44.4,55.6
Alex Abrines,OKC,23,68,37,31,15.5,27.6,72.4,19.7,4.9,69.5,17.7,10.8,16.5,14.8,60.0,40.0,96.8,3.2,85.8,14.2
Alex Len,PHX,24,77,21,56,20.3,97.4,2.6,74.1,9.1,1.5,6.4,24.5,10.8,64.9,63.0,37.0,100,0.0,63.5,36.5
Alex Poythress,PHI,23,6,0,6,26.1,64.8,35.2,59.4,6.3,28.1,3.1,12.5,17.2,53.1,57.9,42.1,100,0.0,68.0,32.0
Alexis Ajinca,NOP,29,39,15,24,15.0,97.8,2.2,86.0,23.2,0.0,2.4,14.0,8.2,62.8,82.0,18.0,0.0,0.0,82.0,18.0
Allen Crabbe,POR,25,79,39,40,28.5,53.3,46.7,40.0,17.5,47.6,14.8,12.4,17.0,22.5,77.5,22.5,97.0,3.0,86.1,13.9
Alonzo Gee,DEN,30,13,4,9,6.9,78.6,21.4,54.5,0.0,0.0,0.0,45.5,0.0,54.5,66.7,33.3,0.0,0.0,66.7,33.3
Amir Johnson,BOS,30,80,51,29,20.1,82.2,17.8,71.5,1.5,15.6,6.7,12.9,10.2,70.0,75.8,24.2,100,0.0,78.9,21.1
Anderson Varejao,GSW,34,14,12,2,6.6,100,0.0,55.6,11.1,0.0,22.2,44.4,11.1,44.4,60.0,40.0,0.0,0.0,60.0,40.0
Andre Drummond,DET,23,81,36,45,29.7,99.2,0.8,87.1,7.2,0.5,8.6,12.4,13.8,79.8,60.5,39.5,0.0,100,60.2,39.8
Andre Iguodala,GSW,33,76,64,12,26.3,57.3,42.7,54.0,11.1,33.4,25.1,12.5,17.8,42.9,70.3,29.7,92.2,7.8,76.7,23.3
Andre Roberson,OKC,25,79,46,33,30.1,60.3,39.7,65.1,0.8,25.9,23.4,9.0,23.6,64.4,76.5,23.5,97.8,2.2,80.9,19.1
Andrew Bogut,CLE,32,27,8,19,21.6,98.8,1.2,96.2,5.1,0.0,0.0,3.8,20.3,91.1,52.6,47.4,0.0,0.0,52.6,47.4
Andrew Harrison,MEM,22,72,38,34,20.5,56.7,43.3,34.8,7.5,30.4,9.6,34.8,18.8,27.3,14.9,85.1,62.8,37.2,32.5,67.5
Andrew Nicholson,BKN,27,38,20,18,9.0,75.7,24.3,76.0,18.0,15.0,4.0,9.0,14.0,58.0,65.8,34.2,100,0.0,69.8,30.2
Andrew Wiggins,MIN,22,82,31,51,37.2,81.6,18.4,62.7,23.1,16.0,11.3,21.3,14.1,39.6,41.4,58.6,75.7,24.3,46.4,53.6
Anthony Bennett,BKN,24,23,3,20,11.5,47.8,52.2,43.5,0.0,33.9,3.5,22.6,7.0,43.5,44.0,56.0,92.3,7.7,60.5,39.5
Anthony Brown,ORL,24,11,3,8,14.5,46.0,54.0,51.2,23.3,48.8,18.6,0.0,16.3,27.9,54.5,45.5,57.1,42.9,55.6,44.4
Anthony Davis,NOP,24,75,31,44,36.1,91.2,8.8,69.6,23.3,5.7,8.0,24.7,12.3,46.2,64.4,35.6,100,0.0,66.2,33.8
Anthony Morrow,CHI,31,49,25,24,14.6,47.2,52.8,42.1,16.2,45.4,7.7,12.5,10.0,25.8,59.6,40.4,97.6,2.4,75.5,24.5
Anthony Tolliver,SAC,32,65,26,39,22.7,34.5,65.5,28.2,4.3,58.6,6.1,13.2,15.0,23.9,64.6,35.4,100,0.0,85.2,14.8
Archie Goodwin,BKN,22,15,8,7,14.3,77.3,22.7,56.4,5.5,13.6,20.0,30.0,11.8,50.9,35.5,64.5,80.0,20.0,41.7,58.3
