PLAYER,GP,W,L,MIN,E_OFF_RATING,E_DEF_RATING,E_NET_RATING,E_AST_RATIO,E_OREB_PCT,E_DREB_PCT,E_REB_PCT,E_TOV_PCT,E_USG_PCT,E_PACE
Aaron Brooks,32,19,13,6,102.2,119.1,-16.9,19.1,4.0,6.4,5.1,10.5,20.1,97.60
Aaron Gordon,58,19,39,33,104.8,107.1,-2.3,11.3,4.9,21.3,13.0,8.9,24.3,101.73
Aaron Harrison,9,2,7,26,98.6,112.0,-13.4,12.2,1.7,10.6,5.6,3.3,15.1,98.88
Aaron Jackson,1,0,1,35,88.9,104.1,-15.2,8.4,5.9,3.7,4.9,8.4,15.2,92.30
Abdel Nader,48,33,15,11,98.1,108.2,-10.1,11.5,2.7,12.2,7.5,15.0,16.9,99.53
Adreian Payne,5,0,5,9,98.7,120.9,-22.2,0.0,5.4,25.0,13.8,13.7,15.1,98.49
Al Horford,72,47,25,32,108.2,101.1,7.1,26.6,5.2,19.7,12.9,10.3,18.6,97.75
Al Jefferson,36,17,19,13,105.0,107.8,-2.8,10.9,7.0,26.0,16.6,7.6,22.7,98.03
Al-Farouq Aminu,69,40,29,30,107.9,103.5,4.4,10.8,5.0,22.2,13.6,10.1,14.6,99.69
Alan Williams,5,1,4,14,90.7,92.3,-1.6,21.6,4.3,27.1,15.8,18.9,18.6,96.59
Alec Burks,64,37,27,17,106.1,105.8,0.3,11.2,2.1,18.9,10.5,10.1,22.9,97.02
Alec Peters,20,2,18,11,107.6,106.6,1.0,12.7,3.7,13.1,8.4,4.2,15.6,100.94
Alex Abrines,75,42,33,15,106.5,106.3,0.3,7.7,2.4,9.2,5.6,6.9,12.9,98.51
Alex Caruso,37,16,21,15,102.3,101.5,0.8,30.5,2.9,9.7,6.3,17.1,13.2,101.41
Alex Len,69,20,49,20,101.4,110.3,-8.8,12.8,13.3,26.0,19.7,12.2,16.9,103.37
Alex Poythress,25,10,15,4,105.0,116.5,-11.5,6.7,7.1,12.7,9.6,6.7,11.9,96.40
Alfonzo McKinnie,14,13,1,4,111.0,112.0,-1.0,4.9,2.3,11.3,7.3,14.8,17.5,99.04
Allen Crabbe,75,25,50,29,105.6,108.8,-3.2,10.8,1.3,14.4,7.8,7.2,18.8,101.61
Amir Johnson,74,47,27,16,103.6,101.3,2.3,25.1,11.6,19.0,15.3,11.7,12.8,102.93
Andre Drummond,78,37,41,34,105.7,106.9,-1.2,15.9,16.3,36.6,26.1,13.4,20.9,98.88
Andre Iguodala,64,46,18,25,110.4,100.5,9.8,33.1,3.6,12.6,8.4,10.5,11.6,100.97
Andre Ingram,2,1,1,32,109.2,93.8,15.3,24.7,1.8,8.1,5.1,10.6,14.1,106.98
Andre Roberson,39,24,15,27,106.4,96.4,10.0,18.1,7.8,12.4,10.0,11.8,8.7,97.40
Andrew Bogut,24,7,17,9,94.2,99.7,-5.5,25.1,11.6,25.1,18.1,31.7,8.6,102.33
Andrew Harrison,56,17,39,24,100.6,108.2,-7.7,23.4,2.0,9.8,5.8,10.7,20.1,95.24
Andrew White III,15,1,14,14,93.2,110.8,-17.6,6.8,1.9,14.7,8.1,9.0,16.9,102.43
Andrew Wiggins,82,47,35,36,111.0,107.7,3.3,9.2,3.1,10.7,6.9,7.9,23.2,98.79
Ante Zizic,32,21,11,7,107.1,114.1,-7.0,5.2,13.4,20.3,16.9,11.5,18.3,100.93
Anthony Brown,1,0,1,4,135.1,93.4,41.8,50.0,0.0,0.0,0.0,0.0,11.3,119.06
Anthony Davis,75,45,30,36,108.8,103.4,5.4,8.4,7.7,24.0,16.3,7.9,29.7,103.33
Anthony Tolliver,79,37,42,22,105.8,104.7,1.0,13.3,3.1,12.2,7.6,8.5,15.0,98.16
Antonio Blakeney,19,3,16,17,106.6,109.4,-2.8,10.5,1.3,10.0,5.5,5.8,23.6,99.96
Antonius Cleveland,17,7,10,7,89.6,102.0,-12.4,6.1,2.5,9.6,5.9,21.4,11.1,101.08
Aron Baynes,81,54,27,18,103.9,97.0,6.9,14.2,9.7,21.6,15.8,12.2,17.0,97.23
Arron Afflalo,53,16,37,13,100.9,106.4,-5.4,13.4,0.7,9.6,5.3,9.4,13.0,98.34
Austin Rivers,61,30,31,34,108.4,110.5,-2.2,19.7,1.5,6.5,4.0,8.9,21.0,98.99
Avery Bradley,46,22,24,31,103.2,107.0,-3.8,11.0,1.6,7.6,4.5,11.8,23.3,98.70
Bam Adebayo,69,34,35,20,102.1,102.1,0.0,17.2,9.8,22.0,15.9,11.3,16.2,96.41
Ben McLemore,56,7,49,20,97.5,110.6,-13.2,9.9,3.4,11.4,7.3,11.9,18.7,98.54
Ben Moore,2,1,1,5,87.4,163.6,-76.1,100.0,0.0,33.3,8.3,0.0,0.0,114.48
Ben Simmons,81,51,30,34,109.4,101.4,8.0,31.7,6.0,19.5,13.1,13.3,22.2,102.62
Bismack Biyombo,82,25,57,18,97.2,110.4,-13.2,11.6,10.2,24.1,17.0,14.7,15.0,98.73
Blake Griffin,58,28,30,34,107.5,105.7,1.8,20.4,4.0,19.5,11.8,10.1,28.9,99.77
Boban Marjanovic,39,18,21,9,111.8,105.4,6.5,8.8,17.2,30.8,24.4,14.5,28.6,100.52
Bobby Brown,20,17,3,6,93.6,115.5,-21.9,13.9,0.0,7.0,3.3,11.4,26.0,101.14
Bobby Portis,73,25,48,23,106.2,109.2,-3.0,11.1,10.1,23.4,16.5,9.3,25.7,101.05
Bogdan Bogdanovic,78,26,52,28,101.8,110.8,-9.0,21.4,1.6,10.7,5.9,10.4,19.6,97.35
Bojan Bogdanovic,80,47,33,31,106.7,104.3,2.4,10.2,1.4,10.8,6.1,9.1,19.1,98.48
Bradley Beal,82,43,39,36,107.6,105.3,2.3,16.7,2.4,11.2,6.9,9.6,27.7,98.74
Brandan Wright,28,11,17,14,104.4,98.5,5.9,9.5,10.0,18.7,14.3,5.8,14.6,96.91
Brandon Ingram,59,27,32,34,103.0,106.0,-2.9,18.2,3.0,13.7,8.4,11.8,22.0,103.01
Brandon Jennings,14,8,6,15,96.3,112.0,-15.7,31.8,2.5,14.9,8.3,13.0,19.7,101.73
Brandon Paul,64,38,26,9,100.2,100.0,0.2,17.5,1.2,12.4,6.7,13.7,13.5,99.12
Briante Weber,18,8,10,13,100.0,122.1,-22.2,26.1,3.5,14.1,8.3,17.8,11.3,100.92
Brice Johnson,18,2,16,5,98.1,105.9,-7.8,3.9,9.3,25.3,16.8,9.8,20.0,104.29
Brook Lopez,74,34,40,23,105.0,107.8,-2.8,11.6,4.6,13.1,8.9,9.0,23.4,103.03
Bruno Caboclo,12,4,8,9,101.1,94.8,6.2,9.6,7.0,17.9,12.0,9.6,16.0,95.67
Bryn Forbes,80,46,34,19,106.8,103.2,3.5,12.4,0.9,7.4,4.1,5.7,16.6,97.54
Buddy Hield,80,27,53,25,102.6,106.5,-3.9,12.4,3.0,14.9,8.7,9.9,24.3,96.83
C.J. Williams,38,17,21,19,105.5,106.6,-1.1,16.1,1.9,6.6,4.3,7.5,13.8,100.36
CJ McCollum,81,48,33,36,106.3,104.7,1.6,13.3,2.0,10.0,6.0,7.4,26.5,99.19
CJ Miles,70,50,20,19,109.4,102.2,7.2,7.5,1.5,11.3,6.3,5.3,22.1,99.99
Caleb Swanigan,27,16,11,7,97.8,101.6,-3.8,14.0,8.9,22.5,15.8,18.0,20.0,96.78
Cameron Payne,25,7,18,23,101.5,110.2,-8.7,30.5,3.1,9.8,6.2,9.7,18.7,101.46
Caris LeVert,71,25,46,26,102.3,108.4,-6.2,23.6,3.0,11.8,7.3,12.1,22.4,101.92
Carmelo Anthony,78,46,32,32,109.7,105.6,4.1,7.1,2.8,17.8,10.0,6.8,22.6,100.31
Cedi Osman,61,35,26,11,110.8,109.1,1.7,14.7,3.3,16.5,10.1,11.5,15.6,99.96
Chandler Parsons,36,12,24,19,105.9,112.4,-6.5,19.7,2.4,13.3,7.7,10.0,18.6,97.20
Channing Frye,53,28,25,13,112.4,104.5,7.9,13.6,2.0,18.8,10.9,7.5,15.5,99.81
Charles Cooke,13,8,5,3,86.1,105.2,-19.0,5.9,0.0,5.6,2.6,5.9,17.4,98.51
Cheick Diallo,52,29,23,11,103.8,110.9,-7.1,7.5,8.9,29.4,19.4,11.1,17.4,102.12
Chinanu Onuaku,1,0,1,22,80.5,96.9,-16.4,11.1,4.8,17.6,10.5,33.3,18.7,90.18
Chris Boucher,1,1,0,1,0.0,106.4,-106.4,0.0,0.0,100,50.0,0.0,50.0,70.72
Chris McCullough,19,11,8,5,104.0,111.2,-7.1,7.4,8.2,22.0,15.0,3.7,23.0,104.35
Chris Paul,58,50,8,32,116.6,103.8,12.8,30.9,2.3,17.0,9.7,8.6,24.8,98.39
Clint Capela,74,62,12,28,113.2,104.1,9.2,7.1,13.2,30.7,22.0,10.7,19.4,98.84
Cody Zeller,33,14,19,19,105.3,105.0,0.3,12.0,11.4,20.9,15.9,12.8,15.6,100.40
Cole Aldrich,21,14,7,2,111.4,113.0,-1.6,13.9,6.1,31.6,17.2,4.6,16.1,98.43
Corey Brewer,72,32,40,17,105.9,108.4,-2.5,13.8,3.7,10.0,6.8,10.4,13.9,103.56
Cory Joseph,82,48,34,27,105.7,105.7,0.0,26.2,2.0,11.4,6.7,8.8,14.7,98.07
Courtney Lee,76,27,49,30,103.7,109.8,-6.1,16.8,1.5,9.3,5.4,7.8,16.9,99.20
Cristiano Felicio,55,13,42,18,93.6,111.6,-18.0,15.3,8.6,17.4,12.8,15.0,13.6,99.31
D'Angelo Russell,48,16,32,26,104.6,111.7,-7.1,22.1,2.5,13.7,8.0,13.1,30.1,103.64
D.J. Augustin,75,23,52,24,101.5,105.5,-4.0,27.8,1.8,8.2,5.0,11.9,18.6,100.51
D.J. Wilson,22,12,10,3,89.7,118.6,-28.9,12.6,3.3,17.0,9.3,16.8,14.1,94.26
Dakari Johnson,31,21,10,5,101.3,90.3,10.9,13.6,10.9,12.7,11.8,5.1,14.2,94.86
Damian Jones,15,7,8,6,102.0,99.8,2.2,6.6,6.7,10.7,8.8,13.2,15.1,96.55
Damian Lillard,73,44,29,37,108.3,103.5,4.8,20.6,2.5,10.6,6.6,8.8,30.1,100.19
Damien Wilkins,19,10,9,8,110.1,106.4,3.7,16.4,3.5,7.9,5.7,9.1,12.9,96.68
Damion Lee,15,4,11,27,99.3,105.1,-5.8,14.0,2.8,14.7,8.9,6.7,18.8,102.57
Damyean Dotson,44,11,33,11,98.5,102.8,-4.3,14.1,2.0,16.1,9.3,7.8,17.5,99.13
Daniel Hamilton,6,5,1,5,85.9,103.7,-17.8,38.1,0.0,19.2,9.4,9.5,21.9,92.92
Daniel Theis,63,44,19,15,103.7,102.0,1.6,14.7,10.5,21.7,16.0,14.7,15.5,97.75
Danilo Gallinari,21,11,10,32,104.5,104.3,0.2,11.3,1.4,14.7,8.1,7.2,21.0,97.92
Danny Green,70,40,30,26,104.9,102.3,2.6,14.2,2.5,12.7,7.6,9.6,16.6,96.06
Dante Cunningham,73,34,39,21,106.5,106.4,0.1,10.3,5.4,15.4,10.4,7.1,11.8,102.38
Dante Exum,14,10,4,17,109.3,98.9,10.4,26.3,2.0,9.6,6.1,12.2,22.9,100.17
Danuel House Jr.,23,6,17,18,104.4,104.8,-0.4,14.0,3.7,16.2,10.3,6.2,16.6,101.18
Dario Saric,78,49,29,30,108.9,102.2,6.7,15.2,7.6,16.6,12.3,11.1,20.9,101.55
Darius Miller,82,48,34,24,108.7,107.6,1.2,16.2,1.0,8.0,4.6,8.5,12.9,102.35
Darrell Arthur,19,12,7,7,100.6,112.8,-12.2,12.4,2.5,9.7,6.1,20.7,19.9,102.46
