PLAYER,TEAM,AGE,GP,W,L,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,PACE,PIE
Aaron Gordon,ORL,23,5,1,4,32.8,95.4,119.9,-24.5,22.0,1.38,17.8,6.6,17.6,11.7,12.9,53.2,54.0,22.8,95.96,9.7
Aaron Holiday,IND,22,3,0,3,4.5,79.3,96.3,-17.0,0.0,0.00,0.0,0.0,0.0,0.0,16.7,50.0,50.0,19.4,99.68,-5.3
Abdel Nader,OKC,25,3,1,2,1.6,45.5,63.6,-18.2,0.0,0.00,0.0,0.0,0.0,0.0,0.0,50.0,50.0,16.7,111.39,16.7
Al Horford,BOS,33,9,5,4,34.5,103.7,99.8,3.8,21.1,2.11,22.6,4.2,20.2,12.5,10.7,50.0,53.0,18.8,100.99,12.4
Al-Farouq Aminu,POR,28,16,8,8,24.9,109.6,111.5,-1.9,7.5,1.31,13.0,6.7,17.5,11.9,9.9,41.7,47.3,14.7,98.97,7.2
Alfonzo McKinnie,GSW,26,22,14,8,10.7,112.1,111.6,0.5,2.3,0.67,5.5,7.1,12.7,10.0,8.2,52.5,52.1,11.8,102.76,3.9
Amir Johnson,PHI,32,4,3,1,4.9,83.3,129.3,-45.9,20.0,2.00,28.6,15.0,11.1,13.2,14.3,100,100,10.4,101.55,14.1
Andre Drummond,DET,25,4,0,4,31.8,94.8,131.8,-37.0,11.5,0.82,10.7,11.6,29.1,18.4,13.1,44.4,45.1,24.0,101.20,8.3
Andre Iguodala,GSW,35,21,13,8,30.0,115.5,110.4,5.1,18.2,3.95,28.8,4.4,10.2,7.3,7.3,57.8,56.5,13.8,100.15,9.1
Andrew Bogut,GSW,34,19,13,6,9.4,109.0,110.2,-1.2,16.3,2.10,30.0,12.8,28.7,20.7,14.3,64.9,66.3,11.6,98.95,12.2
Anfernee Simons,POR,20,5,2,3,2.4,61.5,96.3,-34.8,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,21.7,30.0,106.07,-21.3
Aron Baynes,BOS,32,9,5,4,12.8,87.2,100.8,-13.6,3.9,0.60,13.0,4.9,14.6,9.9,21.7,64.3,63.8,7.6,102.12,4.1
Austin Rivers,HOU,26,10,6,4,21.5,109.5,104.0,5.6,7.0,1.25,12.2,0.9,7.8,4.4,9.8,56.5,57.2,14.2,100.95,4.3
Ben Simmons,PHI,22,12,7,5,35.1,108.6,103.8,4.9,27.0,2.25,30.5,5.3,13.3,9.4,13.6,62.1,62.5,16.3,99.21,13.0
Blake Griffin,DET,30,2,0,2,29.0,109.6,119.4,-9.8,34.3,2.00,20.3,5.5,13.8,9.2,10.2,53.8,58.2,31.8,102.88,14.6
Boban Marjanovic,PHI,30,11,7,4,9.5,110.0,125.0,-15.0,14.9,0.79,14.9,11.7,23.5,17.2,18.9,60.0,66.2,23.1,104.39,12.4
Bojan Bogdanovic,IND,30,4,0,4,36.9,96.0,107.8,-11.8,13.4,1.83,13.1,1.9,14.9,8.0,7.1,45.2,51.1,22.5,96.94,11.5
Brad Wanamaker,BOS,29,4,2,2,4.3,90.0,102.4,-12.4,37.5,1.50,21.4,0.0,0.0,0.0,14.3,50.0,57.1,25.0,113.02,13.0
Brook Lopez,MIL,31,15,10,5,29.2,110.3,99.4,11.0,6.7,2.10,11.9,2.6,13.8,8.4,5.6,53.7,57.2,15.1,101.32,8.9
Bruce Brown,DET,22,4,0,4,14.2,94.2,125.4,-31.2,5.0,1.00,10.5,1.5,12.5,6.5,10.5,39.3,43.7,12.6,102.46,2.6
Bryn Forbes,SAS,25,7,3,4,30.3,108.1,111.4,-3.4,4.8,2.33,10.0,0.5,10.8,5.9,4.3,61.6,62.5,13.7,92.70,7.2
CJ McCollum,POR,27,16,8,8,39.7,110.9,111.8,-0.9,16.0,1.97,12.7,2.1,10.0,6.0,6.5,50.6,52.7,27.3,98.16,11.0
Caris LeVert,BKN,24,5,1,4,28.9,103.8,112.9,-9.1,20.3,1.50,13.5,3.6,11.1,7.2,9.0,57.5,61.2,26.9,106.11,15.0
Chris Boucher,TOR,26,2,1,1,2.0,58.3,100.0,-41.7,0.0,0.00,0.0,0.0,16.7,6.7,0.0,50.0,46.0,41.7,141.64,12.5
Chris Paul,HOU,34,11,6,5,36.1,106.9,105.1,1.8,25.5,1.62,22.5,3.5,13.0,8.4,13.9,50.3,55.7,22.3,98.01,12.9
Clint Capela,HOU,25,11,6,5,30.1,105.8,106.8,-1.1,7.7,1.00,12.3,12.5,19.8,16.4,12.3,56.1,54.9,15.0,97.60,10.4
Cory Joseph,IND,27,4,0,4,21.2,88.0,103.0,-14.9,9.8,0.00,13.8,1.0,7.2,3.9,0.0,58.3,60.3,13.5,94.89,10.5
D'Angelo Russell,BKN,23,5,1,4,29.6,95.7,123.6,-27.9,24.3,1.29,12.9,1.2,10.9,5.6,10.1,41.7,44.6,33.2,104.63,7.6
D.J. Augustin,ORL,31,5,1,4,28.2,98.6,123.6,-25.1,25.7,2.71,26.0,0.7,5.7,3.0,9.6,61.0,66.6,17.3,93.93,10.3
D.J. Wilson,MIL,23,8,6,2,5.3,84.4,106.3,-21.9,18.2,0.57,14.3,2.2,23.1,11.8,25.0,53.1,56.3,22.6,107.82,6.7
Damian Jones,GSW,24,4,3,1,2.0,90.0,100.0,-10.0,0.0,0.00,0.0,0.0,18.2,11.1,33.3,100,79.8,13.6,115.56,0.0
Damian Lillard,POR,28,16,8,8,40.6,110.7,112.0,-1.3,26.9,1.77,19.4,1.1,10.2,5.6,11.0,50.8,56.6,28.6,98.49,13.0
Daniel Theis,BOS,27,7,5,2,6.0,94.7,96.8,-2.1,0.0,0.00,0.0,8.0,13.0,10.4,6.3,35.7,40.3,15.1,107.67,5.2
Danilo Gallinari,LAC,30,6,2,4,33.6,110.3,121.2,-10.9,12.6,1.45,10.6,4.2,14.7,9.2,7.3,41.0,47.4,27.1,103.92,8.3
Danny Green,TOR,32,24,16,8,28.5,112.3,104.2,8.1,5.1,1.00,12.0,2.5,9.8,6.3,12.0,46.8,50.3,12.3,97.62,4.5
Dante Cunningham,SAS,32,5,2,3,2.6,92.0,69.6,22.4,0.0,0.00,0.0,13.3,33.3,22.2,0.0,100,100,10.0,88.96,28.6
Danuel House Jr.,HOU,26,7,4,3,20.1,100.0,101.4,-1.4,1.1,0.25,2.2,1.3,13.4,7.4,8.7,40.5,42.0,13.8,101.33,3.2
Darren Collison,IND,31,4,0,4,29.2,98.3,101.7,-3.3,23.2,1.60,21.6,3.1,7.0,5.0,13.5,46.7,50.4,22.0,98.39,7.0
Davis Bertans,SAS,26,5,2,3,15.8,113.5,110.2,3.3,7.7,5.00,21.7,0.0,9.6,4.7,4.3,43.3,46.5,9.6,97.48,2.0
DeMar DeRozan,SAS,29,7,3,4,35.8,111.5,117.8,-6.3,21.2,2.67,17.4,4.2,14.8,9.6,6.5,48.7,55.7,27.8,93.29,14.0
DeMarcus Cousins,GSW,28,8,3,5,16.6,93.8,104.7,-10.9,26.4,1.00,18.6,5.8,22.1,13.4,18.6,42.5,47.7,25.9,99.31,8.4
DeMarre Carroll,BKN,32,5,1,4,23.9,103.4,116.7,-13.3,2.4,0.67,4.3,4.1,11.4,7.4,6.4,32.9,39.7,15.1,105.77,3.4
Dennis Schroder,OKC,25,5,1,4,30.1,100.9,107.5,-6.5,20.0,2.83,19.5,1.2,9.7,5.1,6.9,50.9,54.8,19.0,102.57,10.5
Deonte Burton,OKC,25,3,1,2,1.5,50.0,40.0,10.0,0.0,0.00,0.0,16.7,16.7,16.7,0.0,20.0,20.0,45.5,107.10,-10.0
Derrick Favors,UTA,27,5,1,4,20.6,100.0,96.7,3.3,7.7,0.80,7.4,13.5,19.8,16.7,9.3,63.9,66.5,20.6,98.49,19.6
