PLAYER,TEAM,AGE,GP,W,L,MIN,DEF_RATING,DREB,DREB_PCT,PCT_DREB,STL,PCT_STL,BLK,PCT_BLK,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,DEF_WS
Aaron Gordon,ORL,23,5,1,4,164,119.9,5.5,17.6,25.8,1.3,25.0,0.2,7.1,14.1,8.8,12.1,42.2,-0.057
Aaron Holiday,IND,22,3,0,3,13,96.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3,10.7,5.3,37.4,0.202
Abdel Nader,OKC,25,3,1,2,5,63.6,0.0,0.0,0.0,0.0,0.0,7.6,100,0.0,0.0,0.0,15.2,0.617
Al Horford,BOS,33,9,5,4,310,99.8,7.9,20.2,26.5,0.5,9.8,0.8,28.0,12.4,7.2,12.3,31.3,0.163
Al-Farouq Aminu,POR,28,16,8,8,399,111.5,6.4,17.5,26.2,0.8,15.0,0.9,24.4,12.4,11.5,9.2,37.7,0.035
Alfonzo McKinnie,GSW,26,22,14,8,235,111.6,5.1,12.7,19.4,0.3,5.3,0.2,4.5,9.2,12.4,10.0,31.9,0.035
Amir Johnson,PHI,32,4,3,1,20,129.3,3.7,11.1,16.7,1.8,50.0,0.0,0.0,29.4,11.0,11.0,40.4,-0.161
Andre Drummond,DET,25,4,0,4,127,131.8,9.0,29.1,42.7,1.7,42.9,1.4,55.6,9.9,7.6,20.1,44.7,-0.187
Andre Iguodala,GSW,35,21,13,8,629,110.4,3.7,10.2,15.3,1.4,24.2,1.3,30.3,12.3,10.7,10.4,30.5,0.047
Andrew Bogut,GSW,34,19,13,6,179,110.2,10.3,28.7,42.5,1.0,17.2,1.2,33.3,12.1,9.7,11.5,29.4,0.049
Anfernee Simons,POR,20,5,2,3,12,96.3,0.0,0.0,0.0,3.0,33.3,0.0,0.0,0.0,0.0,6.0,30.0,0.224
Aron Baynes,BOS,32,9,5,4,115,100.8,5.9,14.6,19.0,0.9,25.0,0.6,28.6,13.4,11.2,18.7,24.3,0.156
Austin Rivers,HOU,26,10,6,4,215,104.0,3.2,7.8,11.9,0.8,18.5,0.2,3.8,12.5,8.4,13.2,33.8,0.122
Ben Simmons,PHI,22,12,7,5,421,103.8,5.2,13.3,18.8,1.3,28.8,1.0,22.6,13.7,8.2,12.0,30.5,0.119
Blake Griffin,DET,30,2,0,2,58,119.4,5.0,13.8,20.5,1.2,20.0,0.0,0.0,11.2,12.4,9.9,40.9,-0.052
Boban Marjanovic,PHI,30,11,7,4,105,125.0,7.9,23.5,31.9,0.7,14.3,1.0,60.0,18.2,7.2,12.4,38.5,-0.117
Bojan Bogdanovic,IND,30,4,0,4,148,107.8,4.9,14.9,22.2,2.0,28.6,0.0,0.0,10.0,9.0,12.9,25.9,0.076
Brad Wanamaker,BOS,29,4,2,2,17,102.4,0.0,0.0,0.0,4.2,66.7,0.0,0.0,12.6,16.7,20.9,37.7,0.152
Brook Lopez,MIL,31,15,10,5,438,99.4,5.8,13.8,18.2,0.5,10.5,2.3,43.8,10.3,7.8,9.8,26.8,0.170
Bruce Brown,DET,22,4,0,4,57,125.4,4.4,12.5,19.4,1.3,33.3,0.6,20.0,14.6,12.1,16.5,45.7,-0.120
Bryn Forbes,SAS,25,7,3,4,212,111.4,4.1,10.8,15.4,0.2,5.9,0.2,5.3,7.3,10.0,7.0,33.9,0.035
CJ McCollum,POR,27,16,8,8,635,111.8,3.7,10.0,15.3,0.7,13.5,0.6,15.6,11.1,11.7,9.9,35.8,0.032
Caris LeVert,BKN,24,5,1,4,144,112.9,4.2,11.1,19.5,1.2,23.8,0.5,20.0,12.2,12.5,9.2,43.9,0.020
Chris Boucher,TOR,26,2,1,1,4,100.0,8.9,16.7,20.0,0.0,0.0,8.9,100,0.0,0.0,35.4,17.7,0.236
Chris Paul,HOU,34,11,6,5,397,105.1,5.1,13.0,20.4,2.2,33.8,0.6,16.3,14.9,10.7,9.6,32.2,0.106
Clint Capela,HOU,25,11,6,5,331,106.8,7.8,19.8,29.8,0.3,5.4,1.3,29.3,15.5,10.1,9.7,33.3,0.086
Cory Joseph,IND,27,4,0,4,85,103.0,2.5,7.2,10.7,1.3,21.4,0.0,0.0,11.4,8.5,12.7,22.0,0.128
D'Angelo Russell,BKN,23,5,1,4,148,123.6,3.9,10.9,19.0,1.7,30.4,0.2,14.3,17.5,14.1,9.5,49.2,-0.097
D.J. Augustin,ORL,31,5,1,4,141,123.6,1.8,5.7,8.5,0.5,10.5,0.3,7.7,14.3,10.7,10.7,39.4,-0.096
D.J. Wilson,MIL,23,8,6,2,43,106.3,7.6,23.1,30.0,0.0,0.0,0.8,33.3,25.3,4.2,8.4,21.9,0.099
Damian Jones,GSW,24,4,3,1,8,100.0,8.9,18.2,25.0,0.0,0.0,0.0,0.0,13.3,4.4,0.0,17.8,0.184
Damian Lillard,POR,28,16,8,8,650,112.0,3.8,10.2,15.6,1.5,29.3,0.3,6.9,11.9,11.5,9.5,36.3,0.029
Daniel Theis,BOS,27,7,5,2,42,96.8,5.2,13.0,15.8,0.9,16.7,0.9,50.0,13.7,0.0,22.3,32.6,0.209
Danilo Gallinari,LAC,30,6,2,4,201,121.2,5.0,14.7,21.7,1.4,25.8,0.2,7.7,16.1,8.9,15.4,35.4,-0.072
Danny Green,TOR,32,24,16,8,684,104.2,3.7,9.8,14.7,1.7,26.0,0.6,15.1,11.4,9.9,12.9,27.8,0.116
Dante Cunningham,SAS,32,5,2,3,13,69.6,11.1,33.3,40.0,0.0,0.0,0.0,0.0,5.6,0.0,8.3,22.2,0.452
Danuel House Jr.,HOU,26,7,4,3,141,101.4,5.1,13.4,22.0,0.8,9.7,0.5,12.5,13.3,9.5,8.4,33.3,0.152
Darren Collison,IND,31,4,0,4,117,101.7,2.5,7.0,9.8,0.6,9.1,0.0,0.0,11.1,8.3,12.9,25.3,0.146
