PLAYER,GP,W,L,MIN,E_OFF_RATING,E_DEF_RATING,E_NET_RATING,E_AST_RATIO,E_OREB_PCT,E_DREB_PCT,E_REB_PCT,E_TOV_PCT,E_USG_PCT,E_PACE
Aaron Gordon,5,1,4,33,93.7,118.8,-25.1,17.8,7.4,19.8,13.1,12.8,23.3,97.31
Aaron Holiday,3,0,3,5,86.3,93.7,-7.3,0.0,0.0,0.0,0.0,16.7,20.9,96.83
Abdel Nader,3,1,2,2,56.3,78.8,-22.5,0.0,0.0,0.0,0.0,0.0,20.2,89.92
Al Horford,9,5,4,35,103.1,99.8,3.3,22.6,4.8,22.2,14.0,10.7,19.4,101.27
Al-Farouq Aminu,16,8,8,25,108.4,111.8,-3.4,13.0,7.5,19.5,13.3,9.9,15.0,99.41
Alfonzo McKinnie,22,14,8,11,114.1,110.4,3.7,5.4,8.4,14.9,11.8,8.2,12.5,102.40
Amir Johnson,4,3,1,5,85.2,123.4,-38.2,28.6,18.8,13.3,16.1,14.3,10.9,102.82
Andre Drummond,4,0,4,32,93.9,129.3,-35.4,10.8,12.7,32.3,20.2,13.2,24.1,102.68
Andre Iguodala,21,13,8,30,115.0,109.9,5.1,29.0,5.1,11.7,8.5,7.3,14.1,100.62
Andrew Bogut,19,13,6,9,106.9,109.1,-2.3,29.9,14.4,32.7,23.4,14.2,11.8,100.46
Anfernee Simons,5,2,3,2,63.3,102.8,-39.6,0.0,0.0,0.0,0.0,0.0,32.5,101.19
Aron Baynes,9,5,4,13,87.8,102.7,-14.9,13.1,5.5,15.6,10.8,21.9,7.8,100.86
Austin Rivers,10,6,4,22,109.1,104.0,5.1,12.1,1.0,9.3,5.2,9.7,14.7,101.14
Ben Simmons,12,7,5,35,106.2,102.8,3.3,30.3,6.3,14.7,10.8,13.5,16.7,100.81
Blake Griffin,2,0,2,29,107.7,116.4,-8.7,20.0,6.3,15.1,10.3,10.0,33.1,105.08
Boban Marjanovic,11,7,4,10,109.0,123.4,-14.4,15.0,14.0,25.8,19.8,19.1,23.4,105.50
Bojan Bogdanovic,4,0,4,37,97.2,106.4,-9.2,12.6,2.1,17.9,9.0,6.9,24.1,96.97
Brad Wanamaker,4,2,2,4,91.2,103.7,-12.5,21.8,0.0,0.0,0.0,14.5,25.3,111.63
Brook Lopez,15,10,5,29,109.2,99.8,9.4,11.8,2.9,15.0,9.4,5.6,15.5,101.59
Bruce Brown,4,0,4,14,91.2,123.0,-31.8,10.6,1.7,13.7,7.3,10.6,12.8,105.14
Bryn Forbes,7,3,4,30,108.3,109.9,-1.7,10.0,0.5,12.2,6.5,4.3,14.0,93.24
CJ McCollum,16,8,8,40,109.2,111.3,-2.1,12.7,2.3,11.1,6.7,6.5,27.8,99.13
Caris LeVert,5,1,4,29,102.6,112.2,-9.6,13.5,4.1,13.0,8.3,9.0,27.5,107.07
Chris Boucher,2,1,1,2,61.8,123.0,-61.1,0.0,0.0,16.7,7.7,0.0,48.1,124.41
Chris Paul,11,6,5,36,106.3,102.5,3.8,22.7,4.1,15.2,9.9,14.0,22.7,99.52
Clint Capela,11,6,5,30,105.5,104.8,0.7,12.4,14.9,22.6,19.0,12.4,15.4,98.70
Cory Joseph,4,0,4,21,87.7,101.6,-13.9,13.9,1.1,8.5,4.4,0.0,13.9,95.69
