PLAYER,TEAM,AGE,GP,W,L,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLK,BLKA,PF,PFD
Aaron Gordon,ORL,23,5,1,4,164,3.3,0.9,2.9,6.6,14.1,8.8,12.1,42.2,0.2,0.4,3.5,5.1
Aaron Holiday,IND,22,3,0,3,13,5.3,0.0,5.3,5.3,13.3,10.7,5.3,37.4,0.0,0.0,8.0,0.0
Abdel Nader,OKC,25,3,1,2,5,0.0,0.0,15.2,15.2,0.0,0.0,0.0,15.2,7.6,0.0,0.0,0.0
Al Horford,BOS,33,9,5,4,310,0.9,1.4,0.6,3.5,12.4,7.2,12.3,31.3,0.8,0.6,2.4,2.1
Al-Farouq Aminu,POR,28,16,8,8,399,1.8,1.5,1.8,3.6,12.4,11.5,9.2,37.7,0.9,1.0,3.1,2.3
Alfonzo McKinnie,GSW,26,22,14,8,235,2.1,2.0,1.2,4.6,9.2,12.4,10.0,31.9,0.2,0.6,4.9,1.5
Amir Johnson,PHI,32,4,3,1,20,0.0,3.7,0.0,11.0,29.4,11.0,11.0,40.4,0.0,0.0,5.5,0.0
Andre Drummond,DET,25,4,0,4,127,1.7,2.8,0.6,13.6,9.9,7.6,20.1,44.7,1.4,3.1,4.8,5.7
Andre Iguodala,GSW,35,21,13,8,629,2.5,1.0,2.0,5.7,12.3,10.7,10.4,30.5,1.3,0.2,2.5,2.7
Andrew Bogut,GSW,34,19,13,6,179,0.8,2.6,0.0,9.7,12.1,9.7,11.5,29.4,1.2,0.2,7.7,1.4
Anfernee Simons,POR,20,5,2,3,12,12.0,6.0,0.0,0.0,0.0,0.0,6.0,30.0,0.0,0.0,6.0,6.0
Aron Baynes,BOS,32,9,5,4,115,0.0,1.2,0.0,3.7,13.4,11.2,18.7,24.3,0.6,0.3,6.2,1.2
Austin Rivers,HOU,26,10,6,4,215,1.0,1.8,1.8,3.7,12.5,8.4,13.2,33.8,0.2,0.3,5.2,1.5
Ben Simmons,PHI,22,12,7,5,421,2.6,1.8,2.8,12.2,13.7,8.2,12.0,30.5,1.0,0.5,3.9,3.8
Blake Griffin,DET,30,2,0,2,58,4.3,5.0,1.2,14.9,11.2,12.4,9.9,40.9,0.0,0.6,5.6,5.6
Boban Marjanovic,PHI,30,11,7,4,105,1.4,6.5,0.0,8.9,18.2,7.2,12.4,38.5,1.0,0.7,6.2,5.5
Bojan Bogdanovic,IND,30,4,0,4,148,4.1,0.0,5.4,7.8,10.0,9.0,12.9,25.9,0.0,1.2,1.7,4.1
Brad Wanamaker,BOS,29,4,2,2,17,6.3,0.0,6.3,4.2,12.6,16.7,20.9,37.7,0.0,0.0,0.0,6.3
Brook Lopez,MIL,31,15,10,5,438,1.2,2.9,0.7,6.2,10.3,7.8,9.8,26.8,2.3,0.4,3.8,1.8
Bruce Brown,DET,22,4,0,4,57,4.4,1.3,1.3,5.1,14.6,12.1,16.5,45.7,0.6,0.6,5.1,1.3
Bryn Forbes,SAS,25,7,3,4,212,0.3,1.5,1.7,2.0,7.3,10.0,7.0,33.9,0.2,0.5,2.4,0.8
CJ McCollum,POR,27,16,8,8,635,3.1,2.1,2.8,8.3,11.1,11.7,9.9,35.8,0.6,0.9,1.9,2.9
