PLAYER,TEAM,GP,W,L,MIN,OPP_FGM,OPP_FGA,OPP_FG_PCT,OPP_FG3M,OPP_FG3A,OPP_FG3_PCT,OPP_FTM,OPP_FTA,OPP_FT_PCT,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_PF,OPP_PFD,OPP_PTS,PLUS_MINUS
"Adams, Steven",OKC,5,1,4,159,31.4,69.5,45.3,11.3,26.5,42.7,13.3,17.9,74.7,9.3,25.3,34.6,14.7,10.0,7.0,4.8,3.6,16.1,16.5,87.6,8.8
"Aldridge, LaMarcus",SAS,7,3,4,244,29.1,64.8,44.9,6.5,19.8,32.8,12.5,17.3,72.6,7.2,26.1,33.3,18.6,6.8,4.0,2.8,2.8,14.8,15.5,77.2,2.7
"Allen, Grayson",UTA,2,0,2,14,30.7,64.1,48.0,10.2,33.3,30.8,10.2,10.2,100,7.7,33.3,41.0,7.7,15.4,5.1,2.6,2.6,12.8,10.2,82.0,25.6
"Allen, Jarrett",BKN,5,1,4,110,35.9,71.9,50.0,7.8,20.9,37.5,14.7,18.6,78.9,11.1,32.7,43.8,22.9,14.0,5.9,3.3,2.0,17.3,15.7,94.4,19.6
"Aminu, Al-Farouq",POR,16,8,8,399,30.8,65.7,46.8,8.0,23.4,34.4,13.4,16.8,80.1,8.4,25.1,33.5,17.5,9.5,5.4,4.9,3.7,17.0,16.0,83.0,1.8
"Antetokounmpo, Giannis",MIL,15,10,5,514,26.6,66.9,39.8,9.5,27.4,34.5,13.4,16.6,80.6,6.3,27.4,33.7,16.3,9.1,5.0,3.4,4.8,18.3,16.3,76.1,-7.9
"Augustin, D.J.",ORL,5,1,4,141,33.2,63.4,52.4,10.0,22.8,43.8,10.5,12.3,85.4,6.6,26.1,32.7,19.9,9.2,7.2,3.6,3.3,15.3,14.6,86.9,17.4
"Barton, Will",DEN,14,7,7,328,29.3,67.5,43.4,7.4,20.7,35.4,13.7,18.3,74.9,10.0,28.1,38.1,14.8,6.8,3.7,4.6,3.7,16.6,16.5,79.7,6.4
"Baynes, Aron",BOS,9,5,4,115,27.1,65.5,41.4,10.0,26.8,37.2,13.7,18.7,73.3,6.9,29.9,36.8,16.8,9.0,5.3,2.5,2.2,10.6,17.2,78.0,11.9
"Beasley, Malik",DEN,14,7,7,281,30.0,62.4,48.0,6.8,18.1,37.6,14.9,19.4,76.8,7.2,25.6,32.8,15.3,7.7,3.8,3.5,3.3,16.5,16.7,81.7,0.5
"Belinelli, Marco",SAS,7,3,4,131,32.9,69.8,47.1,6.0,19.7,30.6,9.9,13.7,72.0,10.4,25.7,36.2,21.4,6.8,3.3,3.0,2.5,17.8,12.9,81.6,-1.9
"Bell, Jordan",GSW,15,11,4,106,33.1,68.2,48.5,11.6,30.7,37.8,10.6,13.0,81.6,9.9,22.8,32.7,21.8,8.2,5.1,3.4,4.4,14.7,15.0,88.3,2.0
"Bertans, Davis",SAS,5,2,3,79,29.7,64.4,46.1,8.7,19.2,45.2,11.0,17.4,63.2,6.9,26.0,32.9,18.7,7.3,3.2,2.3,2.3,16.9,12.8,79.0,-5.5
"Beverley, Patrick",LAC,6,2,4,195,33.7,64.6,52.1,9.8,22.9,42.7,18.5,20.7,89.3,6.5,27.8,34.2,24.4,11.3,5.4,5.6,2.8,18.9,19.2,95.7,10.5
"Birch, Khem",ORL,5,1,4,92,24.4,63.7,38.3,9.0,29.5,30.7,11.4,12.6,90.6,4.3,30.7,35.0,17.7,9.0,5.1,3.1,3.5,20.1,14.2,69.2,1.6
"Bledsoe, Eric",MIL,15,10,5,423,26.3,67.2,39.1,9.0,28.2,32.0,13.5,16.8,80.7,6.4,27.6,34.0,15.7,9.4,5.0,2.8,4.7,18.3,16.1,75.2,-7.2
"Bogdanovic, Bojan",IND,4,0,4,148,28.1,59.0,47.5,8.8,20.3,43.4,12.9,17.1,75.7,5.4,30.0,35.4,16.6,12.0,4.6,1.7,2.7,14.6,15.4,77.8,7.6
"Bogut, Andrew",GSW,19,13,6,179,28.2,61.9,45.6,8.9,24.2,36.7,17.1,21.0,81.7,7.3,23.0,30.3,17.1,11.7,7.1,2.0,3.6,15.5,22.8,82.5,2.2
"Bolden, Jonah",PHI,10,7,3,79,30.1,62.4,48.2,8.7,24.1,35.8,14.1,19.6,72.1,4.1,26.0,30.1,15.5,11.4,6.8,2.7,3.6,18.2,16.4,82.9,10.0
"Boucher, Chris",TOR,2,1,1,4,26.6,70.8,37.5,17.7,44.3,40.0,35.4,35.4,100,8.9,62.0,70.8,26.6,8.9,0.0,17.7,8.9,17.7,17.7,106.2,44.3
"Brogdon, Malcolm",MIL,7,3,4,198,25.1,64.5,38.9,8.9,26.9,33.1,15.6,19.6,79.6,6.5,23.8,30.3,14.9,8.5,4.9,3.1,4.4,17.3,15.3,74.6,-9.6
"Brown, Bruce",DET,4,0,4,57,35.6,68.6,51.9,9.5,22.9,41.7,16.5,22.2,74.3,9.5,31.8,41.3,23.5,10.2,5.1,6.4,3.2,15.2,21.0,97.2,25.4
"Brown, Jaylen",BOS,9,5,4,274,28.9,66.3,43.7,10.0,28.8,34.7,13.3,18.2,73.2,6.2,28.7,34.9,17.2,9.3,5.5,3.2,3.0,14.3,15.7,81.2,5.8
"Brown, Sterling",MIL,11,8,3,162,28.5,71.1,40.0,8.0,26.2,30.5,10.4,14.0,74.6,7.3,27.8,35.1,16.7,8.2,3.8,3.3,5.8,17.1,15.3,75.4,-7.3
"Burton, Deonte",OKC,3,1,2,4,8.0,56.2,14.3,0.0,24.1,0.0,16.1,16.1,100,0.0,32.1,32.1,8.0,0.0,0.0,0.0,8.0,8.0,8.0,32.1,-8.0
"Butler, Jimmy",PHI,12,7,5,421,26.4,64.3,41.1,7.1,24.5,28.9,15.6,18.6,83.5,7.7,22.2,29.9,13.7,9.8,5.3,2.4,3.6,16.9,16.8,75.5,-8.4
"Calderon, Jose",DET,3,0,3,10,37.2,52.1,71.4,11.2,22.3,50.0,0.0,0.0,0.0,7.4,29.8,37.2,22.3,29.8,0.0,3.7,0.0,22.3,3.7,85.7,-11.2
"Capela, Clint",HOU,11,6,5,331,28.8,66.3,43.5,8.4,26.3,31.8,12.1,15.3,78.7,8.4,23.2,31.6,19.0,9.9,7.3,3.5,4.5,14.9,15.0,78.2,0.7
"Carroll, DeMarre",BKN,5,1,4,119,34.4,69.4,49.6,6.6,21.1,31.4,17.2,22.9,75.0,10.6,31.1,41.6,20.8,10.0,4.8,5.1,2.1,16.3,17.8,92.6,10.6
"Carter-Williams, Michael",ORL,5,1,4,92,27.7,63.6,43.6,8.2,26.5,30.9,10.1,12.1,83.9,3.5,29.6,33.1,20.7,7.8,5.1,2.7,2.3,19.1,14.0,73.7,5.8
"Chandler, Wilson",LAC,4,1,3,52,29.5,68.0,43.4,10.3,27.5,37.5,13.0,15.1,86.4,9.6,26.8,36.4,16.5,10.3,4.1,5.5,2.1,19.2,18.5,82.4,-5.5
"Clark, Gary",HOU,2,1,1,4,38.6,48.3,80.0,9.7,9.7,100,19.3,29.0,66.7,0.0,38.6,38.6,19.3,29.0,0.0,0.0,0.0,0.0,19.3,106.2,19.3
"Collins, Zach",POR,16,8,8,275,25.9,64.7,40.1,6.7,19.5,34.2,18.0,22.3,80.6,11.0,24.6,35.6,15.7,8.9,5.1,2.9,3.9,16.8,18.6,76.5,3.0
"Collison, Darren",IND,4,0,4,117,27.1,61.0,44.4,8.6,21.0,41.2,12.0,15.4,78.0,5.2,30.2,35.4,16.6,12.0,4.3,1.5,3.4,13.6,14.2,74.9,2.2
"Connaughton, Pat",MIL,15,10,5,324,26.8,69.0,38.8,8.7,26.7,32.5,14.2,18.1,78.5,7.0,28.9,35.9,17.2,8.0,5.8,4.1,5.4,16.5,16.8,76.4,-6.0
"Cook, Quinn",GSW,17,11,6,193,30.6,65.8,46.5,7.8,22.9,34.1,15.8,19.8,80.2,8.8,24.2,33.0,17.7,8.8,7.5,3.2,3.7,16.4,17.7,84.8,10.3
"Cousins, DeMarcus",GSW,8,3,5,133,27.3,62.7,43.5,8.9,26.2,34.0,14.3,17.8,80.3,7.6,28.1,35.7,15.1,11.4,6.8,4.9,5.7,17.3,14.6,77.9,7.8
"Craig, Torrey",DEN,14,7,7,330,30.1,65.9,45.6,5.6,19.2,29.0,13.4,18.3,73.2,7.7,23.2,30.9,15.4,6.2,4.0,3.2,3.2,14.3,15.5,79.1,-3.2
"Crowder, Jae",UTA,5,1,4,130,26.3,60.9,43.2,12.7,33.2,38.3,13.3,18.0,73.8,7.5,28.0,35.4,15.0,11.9,6.9,5.5,3.6,15.2,16.3,78.6,9.1
"Cunningham, Dante",SAS,5,2,3,13,16.7,47.3,35.3,5.6,22.2,25.0,5.6,5.6,100,5.6,27.8,33.4,8.3,16.7,0.0,2.8,0.0,5.6,8.3,44.5,-19.5
"Curry, Seth",POR,16,8,8,326,26.8,65.1,41.2,6.5,19.9,32.8,15.1,19.0,79.7,10.6,25.7,36.3,17.1,9.6,5.2,4.0,4.1,19.0,17.1,75.3,-4.1
