PLAYER,TEAM,AGE,GP,W,L,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM
Aaron Gordon,ORL,23,5,1,4,32.8,67.7,32.3,55.3,15.8,31.6,17.1,13.2,19.7,39.5,33.3,66.7,75.0,25.0,44.8,55.2
Aaron Holiday,IND,22,3,0,3,4.5,60.0,40.0,40.0,0.0,60.0,40.0,0.0,40.0,40.0,0.0,100,0.0,100,0.0,100
Abdel Nader,OKC,25,3,1,2,1.6,100,0.0,100,0.0,0.0,100,0.0,0.0,100,0.0,100,0.0,0.0,0.0,100
Al Horford,BOS,33,9,5,4,34.5,60.0,40.0,44.8,20.8,43.2,4.0,12.0,6.4,24.0,75.0,25.0,94.4,5.6,82.6,17.4
Al-Farouq Aminu,POR,28,16,8,8,24.9,53.2,46.8,39.0,5.1,38.1,16.9,22.9,16.9,33.9,60.9,39.1,100,0.0,76.3,23.7
Alfonzo McKinnie,GSW,26,22,14,8,10.7,45.8,54.2,48.5,3.0,45.5,12.1,6.1,21.2,45.5,81.3,18.8,100,0.0,88.5,11.5
Amir Johnson,PHI,32,4,3,1,4.9,100,0.0,100,25.0,0.0,0.0,0.0,0.0,75.0,25.0,75.0,0.0,0.0,25.0,75.0
Andre Drummond,DET,25,4,0,4,31.8,98.1,1.9,84.2,0.0,0.0,3.5,15.8,10.5,84.2,87.5,12.5,0.0,0.0,87.5,12.5
Andre Iguodala,GSW,35,21,13,8,30.0,51.8,48.2,52.4,3.9,40.8,17.0,6.8,20.9,48.5,85.2,14.8,92.9,7.1,87.8,12.2
Andrew Bogut,GSW,34,19,13,6,9.4,100,0.0,92.3,0.0,0.0,0.0,7.7,7.7,92.3,66.7,33.3,0.0,0.0,66.7,33.3
Anfernee Simons,POR,20,5,2,3,2.4,71.4,28.6,0.0,0.0,0.0,0.0,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aron Baynes,BOS,32,9,5,4,12.8,57.1,42.9,63.2,0.0,31.6,0.0,5.3,0.0,63.2,66.7,33.3,100,0.0,75.0,25.0
Austin Rivers,HOU,26,10,6,4,21.5,43.5,56.5,29.7,0.0,64.9,14.9,5.4,8.1,29.7,45.5,54.5,68.8,31.3,59.3,40.7
Ben Simmons,PHI,22,12,7,5,35.1,100,0.0,86.2,1.2,0.0,19.8,13.8,18.0,85.0,55.6,44.4,0.0,0.0,55.6,44.4
Blake Griffin,DET,30,2,0,2,29.0,66.7,33.3,49.0,0.0,36.7,4.1,14.3,14.3,49.0,25.0,75.0,83.3,16.7,44.4,55.6
Boban Marjanovic,PHI,30,11,7,4,9.5,92.5,7.5,75.0,34.4,0.0,0.0,25.0,6.3,40.6,54.2,45.8,0.0,0.0,54.2,45.8
Bojan Bogdanovic,IND,30,4,0,4,36.9,65.1,34.9,50.0,5.6,29.2,30.6,20.8,23.6,44.4,50.0,50.0,85.7,14.3,60.0,40.0
