PLAYER,TEAM,AGE,Less Than 5 ft. FGM,Less Than 5 ft. FGA,Less Than 5 ft. FG PCT,5-9 ft. FGM,5-9 ft. FGA,5-9 ft. FG PCT,10-14 ft. FGM,10-14 ft. FGA,10-14 ft. FG PCT,15-19 ft. FGM,15-19 ft. FGA,15-19 ft. FG PCT,20-24 ft. FGM,20-24 ft. FGA,20-24 ft. FG PCT,25-29 ft. FGM,25-29 ft. FGA,25-29 ft. FG PCT
Aaron Gordon,ORL,23,2.4,5.2,46.2,0.4,0.4,100,0.6,1.4,42.9,0.6,1.2,50.0,0.6,1.8,33.3,1.2,2.4,50.0
Aaron Holiday,IND,22,0.3,0.3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.3,0.3,100,0.0,0.5,0.0
Abdel Nader,OKC,25,0.3,0.7,50.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0
Al Horford,BOS,33,1.1,2.2,50.0,0.4,1.4,30.8,0.3,0.7,50.0,1.1,2.8,40.0,0.3,1.1,30.0,1.8,4.0,44.4
Al-Farouq Aminu,POR,28,1.2,2.4,50.0,0.1,0.9,14.3,0.1,0.2,33.3,0.1,0.1,50.0,0.9,2.4,35.9,0.1,0.8,7.7
Alfonzo McKinnie,GSW,26,0.6,0.9,73.7,0.0,0.3,16.7,0.0,0.0,100,0.0,0.0,0.0,0.4,1.3,29.6,0.1,0.2,40.0
Amir Johnson,PHI,32,0.8,0.8,100,0.3,0.3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andre Drummond,DET,25,4.8,10.0,47.5,1.0,2.3,44.4,0.3,0.8,33.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.0
Andre Iguodala,GSW,35,2.1,2.7,78.9,0.1,0.3,50.0,0.1,0.4,22.2,0.2,0.6,30.8,0.8,1.9,43.6,0.5,2.0,26.2
Andrew Bogut,GSW,34,1.1,1.5,72.4,0.2,0.4,50.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anfernee Simons,POR,20,0.0,0.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.3,0.0,0.0,0.3,0.0
Aron Baynes,BOS,32,0.6,0.7,83.3,0.1,0.1,100,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.7,33.3
Austin Rivers,HOU,26,1.1,1.9,57.9,0.0,0.5,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.5,1.0,50.0,1.1,2.5,44.0
Ben Simmons,PHI,22,4.9,7.7,64.1,0.8,1.5,50.0,0.3,0.5,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blake Griffin,DET,30,5.5,11.0,50.0,0.5,1.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.5,46.2
Boban Marjanovic,PHI,30,0.9,1.4,64.3,0.3,0.6,40.0,0.4,0.5,80.0,1.1,1.6,69.2,0.0,0.2,0.0,0.0,0.1,0.0
Bojan Bogdanovic,IND,30,3.3,5.5,59.1,0.5,1.5,33.3,0.5,1.5,33.3,0.3,1.8,14.3,0.3,1.5,16.7,1.5,3.8,40.0
Brad Wanamaker,BOS,29,0.3,0.3,100,0.0,0.3,0.0,0.0,0.3,0.0,0.3,0.7,50.0,0.0,0.3,0.0,0.3,0.3,100
Brook Lopez,MIL,31,2.3,2.7,82.9,0.1,0.7,20.0,0.1,0.3,50.0,0.1,0.3,25.0,0.1,0.9,7.7,1.4,4.0,35.0
Bruce Brown,DET,22,1.0,1.5,66.7,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.3,0.5,50.0
Bryn Forbes,SAS,25,0.4,1.0,42.9,0.4,1.0,42.9,0.3,0.6,50.0,0.6,0.9,66.7,0.9,1.7,50.0,1.1,2.7,42.1
