PLAYER,TEAM,AGE,Restricted Area FGM,Restricted Area FGA,Restricted Area FG PCT,In The Paint (Non-RA) FGM,In The Paint (Non-RA) FGA,In The Paint (Non-RA) FG PCT,Mid-Range FGM,Mid-Range FGA,Mid-Range FG PCT,Left Corner 3 FGM,Left Corner 3 FGA,Left Corner 3 FG PCT,Right Corner 3 FGM,Right Corner 3 FGA,Right Corner 3 FG PCT,Corner 3 FGM,Corner 3 FGA,Corner 3 FG PCT,Above the Break 3 FGM,Above the Break 3 FGA,Above the Break 3 FG PCT
Aaron Gordon,ORL,23,2.4,4.8,50.0,0.6,1.4,42.9,1.2,2.2,54.5,0.2,0.8,25.0,0.2,0.6,33.3,0.4,1.4,28.6,1.2,2.6,46.2
Aaron Holiday,IND,22,0.3,0.3,100,0.0,0.0,0.0,0.0,0.7,0.0,-,-,-,0.0,0.0,0.0,0.0,0.0,-,0.3,0.7,50.0
Abdel Nader,OKC,25,0.3,0.3,100,0.0,1.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,0.0,0.0,-,0.0,0.0,0.0
Al Horford,BOS,33,1.0,2.1,47.4,0.7,1.8,37.5,1.4,3.4,41.9,0.2,0.7,33.3,0.0,0.1,0.0,0.2,0.8,25.0,1.8,4.1,43.2
Al-Farouq Aminu,POR,28,1.0,2.1,47.1,0.3,1.1,22.2,0.2,0.4,50.0,0.4,0.9,41.7,0.4,1.1,37.5,0.8,2.0,40.0,0.3,1.4,17.4
Alfonzo McKinnie,GSW,26,0.6,0.8,72.2,0.1,0.3,28.6,0.0,0.1,33.3,0.2,0.6,27.3,0.3,0.8,38.5,0.5,1.4,35.7,0.1,0.3,28.6
Amir Johnson,PHI,32,0.8,0.8,100,0.0,0.0,0.0,0.3,0.3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Andre Drummond,DET,25,4.8,9.5,50.0,1.3,3.5,35.7,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.3,0.0
Andre Iguodala,GSW,35,2.1,2.6,80.0,0.3,0.8,37.5,0.2,0.7,26.7,0.5,0.9,55.6,0.3,0.8,37.5,0.8,1.7,47.1,0.6,2.2,26.1
Andrew Bogut,GSW,34,1.1,1.4,77.8,0.2,0.5,33.3,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Anfernee Simons,POR,20,0.0,0.4,0.0,0.0,0.7,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.4,0.0
Aron Baynes,BOS,32,0.6,0.7,83.3,0.1,0.2,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.2,0.7,33.3
Austin Rivers,HOU,26,0.8,1.4,57.1,0.3,1.1,27.3,0.0,0.2,0.0,0.4,0.6,80.0,0.0,0.2,0.0,0.4,0.8,50.0,1.2,2.8,42.9
Ben Simmons,PHI,22,4.8,7.3,66.7,1.1,2.3,46.4,0.1,0.1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Blake Griffin,DET,30,5.5,10.0,55.0,0.5,2.5,20.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,3.0,6.5,46.2
Boban Marjanovic,PHI,30,0.9,1.3,69.2,0.5,1.0,50.0,1.0,1.5,68.8,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.1,0.0
Bojan Bogdanovic,IND,30,3.3,5.3,61.9,0.8,2.3,33.3,0.5,2.8,18.2,0.3,0.5,50.0,0.0,0.0,0.0,0.3,0.5,60.0,1.5,5.0,30.0
Brad Wanamaker,BOS,29,0.3,0.3,100,0.0,0.5,0.0,0.3,0.8,33.3,0.0,0.0,0.0,-,-,-,0.0,0.0,-,0.3,0.3,100
Brook Lopez,MIL,31,2.1,2.5,86.5,0.4,1.0,40.0,0.1,0.5,14.3,0.0,0.3,0.0,0.1,0.5,12.5,0.1,0.8,12.5,1.4,4.1,33.9
Bruce Brown,DET,22,0.8,1.3,60.0,0.3,1.0,25.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.5,0.0,0.0,0.8,0.0,0.3,0.5,50.0
Bryn Forbes,SAS,25,0.4,0.9,50.0,0.4,1.4,30.0,0.9,1.3,66.7,0.0,0.0,0.0,0.3,0.3,100,0.3,0.3,100,1.9,4.1,44.8
CJ McCollum,POR,27,2.3,4.2,55.2,2.3,5.6,40.4,2.2,4.8,45.5,0.2,0.4,42.9,0.1,0.3,20.0,0.3,0.7,42.9,2.6,6.5,40.4
Caris LeVert,BKN,24,2.8,4.2,66.7,2.0,4.6,43.5,0.0,0.6,0.0,0.2,0.4,50.0,0.0,0.0,0.0,0.2,0.4,50.0,2.2,4.8,45.8
Chris Boucher,TOR,26,0.5,1.0,50.0,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5,1.0,50.0
Chris Paul,HOU,34,1.4,2.2,62.5,2.1,3.4,62.2,1.0,2.2,45.8,0.0,0.5,0.0,0.1,0.3,33.3,0.1,0.8,12.5,1.5,4.7,30.8
Clint Capela,HOU,25,4.0,6.0,66.7,0.2,1.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Cory Joseph,IND,27,1.3,1.8,71.4,0.5,0.8,66.7,0.3,1.3,20.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,1.0,1.8,57.1
