PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PF,NBA_FANTASY_PTS,DD2,TD3,PLUS_MINUS
Aaron Gordon,ORL,23,5,1,4,164,16.7,6.4,13.6,46.8,1.8,4.4,40.0,2.2,4.2,52.6,2.4,5.5,7.9,4.0,2.9,1.3,0.2,3.5,33.9,1,0,-17.4
Aaron Holiday,IND,22,3,0,3,13,13.3,5.3,13.3,40.0,2.7,5.3,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0,8.0,10.7,0,0,-8.0
Abdel Nader,OKC,25,3,1,2,5,15.2,7.6,15.2,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,0.0,38.0,0,0,-15.2
Al Horford,BOS,33,9,5,4,310,14.5,5.3,12.8,41.8,2.1,5.1,40.9,1.7,2.1,83.3,1.5,7.9,9.4,4.6,2.2,0.5,0.8,2.4,34.4,3,0,3.3
Al-Farouq Aminu,POR,28,16,8,8,399,10.6,3.4,9.8,34.9,1.4,4.6,29.4,2.4,3.2,75.0,2.6,6.4,9.0,1.9,1.4,0.8,0.9,3.1,28.0,1,0,-1.8
Alfonzo McKinnie,GSW,26,22,14,8,235,10.1,4.0,9.0,44.1,1.5,4.9,31.3,0.6,1.5,40.0,2.6,5.1,7.7,0.6,0.9,0.3,0.2,4.9,20.7,0,0,1.1
Amir Johnson,PHI,32,4,3,1,20,14.7,7.3,7.3,100,0.0,0.0,0.0,0.0,0.0,0.0,5.5,3.7,9.2,3.7,1.8,1.8,0.0,5.5,34.9,0,0,-33.0
Andre Drummond,DET,25,4,0,4,127,16.1,6.8,15.3,44.4,0.0,0.3,0.0,2.5,5.9,42.9,5.7,9.0,14.7,2.5,3.1,1.7,1.4,4.8,43.8,4,0,-27.1
Andre Iguodala,GSW,35,21,13,8,629,11.8,4.7,9.5,49.4,1.6,4.6,35.0,0.8,2.1,37.8,1.5,3.7,5.2,4.7,1.2,1.4,1.3,2.5,32.0,0,0,3.9
Andrew Bogut,GSW,34,19,13,6,179,10.5,4.8,7.5,64.9,0.0,0.0,0.0,0.8,1.0,80.0,4.6,10.3,14.9,4.2,2.0,1.0,1.2,7.7,39.4,0,0,-2.2
Anfernee Simons,POR,20,5,2,3,12,12.0,0.0,21.0,0.0,0.0,6.0,0.0,12.0,15.0,80.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,21.0,0,0,-30.0
Aron Baynes,BOS,32,9,5,4,115,5.9,2.5,4.4,57.1,0.6,1.9,33.3,0.3,0.6,50.0,1.9,5.9,7.8,0.9,1.6,0.9,0.6,6.2,19.8,0,0,-11.9
Austin Rivers,HOU,26,10,6,4,215,12.4,4.5,10.4,43.5,2.7,5.8,45.7,0.7,1.0,66.7,0.3,3.2,3.5,1.7,1.3,0.8,0.2,5.2,20.8,0,0,3.5
Ben Simmons,PHI,22,12,7,5,421,14.3,6.2,9.9,62.1,0.0,0.0,0.0,2.0,3.4,57.5,2.0,5.2,7.2,6.2,2.7,1.3,1.0,3.9,36.4,1,1,3.3
Blake Griffin,DET,30,2,0,2,58,30.4,11.2,24.2,46.2,3.7,8.1,46.2,4.3,4.3,100,2.5,5.0,7.4,7.4,3.7,1.2,0.0,5.6,50.4,0,0,-6.8
Boban Marjanovic,PHI,30,11,7,4,105,22.0,8.3,13.8,60.0,0.0,1.0,0.0,5.5,6.5,84.2,4.5,7.9,12.4,3.8,4.8,0.7,1.0,6.2,42.9,0,0,-8.9
Bojan Bogdanovic,IND,30,4,0,4,148,17.6,6.1,15.4,39.7,1.7,5.4,31.8,3.7,4.1,88.2,0.7,4.9,5.6,2.7,1.5,2.0,0.0,1.7,32.7,0,0,-7.6
Brad Wanamaker,BOS,29,4,2,2,17,20.9,6.3,14.7,42.9,2.1,2.1,100,6.3,8.4,75.0,0.0,0.0,0.0,6.3,4.2,4.2,0.0,0.0,38.7,0,0,-12.6
Brook Lopez,MIL,31,15,10,5,438,13.8,5.0,11.0,45.5,1.8,6.2,29.3,2.0,2.4,82.8,1.0,5.8,6.7,1.7,0.8,0.5,2.3,3.8,32.0,1,0,7.9
Bruce Brown,DET,22,4,0,4,57,8.3,3.2,8.9,35.7,0.6,3.2,20.0,1.3,1.3,100,0.6,4.4,5.1,1.3,1.3,1.3,0.6,5.1,20.7,0,0,-25.4
Bryn Forbes,SAS,25,7,3,4,212,12.7,4.6,9.5,48.2,2.5,5.3,48.4,1.0,1.5,66.7,0.2,4.1,4.2,1.2,0.5,0.2,0.2,2.4,20.1,0,0,-2.7
CJ McCollum,POR,27,16,8,8,635,22.4,8.7,19.8,44.0,2.6,6.6,39.3,2.3,3.2,73.2,0.8,3.7,4.5,3.3,1.7,0.7,0.6,1.9,35.0,0,0,-0.8
Caris LeVert,BKN,24,5,1,4,144,26.2,9.0,18.2,49.3,3.0,6.5,46.2,5.2,7.2,72.4,1.5,4.2,5.7,3.7,2.5,1.2,0.5,2.0,41.4,0,0,-6.7
Chris Boucher,TOR,26,2,1,1,4,44.3,17.7,44.3,40.0,8.9,26.6,33.3,0.0,8.9,0.0,0.0,8.9,8.9,0.0,0.0,0.0,8.9,0.0,81.4,0,0,-44.3
