PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PF,NBA_FANTASY_PTS,DD2,TD3,PLUS_MINUS
Aaron Gordon,ORL,23,5,1,4,49.9,23.2,8.8,18.9,46.8,2.4,6.1,40.0,3.0,5.8,52.6,3.4,7.6,11.0,5.5,4.0,1.8,0.3,4.9,47.0,1,0,-24.1
Aaron Holiday,IND,22,3,0,3,46.5,17.2,6.9,17.2,40.0,3.4,6.9,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,10.3,13.8,0,0,-10.3
Abdel Nader,OKC,25,3,1,2,43.1,18.2,9.1,18.2,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,0.0,45.5,0,0,-18.2
Al Horford,BOS,33,9,5,4,47.4,19.1,7.0,16.8,41.8,2.8,6.7,40.9,2.3,2.8,83.3,2.0,10.4,12.4,6.1,2.9,0.6,1.1,3.2,45.3,3,0,4.3
Al-Farouq Aminu,POR,28,16,8,8,48.6,14.4,4.6,13.3,34.9,1.8,6.2,29.4,3.3,4.4,75.0,3.5,8.6,12.2,2.6,1.9,1.1,1.2,4.1,37.8,1,0,-2.4
Alfonzo McKinnie,GSW,26,22,14,8,46.5,13.1,5.1,11.7,44.1,2.0,6.3,31.3,0.8,2.0,40.0,3.4,6.5,9.9,0.8,1.2,0.4,0.2,6.3,26.7,0,0,1.4
Amir Johnson,PHI,32,4,3,1,46.7,19.0,9.5,9.5,100,0.0,0.0,0.0,0.0,0.0,0.0,7.1,4.8,11.9,4.8,2.4,2.4,0.0,7.1,45.2,0,0,-42.9
Andre Drummond,DET,25,4,0,4,47.2,21.1,8.9,20.0,44.4,0.0,0.4,0.0,3.3,7.8,42.9,7.4,11.9,19.3,3.3,4.1,2.2,1.9,6.3,57.4,4,0,-35.6
Andre Iguodala,GSW,35,21,13,8,47.9,15.7,6.2,12.6,49.4,2.1,6.1,35.0,1.1,2.8,37.8,2.1,4.9,6.9,6.3,1.6,1.8,1.8,3.3,42.6,0,0,5.3
Andrew Bogut,GSW,34,19,13,6,48.9,14.2,6.6,10.1,64.9,0.0,0.0,0.0,1.1,1.4,80.0,6.3,14.0,20.3,5.8,2.7,1.4,1.6,10.4,53.5,0,0,-3.0
Anfernee Simons,POR,20,5,2,3,46.1,15.4,0.0,26.9,0.0,0.0,7.7,0.0,15.4,19.2,80.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,7.7,26.9,0,0,-38.5
Aron Baynes,BOS,32,9,5,4,47.5,7.8,3.3,5.8,57.1,0.8,2.5,33.3,0.4,0.8,50.0,2.5,7.8,10.3,1.2,2.1,1.2,0.8,8.2,26.1,0,0,-15.6
Austin Rivers,HOU,26,10,6,4,47.8,16.4,6.0,13.7,43.5,3.5,7.8,45.7,0.9,1.3,66.7,0.4,4.2,4.7,2.2,1.8,1.1,0.2,6.9,27.5,0,0,4.7
Ben Simmons,PHI,22,12,7,5,48.5,19.2,8.3,13.4,62.1,0.0,0.0,0.0,2.6,4.6,57.5,2.6,7.0,9.7,8.3,3.7,1.7,1.4,5.2,48.9,1,1,4.5
Blake Griffin,DET,30,2,0,2,46.5,39.2,14.4,31.2,46.2,4.8,10.4,46.2,5.6,5.6,100,3.2,6.4,9.6,9.6,4.8,1.6,0.0,7.2,65.1,0,0,-8.8
Boban Marjanovic,PHI,30,11,7,4,45.3,27.7,10.4,17.3,60.0,0.0,1.3,0.0,6.9,8.2,84.2,5.6,10.0,15.6,4.8,6.1,0.9,1.3,7.8,54.0,0,0,-11.3
Bojan Bogdanovic,IND,30,4,0,4,49.2,24.0,8.3,21.0,39.7,2.3,7.3,31.8,5.0,5.7,88.2,1.0,6.7,7.7,3.7,2.0,2.7,0.0,2.3,44.7,0,0,-10.3
Brad Wanamaker,BOS,29,4,2,2,43.0,25.0,7.5,17.5,42.9,2.5,2.5,100,7.5,10.0,75.0,0.0,0.0,0.0,7.5,5.0,5.0,0.0,0.0,46.3,0,0,-15.0
Brook Lopez,MIL,31,15,10,5,47.5,18.2,6.6,14.5,45.5,2.4,8.1,29.3,2.6,3.1,82.8,1.3,7.6,8.9,2.3,1.1,0.7,3.0,5.0,42.3,1,0,10.4
Bruce Brown,DET,22,4,0,4,47.2,10.8,4.2,11.7,35.7,0.8,4.2,20.0,1.7,1.7,100,0.8,5.8,6.7,1.7,1.7,1.7,0.8,6.7,27.2,0,0,-33.3
Bryn Forbes,SAS,25,7,3,4,51.9,18.3,6.6,13.7,48.2,3.7,7.6,48.4,1.5,2.2,66.7,0.2,5.9,6.1,1.7,0.7,0.2,0.2,3.4,29.0,0,0,-3.9
CJ McCollum,POR,27,16,8,8,49.0,30.4,11.9,27.0,44.0,3.5,9.0,39.3,3.2,4.3,73.2,1.1,5.1,6.2,4.5,2.3,1.0,0.8,2.6,47.7,0,0,-1.2
Caris LeVert,BKN,24,5,1,4,45.1,32.8,11.3,22.8,49.3,3.8,8.1,46.2,6.6,9.1,72.4,1.9,5.3,7.2,4.7,3.1,1.6,0.6,2.5,51.9,0,0,-8.4
Chris Boucher,TOR,26,2,1,1,33.9,41.7,16.7,41.7,40.0,8.3,25.0,33.3,0.0,8.3,0.0,0.0,8.3,8.3,0.0,0.0,0.0,8.3,0.0,76.7,0,0,-41.7
