PLAYER,TEAM,AGE,GP,W,L,MIN,USG_PCT,PCT_FGM,PCT_FGA,PCT_FG3M,PCT_FG3A,PCT_FTM,PCT_FTA,PCT_OREB,PCT_DREB,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_BLKA,PCT_PF,PCT_PFD,PCT_PTS
Aaron Gordon,ORL,23,5,1,4,164.0,22.8,26.1,23.1,22.9,19.4,17.9,26.0,47.8,25.8,30.0,26.9,22.8,25.0,7.1,12.5,24.2,30.7,24.3
Aaron Holiday,IND,22,3,0,3,13.0,19.4,25.0,22.7,50.0,22.2,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,50.0,0.0,21.7
Abdel Nader,OKC,25,3,1,2,5.0,16.7,50.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,40.0
Al Horford,BOS,33,9,5,4,310.0,18.8,19.5,20.5,25.0,20.7,11.2,10.9,26.5,26.5,26.5,27.6,19.6,9.8,28.0,18.5,17.2,13.1,18.4
Al-Farouq Aminu,POR,28,16,8,8,399.0,14.7,11.9,14.9,15.5,19.7,16.4,17.1,26.6,26.2,26.3,14.1,13.9,15.0,24.4,20.4,19.2,13.3,13.1
Alfonzo McKinnie,GSW,26,22,14,8,235.0,11.8,13.1,13.8,16.4,19.2,3.7,7.6,28.8,19.4,21.8,3.0,8.5,5.3,4.5,16.7,27.8,9.8,11.7
Amir Johnson,PHI,32,4,3,1,20.0,10.4,28.6,11.8,0.0,0.0,0.0,0.0,60.0,16.7,29.4,40.0,11.1,50.0,0.0,0.0,42.9,0.0,22.9
Andre Drummond,DET,25,4,0,4,127.0,24.0,23.5,20.2,0.0,1.2,34.6,52.5,55.6,42.7,46.8,15.0,45.8,42.9,55.6,42.3,25.4,44.4,22.3
Andre Iguodala,GSW,35,21,13,8,629.0,13.8,15.3,14.9,16.0,17.8,5.2,10.9,22.1,15.3,16.9,22.3,11.7,24.2,30.3,7.5,14.6,15.2,13.6
Andrew Bogut,GSW,34,19,13,6,179.0,11.6,15.7,11.4,0.0,0.0,7.5,7.5,50.0,42.5,44.6,20.0,15.6,17.2,33.3,10.0,33.6,9.1,13.1
Anfernee Simons,POR,20,5,2,3,12.0,30.0,0.0,30.4,0.0,16.7,57.1,41.7,0.0,0.0,0.0,0.0,0.0,33.3,0.0,0.0,40.0,33.3,25.0
Aron Baynes,BOS,32,9,5,4,115.0,7.6,9.5,6.8,7.7,7.8,5.6,8.3,46.2,19.0,22.1,6.7,12.8,25.0,28.6,12.5,36.4,11.8,9.0
Austin Rivers,HOU,26,10,6,4,215.0,14.2,16.0,15.9,20.3,16.7,5.2,5.9,4.9,11.9,10.4,12.7,13.8,18.5,3.8,11.1,30.4,9.7,15.0
Ben Simmons,PHI,22,12,7,5,421.0,16.3,21.2,15.6,0.0,0.0,12.7,17.2,22.8,18.8,19.7,31.9,22.4,28.8,22.6,18.8,22.5,22.3,17.7
Blake Griffin,DET,30,2,0,2,58.0,31.8,34.0,31.2,31.6,28.9,58.3,50.0,22.2,20.5,21.1,34.3,42.9,20.0,0.0,7.7,25.0,40.9,35.8
Boban Marjanovic,PHI,30,11,7,4,105.0,23.1,24.5,19.8,0.0,6.0,40.0,38.0,39.4,31.9,34.3,20.0,33.3,14.3,60.0,28.6,32.7,37.2,25.2
Bojan Bogdanovic,IND,30,4,0,4,148.0,22.5,23.4,24.7,22.6,24.2,34.9,28.3,14.3,22.2,20.7,16.2,16.7,28.6,0.0,71.4,11.1,28.3,25.0
Brad Wanamaker,BOS,29,4,2,2,17.0,25.0,27.3,24.1,100,14.3,23.1,23.5,0.0,0.0,0.0,50.0,33.3,66.7,0.0,0.0,0.0,30.0,27.8
Brook Lopez,MIL,31,15,10,5,438.0,15.1,16.3,16.6,20.4,22.7,14.9,13.0,14.5,18.2,17.6,9.3,9.3,10.5,43.8,11.9,24.2,11.0,16.5
Bruce Brown,DET,22,4,0,4,57.0,12.6,11.1,13.0,9.1,14.3,16.7,11.1,12.5,19.4,18.2,7.4,12.5,33.3,20.0,10.0,24.2,8.3,11.5
Bryn Forbes,SAS,25,7,3,4,212.0,13.7,15.7,15.1,51.7,37.3,8.7,10.1,2.3,15.4,12.6,7.0,7.1,5.9,5.3,17.6,14.6,6.5,17.0
CJ McCollum,POR,27,16,8,8,635.0,27.3,29.5,30.2,29.9,28.5,17.0,18.1,10.1,15.3,14.0,22.6,18.6,13.5,15.6,21.9,11.8,17.7,27.4
Caris LeVert,BKN,24,5,1,4,144.0,26.9,32.7,27.2,36.4,24.8,26.6,29.9,24.0,19.5,20.5,28.3,26.3,23.8,20.0,25.0,11.9,28.0,31.6
Chris Boucher,TOR,26,2,1,1,4.0,41.7,100,50.0,100,60.0,0.0,33.3,0.0,20.0,20.0,0.0,0.0,0.0,100,50.0,0.0,50.0,71.4
Chris Paul,HOU,34,11,6,5,397.0,22.3,21.9,21.6,14.4,18.4,25.5,23.1,16.9,20.4,19.6,41.1,28.5,33.8,16.3,8.3,19.7,27.0,21.5
Clint Capela,HOU,25,11,6,5,331.0,15.0,18.1,14.6,0.0,0.0,15.2,24.8,65.1,29.8,37.0,12.3,14.2,5.4,29.3,31.3,18.8,20.4,15.0
Cory Joseph,IND,27,4,0,4,85.0,13.5,22.6,16.7,22.2,17.3,8.7,5.0,8.3,10.7,10.3,12.5,0.0,21.4,0.0,12.5,16.7,11.4,20.4
D'Angelo Russell,BKN,23,5,1,4,148.0,33.2,33.3,37.1,37.5,37.0,20.0,18.6,5.3,19.0,14.8,29.5,25.9,30.4,14.3,17.6,16.4,13.2,31.4
D.J. Augustin,ORL,31,5,1,4,141.0,17.3,21.3,17.7,27.0,20.6,29.8,26.7,4.3,8.5,7.6,32.2,14.9,10.5,7.7,42.9,12.3,16.7,23.5
D.J. Wilson,MIL,23,8,6,2,43.0,22.6,26.7,21.6,10.0,13.2,18.2,15.4,12.5,30.0,26.3,18.2,36.8,0.0,33.3,20.0,33.3,12.5,23.5
Damian Jones,GSW,24,4,3,1,8.0,13.6,20.0,8.3,0.0,0.0,14.3,25.0,0.0,25.0,22.2,0.0,25.0,0.0,0.0,0.0,60.0,20.0,16.7
Damian Lillard,POR,28,16,8,8,650.0,28.6,25.9,27.5,36.9,36.2,37.3,34.9,5.2,15.6,12.9,40.2,34.7,29.3,6.9,25.3,13.7,36.9,29.1
Daniel Theis,BOS,27,7,5,2,42.0,15.1,15.6,17.9,0.0,8.3,11.8,8.0,36.4,15.8,20.4,0.0,6.7,16.7,50.0,50.0,19.0,18.2,13.5
Danilo Gallinari,LAC,30,6,2,4,201.0,27.1,23.5,30.1,25.5,33.1,28.0,27.7,24.3,21.7,22.3,15.1,16.2,25.8,7.7,20.6,13.3,24.5,24.6
Danny Green,TOR,32,24,16,8,684.0,12.3,9.4,12.8,23.2,24.5,7.9,7.3,13.5,14.7,14.4,8.1,14.6,26.0,15.1,5.7,19.7,8.3,10.6
Dante Cunningham,SAS,32,5,2,3,13.0,10.0,22.2,13.0,50.0,20.0,0.0,0.0,40.0,40.0,40.0,0.0,0.0,0.0,0.0,100,0.0,0.0,26.1
Danuel House Jr.,HOU,26,7,4,3,141.0,13.8,10.9,15.3,17.8,23.8,7.8,12.3,10.0,22.0,19.8,2.2,9.1,9.7,12.5,6.7,16.7,13.8,11.4
Darren Collison,IND,31,4,0,4,117.0,22.0,21.6,21.2,17.4,14.9,16.2,13.6,17.4,9.8,11.4,30.2,30.3,9.1,0.0,0.0,23.9,13.6,20.3
Davis Bertans,SAS,26,5,2,3,79.0,9.6,7.1,10.1,21.4,27.5,9.7,11.4,0.0,12.9,9.5,13.5,9.1,0.0,20.0,0.0,35.7,8.1,8.6
DeMar DeRozan,SAS,29,7,3,4,251.0,27.8,27.8,27.2,0.0,1.1,41.3,37.9,20.0,22.0,21.6,29.9,24.5,33.3,4.0,31.6,15.1,34.7,28.4
DeMarcus Cousins,GSW,28,8,3,5,133.0,25.9,22.6,22.1,9.1,12.4,40.0,47.2,29.0,33.0,32.0,24.4,38.8,22.7,28.6,44.4,44.4,43.8,23.6
DeMarre Carroll,BKN,32,5,1,4,119.0,15.1,9.7,16.3,20.6,25.5,15.4,12.9,23.1,20.0,20.8,4.7,9.7,25.0,0.0,29.4,13.6,14.8,12.1
Dennis Schroder,OKC,25,5,1,4,151.0,19.0,22.7,20.4,22.2,20.6,16.7,17.5,5.6,15.2,12.5,27.0,13.3,14.3,0.0,9.1,14.7,17.7,21.2
Deonte Burton,OKC,25,3,1,2,4.0,45.5,50.0,62.5,0.0,100,0.0,0.0,100,20.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0
Derrick Favors,UTA,27,5,1,4,103.0,20.6,30.7,20.1,0.0,3.9,31.7,33.9,60.0,27.8,35.6,7.7,15.2,19.0,81.8,33.3,27.9,29.2,28.1
Derrick White,SAS,24,7,3,4,191.0,24.0,25.8,22.7,16.7,23.3,26.8,29.5,2.4,14.4,11.7,21.6,35.7,26.3,25.0,33.3,18.9,28.4,25.3
Domantas Sabonis,IND,23,4,0,4,96.0,19.3,20.7,17.6,5.6,7.3,31.0,29.8,41.2,35.5,36.7,47.1,23.8,21.4,20.0,11.1,25.5,26.2,20.9
Donatas Motiejunas,SAS,28,5,2,3,19.0,26.8,46.2,32.3,0.0,8.3,33.3,33.3,60.0,28.6,36.8,22.2,0.0,0.0,0.0,0.0,20.0,40.0,39.4
Donovan Mitchell,UTA,22,5,1,4,193.0,32.0,25.4,31.8,26.8,29.3,32.4,34.4,13.0,12.9,13.0,17.6,34.4,19.5,4.8,44.8,17.4,30.1,26.8
Doug McDermott,IND,27,3,0,3,29.0,16.4,11.1,19.2,0.0,35.0,28.6,28.6,50.0,8.7,17.2,36.4,0.0,0.0,100,0.0,22.2,25.0,11.8
Draymond Green,GSW,29,22,14,8,850.0,17.1,15.4,15.0,5.8,9.5,14.4,16.2,24.4,30.4,29.1,35.8,31.2,23.9,31.4,22.9,21.0,21.4,14.2
Dzanan Musa,BKN,20,2,0,2,15.0,15.0,11.1,10.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,60.0,40.0,0.0,0.0,50.0,0.0,8.3
Ed Davis,BKN,30,3,1,2,41.0,11.3,17.5,12.5,0.0,0.0,15.4,13.3,57.1,50.0,51.4,15.4,0.0,0.0,50.0,22.2,39.1,20.0,15.4
Edmond Sumner,IND,23,1,0,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ekpe Udoh,UTA,32,2,0,2,6.0,5.9,0.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Enes Kanter,POR,27,16,8,8,461.0,17.2,20.1,17.0,1.0,1.3,16.8,17.0,39.1,31.5,33.7,10.9,20.8,16.4,17.6,26.8,18.7,19.0,17.6
Eric Bledsoe,MIL,29,15,10,5,423.0,23.3,22.2,23.7,16.3,21.4,20.0,19.7,20.8,9.8,12.0,31.4,28.3,23.2,10.9,24.2,14.8,23.3,21.2
Eric Gordon,HOU,30,11,6,5,410.0,19.7,21.2,21.2,28.8,26.5,16.3,14.6,5.7,8.4,7.8,8.4,19.0,9.9,26.2,17.9,12.1,15.5,21.5
Eric Moreland,TOR,27,8,6,2,28.0,2.9,7.7,4.0,0.0,0.0,0.0,0.0,100,48.0,51.9,42.9,0.0,0.0,0.0,0.0,45.5,0.0,5.0
Ersan Ilyasova,MIL,32,15,10,5,272.0,15.4,15.4,17.1,15.2,19.9,15.6,14.9,37.0,21.4,24.3,14.2,10.0,30.3,18.2,19.2,33.1,18.6,15.4
Evan Fournier,ORL,26,5,1,4,175.0,21.4,21.6,23.2,20.0,26.4,11.3,11.8,8.8,11.8,11.1,16.1,20.3,30.4,0.0,25.0,18.9,11.4,19.7
Evan Turner,POR,30,16,8,8,245.0,11.8,8.0,10.7,1.6,0.6,13.5,13.2,30.2,33.9,33.2,33.0,21.0,11.1,10.7,38.5,19.5,11.0,8.2
Fred VanVleet,TOR,25,24,16,8,592.0,15.1,14.9,16.2,26.8,23.6,9.6,10.1,6.9,8.2,7.9,23.1,15.3,20.2,10.2,16.7,17.1,10.5,15.2
Furkan Korkmaz,PHI,21,4,3,1,36.0,23.3,20.7,26.5,30.0,30.8,36.4,29.4,0.0,21.4,18.8,35.7,9.1,0.0,20.0,40.0,29.4,41.2,24.1
