PLAYER,TEAM,AGE,Less Than 5 ft. FGM,Less Than 5 ft. FGA,Less Than 5 ft. FG PCT,5-9 ft. FGM,5-9 ft. FGA,5-9 ft. FG PCT,10-14 ft. FGM,10-14 ft. FGA,10-14 ft. FG PCT,15-19 ft. FGM,15-19 ft. FGA,15-19 ft. FG PCT,20-24 ft. FGM,20-24 ft. FGA,20-24 ft. FG PCT,25-29 ft. FGM,25-29 ft. FGA,25-29 ft. FG PCT
Aaron Gordon,ORL,23,3.2,5.2,60.9,0.3,1.0,34.7,0.5,1.3,38.4,0.4,1.3,29.6,0.8,2.0,40.4,0.9,2.7,32.7
Aaron Holiday,IND,22,0.6,1.1,58.2,0.2,0.5,31.8,0.1,0.4,31.3,0.3,0.7,41.2,0.3,0.7,40.6,0.7,2.0,34.7
Abdel Nader,OKC,25,0.8,1.4,56.5,0.2,0.4,39.1,0.0,0.1,0.0,0.0,0.0,0.0,0.3,0.9,36.4,0.3,0.8,30.4
Al Horford,BOS,33,2.3,3.4,68.8,0.8,1.4,55.3,0.5,1.0,49.3,0.8,1.4,55.8,0.4,1.3,35.3,0.9,2.1,39.7
Al-Farouq Aminu,POR,28,1.7,2.9,59.6,0.2,0.4,37.1,0.0,0.2,13.3,0.0,0.2,22.2,0.7,2.0,36.6,0.5,1.6,30.2
Alan Williams,BKN,26,0.8,1.0,80.0,0.4,0.8,50.0,0.4,0.6,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
Alec Burks,SAC,27,1.5,2.7,55.5,0.2,0.7,23.9,0.1,0.5,26.7,0.2,0.8,25.5,0.4,1.0,38.1,0.7,1.8,36.6
Alex Abrines,OKC,25,0.3,0.6,55.6,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.2,40.0,0.7,1.9,37.9,0.7,2.2,30.4
Alex Caruso,LAL,25,1.7,3.5,49.4,0.2,0.4,45.5,0.2,0.7,25.0,0.1,0.4,33.3,0.4,0.9,42.9,0.6,1.3,46.9
Alex Len,ATL,26,2.8,4.6,61.2,0.2,0.6,34.7,0.1,0.2,31.6,0.1,0.2,23.5,0.6,1.6,34.1,0.4,1.0,40.0
Alex Poythress,ATL,25,1.4,2.5,56.6,0.0,0.1,33.3,0.0,0.0,0.0,0.0,0.1,0.0,0.4,1.0,42.1,0.0,0.2,25.0
Alfonzo McKinnie,GSW,26,1.1,1.7,66.1,0.1,0.2,26.7,0.1,0.1,50.0,0.0,0.1,33.3,0.4,1.2,32.1,0.3,0.6,40.9
Alize Johnson,IND,23,0.1,0.4,33.3,0.1,0.4,20.0,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.2,50.0,0.0,0.1,0.0
Allen Crabbe,BKN,27,0.5,0.9,52.6,0.1,0.3,20.0,0.2,0.4,47.1,0.1,0.6,22.2,1.1,2.7,41.2,1.2,3.7,33.3
Allonzo Trier,NYK,23,1.9,3.5,54.1,0.1,0.2,33.3,0.3,0.8,41.2,0.4,1.3,33.3,0.3,0.9,39.3,0.6,1.4,40.2
Amile Jefferson,ORL,26,0.8,1.1,76.9,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amir Johnson,PHI,32,1.1,1.5,68.4,0.2,0.6,31.3,0.0,0.1,66.7,0.0,0.0,100,0.1,0.3,17.6,0.2,0.5,37.5
Andre Drummond,DET,25,6.2,10.3,59.6,0.7,2.0,37.8,0.1,0.4,31.3,0.0,0.1,11.1,0.0,0.2,16.7,0.0,0.3,15.0
