PLAYER,TEAM,AGE,GP,G,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
Aaron Gordon,ORL ,23,76,76,28.2%,1.4,3.8,36.1,51.4,4.6%,0.2,0.6,34.0,23.6%,1.2,3.2,36.5
Aaron Holiday,IND ,22,50,31,24.8%,0.5,1.3,38.5,57.7,0.0%,0.0,0.0,-,24.8%,0.5,1.3,38.5
Abdel Nader,OKC ,25,60,44,44.6%,0.5,1.6,30.5,45.8,0.5%,0.0,0.0,0.0,44.1%,0.5,1.6,30.9
Al Horford,BOS ,33,68,68,47.6%,2.3,5.1,44.5,55.1,19.5%,1.2,2.1,56.7,28.1%,1.1,3.0,36.0
Al-Farouq Aminu,POR ,28,81,80,46.4%,1.2,3.4,35.5,52.6,2.2%,0.1,0.2,30.8,44.2%,1.1,3.2,35.8
Alan Williams,BKN ,26,5,3,30.8%,0.2,0.8,25.0,25.0,23.1%,0.2,0.6,33.3,7.7%,0.0,0.2,0.0
Alec Burks,SAC ,27,64,46,21.5%,0.7,1.6,42.2,60.8,1.9%,0.1,0.1,55.6,19.6%,0.6,1.4,40.9
Alex Abrines,OKC ,25,31,31,77.1%,1.2,3.9,31.4,45.9,3.2%,0.1,0.2,60.0,73.9%,1.1,3.7,30.2
Alex Caruso,LAL ,25,25,13,17.5%,0.5,1.2,43.3,65.0,1.2%,0.0,0.1,0.0,16.4%,0.5,1.1,46.4
Alex Len,ATL ,26,77,68,33.8%,1.0,2.8,36.1,52.7,3.4%,0.1,0.3,27.3,30.4%,0.9,2.6,37.1
Alex Poythress,ATL ,25,21,15,29.6%,0.4,1.1,37.5,56.3,2.5%,0.0,0.1,0.0,27.2%,0.4,1.1,40.9
Alfonzo McKinnie,GSW ,26,72,56,43.3%,0.6,1.6,36.1,53.8,1.1%,0.0,0.0,33.3,42.2%,0.6,1.6,36.2
Alize Johnson,IND ,23,14,3,20.0%,0.1,0.2,33.3,50.0,6.7%,0.0,0.1,0.0,13.3%,0.1,0.1,50.0
Allen Crabbe,BKN ,27,43,43,63.8%,2.1,5.5,38.7,57.6,2.4%,0.1,0.2,22.2,61.4%,2.1,5.3,39.3
Allonzo Trier,NYK ,23,63,39,13.0%,0.5,1.1,43.9,65.9,0.0%,0.0,0.0,-,13.0%,0.5,1.1,43.9
Amir Johnson,PHI ,32,51,28,27.4%,0.3,0.8,30.2,44.2,1.9%,0.0,0.1,33.3,25.5%,0.2,0.8,30.0
Andre Drummond,DET ,25,79,38,4.7%,0.2,0.6,28.6,31.6,2.4%,0.1,0.3,44.0,2.3%,0.0,0.3,12.5
Andre Iguodala,GSW ,35,68,53,46.0%,0.7,2.0,33.1,48.6,4.0%,0.0,0.2,25.0,42.1%,0.6,1.9,33.9
Andre Ingram,LAL ,33,4,2,66.7%,0.0,1.0,0.0,0.0,16.7%,0.0,0.3,0.0,50.0%,0.0,0.8,0.0
Andrew Bogut,GSW ,34,11,1,3.3%,0.0,0.1,0.0,0.0,3.3%,0.0,0.1,0.0,0.0%,0.0,0.0,-
Andrew Harrison,NOP ,24,17,8,24.5%,0.2,0.8,23.1,34.6,0.0%,0.0,0.0,-,24.5%,0.2,0.8,23.1
Andrew Wiggins,MIN ,24,73,73,21.8%,1.3,3.6,35.6,52.7,1.4%,0.1,0.2,23.5,20.4%,1.2,3.4,36.4
Anfernee Simons,POR ,20,20,11,28.6%,0.3,0.9,27.8,41.7,0.0%,0.0,0.0,-,28.6%,0.3,0.9,27.8
Ante Zizic,CLE ,22,59,20,8.6%,0.2,0.5,39.3,39.3,8.6%,0.2,0.5,39.3,0.0%,0.0,0.0,-
Anthony Davis,NOP ,26,56,55,18.1%,1.4,3.3,40.9,53.2,6.2%,0.5,1.1,46.9,11.9%,0.8,2.2,37.7
Anthony Tolliver,MIN ,34,65,56,81.9%,1.2,3.3,37.3,55.7,1.9%,0.0,0.1,20.0,79.9%,1.2,3.2,37.7
Antonio Blakeney,CHI ,22,57,35,18.2%,0.5,1.3,40.3,59.0,2.0%,0.0,0.1,25.0,16.2%,0.5,1.1,42.2
Aron Baynes,BOS ,32,51,43,37.2%,0.6,1.6,36.1,48.8,10.3%,0.2,0.5,39.1,26.9%,0.4,1.2,35.0
Austin Rivers,HOU ,26,76,67,28.8%,0.8,2.2,37.0,55.5,0.0%,0.0,0.0,-,28.8%,0.8,2.2,37.0
Avery Bradley,MEM ,28,63,62,36.3%,1.3,3.5,37.6,52.7,5.4%,0.3,0.5,48.5,30.9%,1.1,3.0,35.6
BJ Johnson,SAC ,23,7,4,44.4%,0.4,1.1,37.5,56.3,5.6%,0.0,0.1,0.0,38.9%,0.4,1.0,42.9
Bam Adebayo,MIA ,21,82,35,10.5%,0.1,0.6,23.5,24.5,8.2%,0.1,0.5,27.5,2.3%,0.0,0.1,9.1
Ben McLemore,SAC ,26,19,15,56.3%,0.7,1.9,36.1,54.2,4.7%,0.0,0.2,0.0,51.6%,0.7,1.7,39.4
Ben Simmons,PHI ,22,78,5,0.5%,0.0,0.1,20.0,20.0,0.4%,0.0,0.1,25.0,0.1%,0.0,0.0,0.0
Billy Garrett,NYK ,24,4,4,20.0%,0.0,1.3,0.0,0.0,0.0%,0.0,0.0,-,20.0%,0.0,1.3,0.0
Bismack Biyombo,CHA ,26,54,14,11.5%,0.1,0.3,38.9,38.9,11.5%,0.1,0.3,38.9,0.0%,0.0,0.0,-
Blake Griffin,DET ,30,75,66,14.8%,1.0,2.6,37.2,55.0,0.7%,0.0,0.1,30.0,14.1%,0.9,2.5,37.6
Boban Marjanovic,PHI ,30,58,21,11.9%,0.2,0.5,45.2,51.6,8.1%,0.2,0.4,47.6,3.8%,0.1,0.2,40.0
Bobby Portis,WAS ,24,49,47,37.1%,1.7,4.5,38.1,53.4,7.7%,0.3,0.9,37.0,29.5%,1.4,3.6,38.4
Bogdan Bogdanovic,SAC ,26,70,68,30.0%,1.5,3.7,40.9,58.3,3.9%,0.2,0.5,47.1,26.1%,1.3,3.2,40.0
Bojan Bogdanovic,IND ,30,81,80,29.5%,1.8,3.8,45.8,66.9,1.7%,0.1,0.2,61.1,27.8%,1.6,3.6,44.9
Bonzie Colson,MIL ,23,8,4,43.6%,0.5,2.1,23.5,35.3,0.0%,0.0,0.0,-,43.6%,0.5,2.1,23.5
Brad Wanamaker,BOS ,29,36,17,24.8%,0.3,0.7,38.5,57.7,1.0%,0.0,0.0,0.0,23.8%,0.3,0.7,40.0
Bradley Beal,WAS ,26,81,79,23.4%,1.6,4.5,35.9,52.7,2.0%,0.1,0.4,25.8,21.4%,1.5,4.1,36.8
Brandon Goodwin,DEN ,23,16,4,17.4%,0.1,0.3,50.0,75.0,0.0%,0.0,0.0,-,17.4%,0.1,0.3,50.0
Brandon Ingram,LAL ,21,52,48,16.9%,0.8,2.4,33.3,44.7,4.7%,0.3,0.7,38.2,12.2%,0.5,1.7,31.5
