PLAYER,TEAM,AGE,GP,W,L,MIN,USG_PCT,PCT_FGM,PCT_FGA,PCT_FG3M,PCT_FG3A,PCT_FTM,PCT_FTA,PCT_OREB,PCT_DREB,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_BLKA,PCT_PF,PCT_PFD,PCT_PTS
Aaron Gordon,ORL,23,78,40,38,2633.0,21.3,21.2,21.7,19.6,19.8,22.7,23.9,23.5,22.8,23.0,20.4,21.9,16.0,19.6,22.6,17.6,25.1,21.3
Aaron Holiday,IND,22,50,31,19,646.0,20.6,17.9,21.7,33.6,35.3,21.5,19.9,4.0,12.8,11.0,22.7,20.7,21.6,18.8,19.4,23.2,23.1,19.7
Abdel Nader,OKC,25,61,38,23,694.0,14.8,16.6,16.7,24.2,23.8,11.7,10.8,9.6,21.0,18.4,7.0,12.7,15.9,15.4,10.4,20.9,12.2,16.5
Al Horford,BOS,33,68,41,27,1973.0,18.8,21.7,19.7,14.1,14.6,13.4,13.3,34.2,23.6,25.7,24.7,19.8,17.3,38.7,20.6,16.3,16.4,19.8
Al-Farouq Aminu,POR,28,81,52,29,2292.0,13.4,12.4,13.7,18.8,19.8,15.5,14.6,19.4,28.9,26.5,9.3,11.5,18.9,12.5,12.2,15.0,14.7,13.5
Alan Williams,BKN,26,5,1,4,26.0,22.2,32.0,22.8,0.0,4.8,18.2,21.1,40.0,53.6,50.0,15.8,25.0,50.0,0.0,0.0,25.0,25.0,26.5
Alec Burks,SAC,27,64,19,45,1375.0,18.5,17.5,19.2,23.7,21.8,22.7,21.5,11.0,21.9,19.5,20.8,17.4,19.5,22.8,22.2,15.9,20.4,19.0
Alex Abrines,OKC,25,31,21,10,588.0,12.0,11.6,14.1,32.5,31.9,5.7,4.2,3.3,9.9,8.2,8.1,7.7,13.9,7.7,10.7,17.7,10.5,12.7
Alex Caruso,LAL,25,25,8,17,531.0,18.4,17.0,17.7,23.8,15.6,25.9,22.5,14.5,12.0,12.6,27.3,23.7,27.9,16.4,31.0,23.0,23.0,19.0
Alex Len,ATL,26,77,28,49,1544.0,21.4,24.2,21.7,16.9,16.5,24.5,28.1,41.1,23.0,27.6,10.2,18.2,10.8,43.7,25.6,25.9,22.1,23.4
Alex Poythress,ATL,25,21,7,14,305.0,14.0,16.6,14.5,10.7,10.5,15.7,18.0,39.7,22.1,26.6,10.4,11.9,8.2,22.2,20.0,30.7,18.9,15.7
Alfonzo McKinnie,GSW,26,72,53,19,1003.0,13.1,15.1,14.3,15.7,16.3,8.7,11.9,30.7,21.9,24.2,5.5,9.9,11.7,11.6,22.2,27.8,12.4,14.3
Alize Johnson,IND,23,14,9,5,64.0,11.6,6.8,12.0,5.9,4.7,12.9,19.0,23.5,38.5,33.9,2.7,0.0,9.1,30.0,11.1,23.3,16.0,7.8
Allen Crabbe,BKN,27,43,19,24,1133.0,15.9,15.0,17.9,30.8,29.7,9.5,9.6,6.3,16.2,13.8,8.8,12.7,15.0,16.0,8.5,18.0,7.6,16.0
Allonzo Trier,NYK,23,64,13,51,1459.0,20.7,20.3,19.8,19.5,17.1,29.5,27.3,9.2,16.1,14.4,21.3,24.6,13.6,7.8,29.8,16.8,25.4,22.0
Amile Jefferson,ORL,26,12,9,3,68.0,12.5,14.7,11.5,0.0,0.0,28.0,24.2,31.6,31.3,31.3,8.6,16.7,27.3,75.0,25.0,23.5,21.1,14.7
Amir Johnson,PHI,32,51,32,19,529.0,16.9,17.0,15.8,9.6,11.4,19.4,18.7,37.6,26.4,29.2,20.3,27.1,17.4,22.8,17.6,39.0,22.4,16.6
Andre Drummond,DET,25,79,40,39,2647.0,22.6,25.3,21.7,0.7,2.0,26.6,32.9,64.8,44.7,50.0,9.0,22.9,36.1,55.4,31.8,23.3,28.5,22.7
Andre Iguodala,GSW,35,68,47,21,1578.0,10.1,10.8,10.4,11.0,12.6,6.4,8.8,15.0,17.1,16.7,23.3,11.3,24.4,21.3,3.6,13.8,11.6,10.1
Andre Ingram,LAL,33,4,1,3,15.0,18.4,0.0,22.2,0.0,37.5,0.0,0.0,33.3,9.1,14.3,0.0,25.0,20.0,0.0,0.0,0.0,11.1,0.0
Andrew Bogut,GSW,34,11,8,3,134.0,14.8,14.5,14.9,0.0,0.0,6.8,5.9,75.0,42.2,46.6,11.8,21.6,16.7,47.1,50.0,39.3,17.8,11.9
Andrew Harrison,NOP,24,17,6,11,186.0,17.1,11.4,16.7,11.6,20.3,25.4,20.2,15.4,11.6,12.5,34.3,23.5,13.3,18.2,11.8,34.3,22.2,13.8
Andrew Wiggins,MIN,24,73,31,42,2543.0,24.0,22.6,25.3,21.9,23.9,20.7,22.8,14.1,14.9,14.7,14.4,19.7,17.0,18.2,28.8,14.1,19.7,22.2
Anfernee Simons,POR,20,20,17,3,141.0,24.0,22.6,25.3,27.0,34.5,23.7,30.2,11.1,10.2,10.4,20.3,20.4,5.9,0.0,33.3,17.3,24.4,23.2
