PLAYER,ESV
Montrezl Harrell,14.83
Steven Adams,13.66
JaMychal Green,13.44
Jakob Poeltl,13.26
Derrick Favors,12.77
Marcus Morris,12.69
Meyers Leonard,12.62
George Hill,12.53
Ben Simmons,12.45
Bryn Forbes,12.36
Jerami Grant,12.25
D.J. Augustin,12.19
Jaylen Brown,12.05
PJ Tucker,12.03
Torrey Craig,11.92
Rudy Gobert,11.88
Jarrett Allen,11.87
Mike Scott,11.85
Kevin Durant,11.78
Luke Kennard,11.69
Cory Joseph,11.68
Derrick White,11.68
Andre Iguodala,11.57
Pat Connaughton,11.57
JJ Redick,11.55
Caris LeVert,11.51
Austin Rivers,11.5
Eric Gordon,11.39
Zach Collins,11.38
Patrick Beverley,11.21
Clint Capela,11.17
Stephen Curry,11.15
Rodney Hood,11.14
Royce O'Neale,11.11
James Ennis III,11.08
Klay Thompson,11.07
Tyreke Evans,11.05
Shai Gilgeous-Alexander,11.04
Norman Powell,10.99
Nikola Jokic,10.95
Kawhi Leonard,10.94
Brook Lopez,10.81
Blake Griffin,10.77
Malcolm Brogdon,10.73
Draymond Green,10.66
Kyle Lowry,10.66
Aaron Gordon,10.65
Gary Harris,10.54
Giannis Antetokounmpo,10.53
Khris Middleton,10.33
Enes Kanter,10.3
Marc Gasol,10.29
Chris Paul,10.25
Damian Lillard,10.2
Paul George,10.2
Dennis Schroder,10.18
Spencer Dinwiddie,10.16
Pascal Siakam,10.15
CJ McCollum,10.14
Ersan Ilyasova,10.14
Fred VanVleet,10.13
Paul Millsap,10.12
Rondae Hollis-Jefferson,10.12
James Harden,10.09
Seth Curry,10.09
Khyri Thomas,10.08
Maurice Harkless,10.08
Reggie Jackson,10.05
Serge Ibaka,10.02
Al Horford,10.0
Terrance Ferguson,10.0
Malik Beasley,9.99
Tobias Harris,9.82
Jimmy Butler,9.81
DeMar DeRozan,9.77
Landry Shamet,9.73
Marco Belinelli,9.69
Terrence Ross,9.64
Jayson Tatum,9.62
Jamal Murray,9.61
Nikola Mirotic,9.56
Gordon Hayward,9.46
Darren Collison,9.36
LaMarcus Aldridge,9.35
Jae Crowder,9.34
Joel Embiid,9.32
Danny Green,9.3
Rudy Gay,9.24
Ricky Rubio,9.23
Lou Williams,9.19
Eric Bledsoe,9.17
Thaddeus Young,9.06
Bojan Bogdanovic,9.03
Langston Galloway,9.01
Myles Turner,8.84
Andre Drummond,8.82
Kyrie Irving,8.69
Joe Ingles,8.65
Domantas Sabonis,8.58
Al-Farouq Aminu,8.52
DeMarcus Cousins,8.47
Michael Carter-Williams,8.39
Joe Harris,8.37
D'Angelo Russell,8.34
Danuel House Jr.,8.34
Wesley Matthews,8.26
Wayne Ellington,8.24
Russell Westbrook,8.2
Danilo Gallinari,8.18
Evan Fournier,8.12
Will Barton,8.05
Terry Rozier,7.83
Nikola Vucevic,7.76
Monte Morris,7.5
Donovan Mitchell,7.48
Patty Mills,7.2
DeMarre Carroll,6.6
Jonathan Isaac,6.5
Ish Smith,5.5
Thon Maker,5.42
Marcus Smart,3.0
