PLAYER,ESV
DeAndre Jordan,12.88
Tyson Chandler,12.74
Kyle Korver,12.4
Shane Battier,12.25
Andre Drummond,12.07
LeBron James,12.05
Brandan Wright,12.0
Thabo Sefolosha,11.99
Jose Calderon,11.92
Steve Novak,11.8
Danny Green,11.68
Serge Ibaka,11.67
Dwight Howard,11.62
Kosta Koufos,11.56
Amar'e Stoudemire,11.51
JaVale McGee,11.49
Steve Blake,11.49
Chandler Parsons,11.32
JJ Hickson,11.26
Willie Green,11.26
Tiago Splitter,11.24
Martell Webster,11.2
Amir Johnson,11.18
Chris Copeland,11.18
Kevin Durant,11.18
Jonas Valanciunas,11.16
Kawhi Leonard,11.16
Ray Allen,11.12
Kevin Martin,11.11
Patrick Patterson,11.08
Steve Nash,11.07
Stephen Curry,11.06
Kenneth Faried,11.01
Jared Dudley,11.0
Mario Chalmers,10.98
Chris Bosh,10.94
Mike Dunleavy,10.92
Matt Barnes,10.89
Al Horford,10.87
Enes Kanter,10.86
Omer Asik,10.84
Carl Landry,10.81
Wesley Matthews,10.81
Blake Griffin,10.79
Quincy Pondexter,10.79
Ed Davis,10.78
Andrei Kirilenko,10.77
Antawn Jamison,10.77
Samuel Dalembert,10.77
Robin Lopez,10.7
Carlos Delfino,10.69
Jason Terry,10.69
Tony Parker,10.68
John Jenkins,10.67
Aaron Brooks,10.66
Shawn Marion,10.66
Thaddeus Young,10.65
Vince Carter,10.64
Dwyane Wade,10.59
Chauncey Billups,10.57
Ivan Johnson,10.57
JJ Redick,10.56
Chris Paul,10.54
Andrew Nicholson,10.53
Devin Harris,10.53
Rashard Lewis,10.48
Marcin Gortat,10.47
Wilson Chandler,10.47
Nicolas Batum,10.46
Marcus Thornton,10.44
Brook Lopez,10.43
Courtney Lee,10.43
Ersan Ilyasova,10.42
CJ Miles,10.41
David Lee,10.41
Nikola Vucevic,10.4
Ryan Anderson,10.4
Wayne Ellington,10.4
George Hill,10.39
Dirk Nowitzki,10.38
Nikola Pekovic,10.38
Randy Foye,10.38
O.J. Mayo,10.37
C.J. Watson,10.36
Caron Butler,10.34
Deron Williams,10.33
Jeff Green,10.33
Anthony Davis,10.32
Dorell Wright,10.28
Jamal Crawford,10.26
Andray Blatche,10.25
Lance Stephenson,10.25
Nate Robinson,10.24
Klay Thompson,10.23
Donatas Motiejunas,10.22
Isaiah Thomas,10.22
Jason Kidd,10.21
