PLAYER,TEAM,AGE,GP,W,L,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,PACE,PIE
Aaron McKie,PHI,26,6,2,4,16.3,88.0,88.9,-0.9,18.6,11.00,28.9,3.8,10.2,7.0,2.6,30.4,38.3,11.9,96.18,7.1
Adam Keefe,UTA,29,10,5,5,10.1,95.8,100.5,-4.7,5.9,0.38,7.0,8.4,18.5,13.7,18.6,60.0,63.7,18.4,91.00,14.0
Alan Henderson,ATL,26,1,1,0,4.3,112.5,166.7,-54.2,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.25,-4.3
Allan Houston,NYK,28,20,12,8,39.2,96.8,94.2,2.6,13.0,1.02,11.4,0.8,6.3,3.6,11.2,45.7,52.8,24.1,88.12,11.2
Allen Iverson,PHI,24,8,3,5,45.0,102.5,100.6,1.9,21.8,1.63,13.0,3.7,5.4,4.5,8.0,44.6,48.1,32.2,89.45,13.0
Alonzo Mourning,MIA,29,5,2,3,38.9,92.8,98.2,-5.4,5.6,0.33,3.6,4.0,18.8,11.5,10.7,52.1,57.1,29.1,81.97,18.0
Andrae Patterson,MIN,23,2,0,2,3.4,133.3,100.0,33.3,25.0,2.00,66.7,20.0,50.0,36.4,33.3,0.0,0.0,5.9,106.40,10.6
Anfernee Hardaway,ORL,27,4,1,3,41.7,94.0,102.9,-8.9,30.6,1.83,20.0,5.3,6.7,6.0,10.9,40.4,51.2,23.7,91.04,11.8
Anthony Johnson,ATL,24,9,3,6,12.5,88.2,93.3,-5.0,18.2,2.00,20.4,2.9,5.8,4.4,10.2,29.3,35.9,16.5,88.15,2.1
Anthony Peeler,MIN,29,4,1,3,31.1,91.3,100.0,-8.7,8.0,1.50,13.3,5.3,7.9,6.5,8.9,38.6,38.6,14.2,88.46,2.7
Antoine Carr,HOU,37,4,1,3,9.4,108.5,91.9,16.6,18.2,1.00,21.1,7.9,10.5,9.2,21.1,36.4,36.4,18.3,92.88,-12.2
Antonio Daniels,SAS,24,15,13,2,6.9,91.8,85.6,6.2,29.6,1.60,32.0,1.0,7.9,4.7,20.0,52.4,57.1,14.2,96.06,12.1
Antonio Davis,IND,30,13,9,4,25.1,99.5,99.0,0.5,4.7,0.40,6.2,7.5,22.0,14.9,15.4,41.3,50.4,17.5,89.59,10.2
Armen Gilliam,MIL,35,3,0,3,11.6,90.5,106.6,-16.1,7.7,1.00,5.3,0.0,13.5,7.2,5.3,40.0,49.4,25.4,85.62,13.1
Arvydas Sabonis,POR,34,13,7,6,30.1,99.1,92.3,6.8,14.0,1.53,16.0,3.5,27.1,15.8,10.5,40.3,49.3,19.1,85.93,15.8
Austin Croshere,IND,24,1,1,0,0.8,400.0,0.0,400.0,0.0,0.00,0.0,100,0.0,50.0,0.0,0.0,53.2,50.0,62.88,37.5
Avery Johnson,SAS,34,17,15,2,38.5,102.6,92.8,9.8,35.9,2.52,32.8,1.6,4.9,3.4,13.0,48.9,51.8,19.3,87.59,12.1
B.J. Armstrong,ORL,31,2,0,2,1.6,62.5,44.4,18.1,100,1.00,33.3,0.0,0.0,0.0,33.3,0.0,0.0,18.2,130.91,36.4
