PLAYER,TEAM,AGE,GP,W,L,MIN,DEF_RATING,DREB,DREB_PCT,PCT_DREB,STL,PCT_STL,BLK,PCT_BLK,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,DEF_WS
Aaron Gordon,ORL,23,78,40,38,2633,105.9,6.1,16.5,22.8,0.8,16.0,0.8,19.6,11.1,7.9,8.7,35.8,0.135
Aaron Holiday,IND,22,50,31,19,646,100.2,3.5,8.8,12.8,1.2,21.6,0.7,18.8,10.8,10.1,9.8,33.4,0.204
Abdel Nader,OKC,25,61,38,23,694,105.8,5.3,13.9,21.0,1.0,15.9,0.6,15.4,11.7,11.1,10.4,36.0,0.137
Al Horford,BOS,33,68,41,27,1973,106.4,6.2,16.1,23.6,1.1,17.3,1.6,38.7,10.2,10.6,9.9,34.5,0.129
Al-Farouq Aminu,POR,28,81,52,29,2292,108.2,7.8,20.4,28.9,1.1,18.9,0.5,12.5,10.4,10.0,10.0,35.9,0.112
Alan Williams,BKN,26,5,1,4,26,88.1,21.1,40.5,53.6,1.4,50.0,0.0,0.0,7.0,9.9,12.7,36.7,0.353
Alec Burks,SAC,27,64,19,45,1375,114.6,5.4,15.1,21.9,1.0,19.5,0.5,22.8,13.1,9.4,9.9,40.4,0.039
Alex Abrines,OKC,25,31,21,10,588,99.8,2.6,6.7,9.9,1.0,13.9,0.4,7.7,12.5,9.9,10.1,36.8,0.201
Alex Caruso,LAL,25,25,8,17,531,102.4,3.2,7.9,12.0,1.6,27.9,0.6,16.4,13.9,10.6,11.2,33.1,0.169
Alex Len,ATL,26,77,28,49,1544,110.4,6.2,15.9,23.0,0.6,10.8,1.6,43.7,15.0,10.4,13.3,35.1,0.088
Alex Poythress,ATL,25,21,7,14,305,111.5,5.5,15.1,22.1,0.5,8.2,1.2,22.2,17.6,13.1,11.1,38.3,0.076
Alfonzo McKinnie,GSW,26,72,53,19,1003,107.9,6.0,15.2,21.9,0.6,11.7,0.5,11.6,12.8,9.9,11.8,36.6,0.115
Alize Johnson,IND,23,14,9,5,64,112.2,8.4,19.2,38.5,0.6,9.1,1.7,30.0,10.1,21.2,19.0,39.1,0.074
Allen Crabbe,BKN,27,43,19,24,1133,106.2,4.2,10.8,16.2,0.7,15.0,0.4,16.0,13.3,11.9,8.1,35.9,0.133
Allonzo Trier,NYK,23,64,13,51,1459,109.3,4.1,10.7,16.1,0.7,13.6,0.3,7.8,13.1,11.6,8.8,38.7,0.099
Amile Jefferson,ORL,26,12,9,3,68,115.5,7.9,25.0,31.3,1.6,27.3,1.6,75.0,3.2,5.8,12.1,36.9,0.033
Amir Johnson,PHI,32,51,32,19,529,109.7,6.8,18.5,26.4,1.1,17.4,0.9,22.8,14.1,8.6,10.3,40.0,0.097
Andre Drummond,DET,25,79,40,39,2647,108.4,11.0,31.1,44.7,1.8,36.1,1.9,55.4,11.7,8.7,9.3,37.0,0.108
Andre Iguodala,GSW,35,68,47,21,1578,104.4,4.7,11.7,17.1,1.4,24.4,1.2,21.3,12.1,9.5,10.1,33.5,0.152
Andre Ingram,LAL,33,4,1,3,15,87.5,2.5,5.3,9.1,2.5,20.0,0.0,0.0,4.9,9.8,4.9,24.6,0.335
Andrew Bogut,GSW,34,11,8,3,134,110.5,11.5,29.7,42.2,0.8,16.7,2.1,47.1,12.1,8.0,13.4,31.1,0.086
Andrew Harrison,NOP,24,17,6,11,186,108.7,2.7,7.4,11.6,0.8,13.3,0.4,18.2,16.1,7.4,9.7,31.4,0.098
Andrew Wiggins,MIN,24,73,31,42,2543,111.9,3.8,9.9,14.9,1.0,17.0,0.7,18.2,11.5,11.4,10.1,36.6,0.071
Anfernee Simons,POR,20,20,17,3,141,122.1,2.6,6.7,10.2,0.3,5.9,0.0,0.0,21.0,12.8,12.0,40.5,-0.041
Angel Delgado,LAC,24,2,0,2,15,68.8,4.9,14.3,18.2,2.4,14.3,0.0,0.0,4.9,0.0,9.8,39.0,0.537
Ante Zizic,CLE,22,59,13,46,1082,110.2,7.1,19.3,27.5,0.4,9.8,0.7,34.9,12.2,8.8,11.4,36.9,0.090
Anthony Davis,NOP,26,56,25,31,1850,110.1,9.7,24.9,35.4,1.7,28.0,2.6,59.0,12.8,9.5,11.6,36.9,0.089
Anthony Tolliver,MIN,34,65,27,38,1079,108.6,5.4,14.3,21.3,0.6,9.9,0.7,21.2,10.2,11.3,8.3,35.0,0.107
Antonio Blakeney,CHI,22,57,14,43,829,110.8,4.3,11.4,17.2,0.5,11.2,0.4,14.5,11.3,9.4,9.8,37.0,0.084
Aron Baynes,BOS,32,51,32,19,821,102.2,6.7,17.5,25.7,0.5,7.9,1.5,40.5,12.0,9.3,9.6,34.3,0.178
Austin Rivers,HOU,26,76,45,31,2028,109.1,2.4,6.5,10.1,0.8,13.5,0.4,11.2,11.8,10.4,11.1,38.0,0.103
Avery Bradley,MEM,28,63,31,32,1905,110.2,2.5,6.5,9.6,0.8,17.2,0.3,9.4,13.5,10.1,12.5,37.4,0.092
BJ Johnson,SAC,23,7,2,5,49,115.3,4.4,15.0,20.7,1.5,18.2,0.0,0.0,14.6,9.5,5.8,49.6,0.035
Bam Adebayo,MIA,21,82,39,43,1913,104.5,8.1,22.1,31.8,1.3,20.8,1.2,34.2,12.7,9.5,8.4,31.4,0.150
Ben McLemore,SAC,26,19,7,12,158,109.0,3.2,8.9,12.7,1.4,20.7,0.7,30.0,12.8,11.4,12.8,38.8,0.108
Ben Simmons,PHI,22,79,50,29,2700,108.9,7.0,17.9,25.5,1.5,26.8,0.8,20.6,14.1,9.1,11.7,39.6,0.104
Billy Garrett,NYK,24,4,1,3,63,106.4,1.7,4.1,5.4,0.6,33.3,0.6,9.1,9.1,7.4,5.7,30.6,0.136
Bismack Biyombo,CHA,26,54,24,30,782,111.8,7.6,20.5,29.0,0.5,10.2,1.9,45.6,9.8,10.0,10.8,35.9,0.071
Blake Griffin,DET,30,75,39,36,2622,109.3,6.4,18.2,25.7,0.7,14.4,0.4,13.7,12.0,8.0,9.5,36.6,0.098
Boban Marjanovic,PHI,30,58,31,27,681,105.3,9.4,23.2,31.9,0.8,20.3,1.4,44.3,13.9,10.3,12.7,34.7,0.143
Bobby Portis,WAS,24,50,14,36,1298,114.3,8.2,22.6,33.0,1.0,18.3,0.6,19.2,11.4,10.1,8.8,39.0,0.044
Bogdan Bogdanovic,SAC,26,70,32,38,1947,109.3,3.8,9.8,14.7,1.3,22.6,0.3,8.9,12.6,10.8,9.3,36.1,0.097
Bojan Bogdanovic,IND,30,81,47,34,2573,105.8,4.2,11.3,17.0,1.0,14.0,0.0,0.4,11.4,10.5,10.0,34.0,0.136
Bonzie Colson,MIL,23,8,6,2,98,117.5,8.0,18.2,25.6,1.8,38.5,0.4,14.3,12.8,10.6,14.6,38.0,0.011
Brad Wanamaker,BOS,29,36,27,9,343,97.8,4.0,9.6,13.8,1.3,19.0,0.2,4.7,10.9,10.9,8.6,33.0,0.225
Bradley Beal,WAS,26,82,32,50,3028,113.5,3.8,10.4,15.8,1.4,23.0,0.7,20.7,12.6,10.5,10.3,39.1,0.054
Brandon Goodwin,DEN,23,16,10,6,57,99.2,1.3,3.8,5.3,0.0,0.0,0.0,0.0,9.5,10.1,3.8,36.6,0.216
Brandon Ingram,LAL,21,52,25,27,1760,108.8,4.6,11.3,16.8,0.6,11.1,0.6,14.4,13.9,10.6,13.3,38.5,0.104
Brandon Knight,CLE,27,39,17,22,737,114.9,2.4,7.0,9.6,1.0,22.1,0.1,7.7,12.2,9.6,12.4,38.2,0.039
Brandon Sampson,CHI,22,14,3,11,214,113.9,2.2,6.3,8.8,1.3,27.6,0.5,23.1,10.8,6.9,9.2,37.3,0.049
Brook Lopez,MIL,31,81,60,21,2322,103.4,5.6,13.5,18.1,0.8,13.6,2.8,56.1,10.8,9.3,7.7,31.2,0.163
Bruce Brown,DET,22,74,35,39,1449,105.8,3.4,9.2,13.2,1.0,18.2,0.9,26.3,12.7,8.0,9.6,37.0,0.137
Bruno Caboclo,MEM,23,34,14,20,800,107.5,5.2,13.7,19.6,0.6,11.2,1.5,39.8,11.4,9.1,12.3,31.5,0.121
Bryn Forbes,SAS,25,82,48,34,2293,110.2,3.5,9.6,13.5,0.7,14.1,0.1,1.9,11.0,9.1,10.3,34.0,0.089
Buddy Hield,SAC,26,82,39,43,2615,110.0,4.2,11.0,16.4,0.8,12.7,0.5,13.2,11.8,11.3,10.8,38.5,0.091
C.J. Williams,MIN,29,15,4,11,128,113.0,2.0,5.3,8.5,1.7,31.6,0.0,0.0,7.6,13.2,7.6,37.1,0.058
CJ McCollum,POR,27,70,43,27,2375,108.9,3.3,8.7,12.2,0.8,15.6,0.4,11.0,11.0,10.5,10.3,36.1,0.103
CJ Miles,MEM,32,53,33,20,857,105.5,3.4,9.0,13.3,1.1,17.2,0.6,14.6,10.8,9.8,12.4,34.8,0.148
Caleb Swanigan,SAC,22,21,10,11,178,107.6,9.5,23.6,34.1,1.2,33.3,0.2,6.7,14.8,8.9,11.7,36.4,0.114
Cameron Payne,CLE,24,40,7,33,712,114.8,3.0,8.3,12.9,1.4,24.1,0.5,11.8,12.5,10.2,9.8,35.0,0.042
Cameron Reynolds,MIN,24,19,6,13,259,112.4,3.7,10.2,14.8,0.8,18.8,0.3,8.7,9.9,11.9,8.6,33.9,0.065
Caris LeVert,BKN,24,40,19,21,1063,108.7,3.9,10.0,15.6,1.4,28.0,0.5,13.0,11.8,11.6,10.0,36.1,0.105
Carmelo Anthony,HOU,35,10,4,6,294,112.2,5.5,15.8,25.1,0.5,8.2,0.9,16.7,11.4,10.4,8.6,38.2,0.068
Cedi Osman,CLE,24,76,17,59,2444,118.8,4.6,13.4,19.4,0.9,18.6,0.2,9.7,12.5,10.0,11.0,38.2,-0.003
Chandler Hutchison,CHI,23,44,10,34,895,107.6,6.2,16.7,24.6,0.9,15.3,0.2,7.7,11.3,8.7,10.1,35.8,0.118
Chandler Parsons,MEM,30,25,11,14,496,107.0,4.8,12.6,18.6,1.4,24.4,0.4,10.0,10.5,9.9,14.4,34.3,0.125
Channing Frye,CLE,36,36,7,29,341,121.9,5.1,15.8,23.2,0.6,15.0,0.5,41.7,10.6,10.1,11.0,36.1,-0.036
Chasson Randle,WAS,26,49,19,30,743,110.6,2.2,6.2,9.2,1.2,19.1,0.1,4.5,12.8,10.1,11.2,39.5,0.086
Cheick Diallo,NOP,22,64,27,37,896,110.0,10.3,26.0,37.4,1.2,23.6,1.3,37.9,14.9,10.7,11.2,37.9,0.093
Chimezie Metu,SAS,22,29,14,15,145,100.6,6.7,17.9,24.8,1.5,27.3,0.5,15.4,17.8,8.4,10.4,37.6,0.201
Chris Boucher,TOR,26,28,21,7,163,109.7,8.8,20.9,32.3,1.3,24.0,5.3,68.6,12.8,14.3,14.1,38.4,0.100
Chris Chiozza,HOU,23,7,6,1,33,108.8,3.3,11.1,16.7,1.1,14.3,1.1,25.0,6.6,11.1,16.6,57.5,0.105
Chris Paul,HOU,34,58,39,19,1857,104.2,4.4,12.3,18.9,2.2,31.5,0.3,10.2,11.8,9.3,9.3,37.3,0.156
Christian Wood,NOP,23,21,13,8,250,110.3,9.5,23.1,33.0,1.0,20.0,1.4,45.5,15.4,10.9,15.8,39.4,0.091
Clint Capela,HOU,25,67,44,23,2249,108.7,8.8,24.1,36.4,0.7,12.1,1.6,43.8,12.3,9.8,10.8,38.0,0.105
Cody Zeller,CHA,26,49,22,27,1243,110.9,6.5,17.1,25.8,1.1,18.7,1.2,36.3,10.4,10.6,9.2,35.2,0.081
Collin Sexton,CLE,20,82,19,63,2605,118.1,2.5,7.2,10.4,0.6,13.3,0.1,5.2,12.5,9.6,11.4,37.9,0.004
Corey Brewer,SAC,33,31,13,18,492,106.6,3.7,9.8,14.2,2.3,32.0,0.5,15.9,11.9,8.5,10.8,34.4,0.127
Cory Joseph,IND,27,82,48,34,2063,102.4,4.2,11.1,16.2,1.6,25.5,0.4,11.3,10.2,9.2,9.8,33.5,0.173
