PLAYER,TEAM,AGE,GP,W,L,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLK,BLKA,PF,PFD
Aaron McKie,PHI,26,6,2,4,16.3,0.0,0.3,0.8,0.7,3.8,4.7,4.0,8.0,0.0,0.0,2.8,0.0
Adam Keefe,UTA,29,10,5,5,10.1,0.6,2.0,0.5,3.2,4.9,2.8,2.1,7.2,0.3,0.0,1.7,0.0
Alan Henderson,ATL,26,1,1,0,4.3,0.0,0.0,0.0,0.0,2.0,0.0,7.0,8.0,0.0,0.0,1.0,0.0
Allan Houston,NYK,28,20,12,8,39.2,3.7,1.0,2.4,4.3,8.6,8.7,4.9,25.4,0.1,0.8,2.0,0.0
Allen Iverson,PHI,24,8,3,5,45.0,5.8,2.9,4.4,8.8,13.1,12.5,11.5,27.8,0.3,0.9,2.4,0.0
Alonzo Mourning,MIA,29,5,2,3,38.9,1.6,3.0,0.0,9.6,14.0,10.0,7.0,24.8,2.8,0.8,3.8,0.0
Andrae Patterson,MIN,23,2,0,2,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
Anfernee Hardaway,ORL,27,4,1,3,41.7,4.8,1.8,3.5,6.5,16.5,15.8,17.3,32.0,0.3,1.0,3.3,0.0
Anthony Johnson,ATL,24,9,3,6,12.5,0.3,0.4,0.2,1.3,5.4,2.7,3.0,7.3,0.1,0.0,1.0,0.0
Anthony Peeler,MIN,29,4,1,3,31.1,0.5,1.8,0.0,1.0,10.0,7.5,5.3,22.5,0.0,1.0,3.0,0.0
Antoine Carr,HOU,37,4,1,3,9.4,0.5,0.0,1.0,0.5,1.5,2.3,0.0,5.5,0.3,0.3,4.8,0.0
Antonio Daniels,SAS,24,15,13,2,6.9,0.1,0.1,0.1,0.3,2.3,2.5,1.1,5.2,0.0,0.1,0.5,0.0
Antonio Davis,IND,30,13,9,4,25.1,0.5,1.4,0.3,4.0,8.5,6.1,4.8,19.2,1.1,0.4,3.0,0.0
Armen Gilliam,MIL,35,3,0,3,11.6,2.3,0.7,0.7,2.0,3.0,7.3,2.3,8.7,0.3,0.7,1.3,0.0
Arvydas Sabonis,POR,34,13,7,6,30.1,1.4,1.2,0.0,4.0,8.2,5.7,7.8,18.9,1.2,0.8,2.7,0.0
Austin Croshere,IND,24,1,1,0,0.8,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Avery Johnson,SAS,34,17,15,2,38.5,2.8,0.6,1.1,4.7,11.9,10.4,5.8,24.5,0.1,0.9,1.8,0.0
B.J. Armstrong,ORL,31,2,0,2,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
Bison Dele,DET,30,5,2,3,24.4,2.8,2.8,0.8,4.4,6.4,5.6,3.4,14.8,0.4,0.2,5.0,0.0
Bo Outlaw,ORL,28,4,1,3,20.8,0.3,0.3,0.8,3.0,5.8,8.3,4.8,12.0,2.0,0.3,2.3,0.0
