PLAYER,TEAM,GP,W,L,MIN,OPP_FGM,OPP_FGA,OPP_FG_PCT,OPP_FG3M,OPP_FG3A,OPP_FG3_PCT,OPP_FTM,OPP_FTA,OPP_FT_PCT,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_PF,OPP_PFD,OPP_PTS,PLUS_MINUS
"Abrines, Alex",OKC,31,21,10,19.0,14.8,34.5,43.0,3.6,11.7,30.8,7.7,10.4,74.8,4.7,14.3,19.0,8.5,6.9,3.1,1.8,2.5,9.5,9.6,41.0,-0.9
"Acy, Quincy",PHX,10,2,8,12.3,9.0,22.1,40.7,2.4,8.1,29.6,6.6,9.0,73.3,3.0,9.5,12.5,5.2,4.8,1.6,1.2,1.6,6.6,7.6,27.0,-0.4
"Adams, Jaylen",ATL,34,13,21,12.6,10.6,22.9,46.3,3.2,9.1,35.1,6.1,8.2,74.5,2.5,10.3,12.8,6.1,4.0,2.5,1.6,1.4,4.3,6.3,30.4,1.7
"Adams, Steven",OKC,80,47,33,33.4,28.5,61.3,46.5,8.1,22.3,36.3,12.2,15.9,76.5,6.2,24.4,30.5,17.9,11.5,5.7,3.4,3.1,15.7,14.8,77.2,-4.9
"Adebayo, Bam",MIA,82,39,43,23.3,18.1,40.8,44.5,5.6,16.1,34.8,8.6,11.2,76.8,4.6,16.5,21.1,10.7,7.3,3.5,2.0,2.3,9.8,10.2,50.5,-0.3
"Adel, Deng",CLE,19,4,15,10.2,8.7,17.8,48.8,2.2,6.4,33.6,2.8,3.7,76.1,1.8,7.6,9.4,5.6,2.5,1.7,1.3,0.5,3.6,3.6,22.4,1.6
"Akoon-Purcell, DeVaughn",DEN,7,7,0,3.1,2.4,5.1,47.2,0.7,2.1,33.3,1.6,2.1,73.3,0.6,2.0,2.6,1.1,1.0,0.1,0.7,0.1,1.0,1.6,7.1,-0.1
"Aldridge, LaMarcus",SAS,81,48,33,33.2,28.4,60.7,46.7,8.0,21.7,36.8,10.7,14.0,76.3,5.9,23.7,29.7,17.0,8.1,4.5,2.6,3.2,13.4,12.7,75.4,-1.1
"Alkins, Rawle",CHI,10,3,7,12.0,10.7,22.3,48.0,3.2,8.5,37.6,3.9,5.3,73.6,1.9,9.6,11.5,6.9,2.9,1.0,2.0,0.6,4.0,4.7,28.5,1.3
"Allen, Grayson",UTA,38,22,16,11.0,10.2,20.7,49.4,2.3,6.7,34.8,3.9,5.1,75.9,2.1,8.2,10.3,5.6,2.8,1.6,0.9,1.2,5.2,4.6,26.7,3.1
"Allen, Jarrett",BKN,80,42,38,26.2,24.0,51.6,46.6,6.0,16.4,36.4,8.5,11.0,77.2,6.6,18.6,25.2,13.4,6.9,4.5,3.0,2.7,11.4,10.4,62.6,1.5
"Allen, Kadeem",NYK,19,3,16,21.9,18.3,39.7,46.2,5.3,15.0,35.4,9.0,10.9,82.2,4.3,15.6,19.9,12.2,5.4,2.8,2.5,2.9,9.6,9.4,50.9,1.9
"Aminu, Al-Farouq",POR,81,52,29,28.3,24.1,52.7,45.7,6.3,16.8,37.4,10.1,13.2,76.8,5.9,18.6,24.5,13.9,7.7,4.0,2.9,3.2,12.4,11.8,64.6,-4.7
"Anderson, Justin",ATL,48,17,31,9.7,8.4,18.2,46.3,2.4,6.8,34.9,4.7,6.3,74.7,2.0,7.6,9.6,5.1,3.0,1.9,1.0,1.2,4.6,4.5,23.9,1.6
"Anderson, Kyle",MEM,43,19,24,29.8,22.7,50.5,44.9,6.6,18.2,36.4,11.0,14.7,75.1,5.6,21.6,27.1,13.9,9.3,4.6,2.7,4.0,13.0,13.7,63.0,1.4
"Anderson, Ryan",PHX,15,3,12,18.5,15.5,33.1,46.7,3.7,11.7,31.3,6.8,8.9,76.7,3.3,12.8,16.1,10.0,4.3,3.7,2.3,1.1,9.0,9.1,41.4,5.5
"Anderson, Ryan",MIA,10,4,6,4.4,2.6,7.1,36.6,1.2,3.9,30.8,2.4,2.8,85.7,0.9,2.9,3.8,2.1,1.6,0.7,0.5,0.3,1.8,1.7,8.8,-0.9
"Anigbogu, Ike",IND,3,2,1,2.1,2.0,4.3,46.2,0.3,1.7,20.0,0.0,0.7,0.0,1.3,2.0,3.3,1.3,0.7,0.0,0.0,0.3,0.3,0.3,4.3,0.7
"Antetokounmpo, Giannis",MIL,72,56,16,32.8,27.1,63.0,43.0,8.8,24.3,36.2,10.1,13.5,74.7,6.4,23.7,30.1,16.4,9.4,4.3,3.4,4.6,15.0,13.3,73.1,-9.1
"Antetokounmpo, Kostas",DAL,2,1,1,5.3,3.5,7.5,46.7,1.0,3.5,28.6,2.0,3.0,66.7,0.5,3.0,3.5,1.5,2.5,1.5,0.5,0.0,3.0,3.0,10.0,-1.5
"Anthony, Carmelo",HOU,10,4,6,29.4,24.0,51.1,47.0,6.2,17.3,35.8,14.6,17.6,83.0,6.1,22.3,28.4,12.6,9.0,4.3,3.1,4.2,12.1,14.9,68.8,6.3
"Anunoby, OG",TOR,67,46,21,20.2,16.9,36.5,46.4,4.2,12.1,35.0,8.0,10.6,75.8,4.1,14.9,19.0,10.3,6.6,3.2,2.3,2.2,8.7,9.7,46.2,0.7
"Arcidiacono, Ryan",CHI,81,22,59,24.2,20.9,44.2,47.3,5.9,16.3,36.3,7.8,10.5,74.7,5.1,18.3,23.4,12.5,6.9,3.3,2.9,2.1,9.3,10.0,55.5,3.1
"Ariza, Trevor",WAS,43,18,25,34.1,31.0,63.3,49.0,8.8,22.6,38.9,12.1,15.7,77.4,7.5,25.1,32.6,18.9,10.7,5.6,2.7,2.7,14.2,13.8,83.0,1.3
"Ariza, Trevor",PHX,26,4,22,34.0,30.3,60.5,50.1,6.9,20.2,34.0,14.0,18.9,74.3,7.2,25.9,33.1,18.7,10.2,6.5,3.1,2.8,12.9,16.3,81.6,10.7
"Augustin, D.J.",ORL,81,42,39,28.0,23.7,50.9,46.5,6.1,16.9,35.9,8.4,10.8,77.4,5.2,20.1,25.2,13.9,7.4,4.1,2.5,3.0,10.6,9.6,61.7,-2.1
"Ayton, Deandre",PHX,71,17,54,30.7,27.1,55.0,49.2,6.8,18.8,36.2,12.7,16.5,76.7,6.8,22.5,29.3,16.5,10.0,6.1,3.1,2.7,12.3,14.4,73.6,5.4
"Bacon, Dwayne",CHA,43,20,23,17.6,15.4,32.7,47.2,4.7,12.7,37.4,5.7,7.1,81.3,3.6,13.1,16.7,10.1,4.6,2.1,2.1,1.7,7.0,6.5,41.3,0.5
"Bagley III, Marvin",SAC,62,30,32,25.3,22.2,48.1,46.2,6.5,19.3,33.7,9.9,13.0,75.7,6.1,18.7,24.8,12.8,7.5,3.9,2.6,2.4,11.6,11.3,60.9,1.7
"Baker, Ron",WAS,4,2,2,11.4,9.3,20.0,46.3,0.8,4.5,16.7,4.3,5.5,77.3,2.8,9.0,11.8,4.8,4.5,3.3,1.8,1.3,5.8,5.0,23.5,4.8
"Baker, Ron",NYK,11,2,9,9.7,7.4,16.3,45.3,1.9,6.0,31.8,3.6,4.5,81.6,1.5,8.0,9.5,3.7,4.1,1.8,1.0,0.9,5.5,4.3,20.3,0.1
"Baldwin IV, Wade",POR,16,10,6,5.9,5.4,11.6,46.2,1.9,5.4,35.6,1.8,2.3,75.7,1.7,4.9,6.6,3.1,1.4,1.0,0.8,0.4,1.9,2.0,14.4,4.1
"Ball, Lonzo",LAL,47,25,22,30.3,26.5,59.2,44.7,7.3,20.3,35.8,9.7,12.2,79.4,6.9,22.8,29.7,15.0,8.9,5.6,3.4,3.7,12.8,12.0,69.9,0.3
"Bamba, Mo",ORL,47,19,28,16.3,13.5,29.5,45.7,3.9,10.2,38.0,6.2,8.2,75.3,3.5,13.4,16.9,7.6,4.7,2.5,1.4,2.3,6.3,7.3,37.0,5.1
"Barea, J.J.",DAL,38,20,18,19.8,16.4,35.7,46.0,4.4,12.3,36.2,7.6,9.8,77.6,3.8,13.5,17.3,9.9,6.3,3.0,1.7,2.3,11.0,9.2,44.9,-1.5
"Barnes, Harrison",DAL,49,23,26,32.3,28.0,61.1,45.8,6.8,20.9,32.8,10.9,14.3,76.3,7.3,23.0,30.3,16.2,8.4,6.1,3.1,2.8,15.8,12.3,73.7,1.6
"Barnes, Harrison",SAC,28,11,17,33.9,30.1,65.0,46.3,8.4,24.9,33.7,12.8,16.3,78.9,6.9,27.2,34.1,17.5,9.9,4.2,3.9,3.0,13.8,13.7,81.4,-0.9
"Barton, Will",DEN,43,27,16,27.7,23.5,50.4,46.6,6.3,18.7,33.7,9.7,12.5,78.0,5.6,19.0,24.6,14.7,7.8,4.5,2.3,2.4,11.4,11.3,63.0,-0.2
"Bates-Diop, Keita",MIN,30,10,20,16.8,14.9,31.4,47.3,4.2,11.9,35.1,5.6,7.4,76.5,4.1,12.8,16.9,9.4,4.9,2.0,1.8,1.8,7.0,6.8,39.5,1.8
"Batum, Nicolas",CHA,75,35,40,31.4,27.1,58.2,46.6,7.7,21.7,35.6,10.0,12.6,78.9,6.8,23.0,29.9,16.9,8.9,4.7,4.1,3.4,13.2,12.3,71.9,0.3
"Bayless, Jerryd",MIN,34,15,19,19.3,17.0,34.6,49.0,5.8,13.8,42.1,7.2,9.5,75.9,4.2,13.6,17.9,10.9,5.5,2.5,2.3,1.7,7.9,8.6,47.0,4.7
"Baynes, Aron",BOS,51,32,19,16.1,13.0,29.2,44.6,3.7,10.7,34.6,5.6,7.3,77.2,3.4,11.5,14.9,7.9,5.4,2.5,1.3,1.6,6.5,6.7,35.3,-2.5
"Bazemore, Kent",ATL,67,24,43,24.5,21.4,46.1,46.3,6.4,17.9,35.6,10.8,14.6,73.9,5.9,18.7,24.6,13.2,8.2,4.9,2.8,3.0,11.7,12.4,59.9,4.4
"Beal, Bradley",WAS,82,32,50,36.9,33.3,69.2,48.1,9.4,25.2,37.4,13.7,17.3,78.8,8.6,27.2,35.8,20.1,11.8,5.8,3.3,3.4,15.9,15.6,89.7,1.4
"Beasley, Malik",DEN,81,53,28,23.2,19.4,41.7,46.4,5.5,15.5,35.2,8.1,11.0,73.5,4.8,15.9,20.8,11.9,6.5,3.4,2.6,2.0,9.8,9.6,52.3,-1.7
"Beasley, Michael",LAL,26,11,15,10.7,9.3,20.7,44.8,2.7,8.3,32.7,3.8,4.8,80.0,2.8,7.8,10.6,5.7,2.9,1.6,1.2,1.2,4.4,4.7,25.1,1.5
"Belinelli, Marco",SAS,79,46,33,23.0,20.2,43.8,46.1,5.5,15.7,35.1,8.0,10.5,76.7,4.8,16.9,21.7,11.7,5.6,3.5,1.9,2.2,9.7,9.1,54.0,-0.4
