PLAYER,TEAM,AGE,GP,W,L,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM
A.C. Green,DAL,33,83,23,60,30.1,95.9,4.1,78.1,28.5,0.5,13.4,21.4,16.8,49.6,70.4,29.6,0.0,100,70.1,29.9
A.C. Green,DAL,33,83,23,60,30.1,95.9,4.1,78.1,28.5,0.5,13.4,21.4,16.8,49.6,70.4,29.6,0.0,100,70.1,29.9
A.C. Green,DAL,33,83,23,60,30.1,95.9,4.1,78.1,28.5,0.5,13.4,21.4,16.8,49.6,70.4,29.6,0.0,100,70.1,29.9
A.C. Green,DAL,33,83,23,60,30.1,95.9,4.1,78.1,28.5,0.5,13.4,21.4,16.8,49.6,70.4,29.6,0.0,100,70.1,29.9
A.C. Green,DAL,33,83,23,60,30.1,95.9,4.1,78.1,28.5,0.5,13.4,21.4,16.8,49.6,70.4,29.6,0.0,100,70.1,29.9
A.C. Green,DAL,33,83,23,60,30.1,95.9,4.1,78.1,28.5,0.5,13.4,21.4,16.8,49.6,70.4,29.6,0.0,100,70.1,29.9
A.C. Green,DAL,33,83,23,60,30.1,95.9,4.1,78.1,28.5,0.5,13.4,21.4,16.8,49.6,70.4,29.6,0.0,100,70.1,29.9
A.C. Green,DAL,33,83,23,60,30.1,95.9,4.1,78.1,28.5,0.5,13.4,21.4,16.8,49.6,70.4,29.6,0.0,100,70.1,29.9
A.C. Green,DAL,33,83,23,60,30.1,95.9,4.1,78.1,28.5,0.5,13.4,21.4,16.8,49.6,70.4,29.6,0.0,100,70.1,29.9
A.C. Green,DAL,33,83,23,60,30.1,95.9,4.1,78.1,28.5,0.5,13.4,21.4,16.8,49.6,70.4,29.6,0.0,100,70.1,29.9
A.C. Green,DAL,33,83,23,60,30.1,95.9,4.1,78.1,28.5,0.5,13.4,21.4,16.8,49.6,70.4,29.6,0.0,100,70.1,29.9
A.C. Green,DAL,33,83,23,60,30.1,95.9,4.1,78.1,28.5,0.5,13.4,21.4,16.8,49.6,70.4,29.6,0.0,100,70.1,29.9
A.C. Green,DAL,33,83,23,60,30.1,95.9,4.1,78.1,28.5,0.5,13.4,21.4,16.8,49.6,70.4,29.6,0.0,100,70.1,29.9
A.C. Green,DAL,33,83,23,60,30.1,95.9,4.1,78.1,28.5,0.5,13.4,21.4,16.8,49.6,70.4,29.6,0.0,100,70.1,29.9
A.C. Green,DAL,33,83,23,60,30.1,95.9,4.1,78.1,28.5,0.5,13.4,21.4,16.8,49.6,70.4,29.6,0.0,100,70.1,29.9
A.C. Green,DAL,33,83,23,60,30.1,95.9,4.1,78.1,28.5,0.5,13.4,21.4,16.8,49.6,70.4,29.6,0.0,100,70.1,29.9
A.C. Green,DAL,33,83,23,60,30.1,95.9,4.1,78.1,28.5,0.5,13.4,21.4,16.8,49.6,70.4,29.6,0.0,100,70.1,29.9
A.C. Green,DAL,33,83,23,60,30.1,95.9,4.1,78.1,28.5,0.5,13.4,21.4,16.8,49.6,70.4,29.6,0.0,100,70.1,29.9
A.C. Green,DAL,33,83,23,60,30.1,95.9,4.1,78.1,28.5,0.5,13.4,21.4,16.8,49.6,70.4,29.6,0.0,100,70.1,29.9
A.C. Green,DAL,33,83,23,60,30.1,95.9,4.1,78.1,28.5,0.5,13.4,21.4,16.8,49.6,70.4,29.6,0.0,100,70.1,29.9
A.C. Green,DAL,33,83,23,60,30.1,95.9,4.1,78.1,28.5,0.5,13.4,21.4,16.8,49.6,70.4,29.6,0.0,100,70.1,29.9
A.C. Green,DAL,33,83,23,60,30.1,95.9,4.1,78.1,28.5,0.5,13.4,21.4,16.8,49.6,70.4,29.6,0.0,100,70.1,29.9
Aaron McKie,DET,24,83,48,35,19.6,71.8,28.2,50.3,14.8,28.4,18.9,21.2,22.4,35.6,39.4,60.6,87.8,12.2,52.7,47.3
Aaron McKie,DET,24,83,48,35,19.6,71.8,28.2,50.3,14.8,28.4,18.9,21.2,22.4,35.6,39.4,60.6,87.8,12.2,52.7,47.3
Aaron McKie,DET,24,83,48,35,19.6,71.8,28.2,50.3,14.8,28.4,18.9,21.2,22.4,35.6,39.4,60.6,87.8,12.2,52.7,47.3
Aaron McKie,DET,24,83,48,35,19.6,71.8,28.2,50.3,14.8,28.4,18.9,21.2,22.4,35.6,39.4,60.6,87.8,12.2,52.7,47.3
Aaron McKie,DET,24,83,48,35,19.6,71.8,28.2,50.3,14.8,28.4,18.9,21.2,22.4,35.6,39.4,60.6,87.8,12.2,52.7,47.3
Aaron McKie,DET,24,83,48,35,19.6,71.8,28.2,50.3,14.8,28.4,18.9,21.2,22.4,35.6,39.4,60.6,87.8,12.2,52.7,47.3
Aaron McKie,DET,24,83,48,35,19.6,71.8,28.2,50.3,14.8,28.4,18.9,21.2,22.4,35.6,39.4,60.6,87.8,12.2,52.7,47.3
Aaron McKie,DET,24,83,48,35,19.6,71.8,28.2,50.3,14.8,28.4,18.9,21.2,22.4,35.6,39.4,60.6,87.8,12.2,52.7,47.3
Aaron McKie,DET,24,83,48,35,19.6,71.8,28.2,50.3,14.8,28.4,18.9,21.2,22.4,35.6,39.4,60.6,87.8,12.2,52.7,47.3
