PLAYER,TEAM,AGE,GP,W,L,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM
A.C. Green,DAL,35,50,19,31,18.5,96.9,3.1,87.8,50.4,0.0,10.6,12.2,8.9,37.4,80.6,19.4,0.0,0.0,80.6,19.4
Aaron McKie,PHI,26,50,28,22,19.2,86.9,13.1,74.2,54.2,7.5,17.1,18.3,25.4,20.0,61.8,38.2,100,0.0,64.2,35.8
Aaron Williams,SEA,27,40,19,21,11.5,99.2,0.8,65.8,6.3,0.0,6.3,34.2,13.3,59.5,78.8,21.2,0.0,0.0,78.8,21.2
Adam Keefe,UTA,29,44,32,12,14.6,96.8,3.2,64.4,13.8,0.0,17.8,35.6,19.5,50.6,87.5,12.5,0.0,0.0,87.5,12.5
Adonal Foyle,GSW,24,44,16,28,13.9,100,0.0,80.6,1.6,0.0,10.9,19.4,10.9,79.1,44.2,55.8,0.0,0.0,44.2,55.8
Adonis Jordan,MIL,28,4,2,2,4.6,50.0,50.0,66.7,66.7,0.0,16.7,33.3,16.7,0.0,0.0,100,0.0,0.0,0.0,100
Al Harrington,IND,19,21,11,10,7.6,91.1,8.9,80.0,17.8,0.0,22.2,20.0,11.1,62.2,44.4,55.6,0.0,0.0,44.4,55.6
Alan Henderson,ATL,26,38,22,16,30.0,99.8,0.2,78.9,23.2,0.0,13.7,21.1,14.6,55.7,54.5,45.5,0.0,0.0,54.5,45.5
Allan Houston,NYK,28,50,27,23,36.3,80.1,19.9,58.3,37.4,21.0,10.8,20.7,16.9,20.9,51.5,48.5,93.0,7.0,59.5,40.5
Allen Iverson,PHI,24,48,28,20,41.5,81.2,18.8,58.7,25.9,13.6,25.5,27.7,25.2,32.9,41.1,58.9,79.3,20.7,46.2,53.8
Alonzo Mourning,MIA,29,46,32,14,38.2,99.7,0.3,70.1,19.9,0.0,5.0,29.9,14.7,50.2,64.5,35.5,0.0,0.0,64.5,35.5
