PLAYER,TEAM,AGE,Restricted Area FGM,Restricted Area FGA,Restricted Area FG PCT,In The Paint (Non-RA) FGM,In The Paint (Non-RA) FGA,In The Paint (Non-RA) FG PCT,Mid-Range FGM,Mid-Range FGA,Mid-Range FG PCT,Left Corner 3 FGM,Left Corner 3 FGA,Left Corner 3 FG PCT,Right Corner 3 FGM,Right Corner 3 FGA,Right Corner 3 FG PCT,Corner 3 FGM,Corner 3 FGA,Corner 3 FG PCT,Above the Break 3 FGM,Above the Break 3 FGA,Above the Break 3 FG PCT
Aaron McKie,PHI,26,0.3,0.5,66.7,0.0,1.0,0.0,0.8,2.2,38.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.2,0.0
Adam Keefe,UTA,29,1.5,1.9,78.9,0.1,0.3,33.3,0.2,0.9,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Alan Henderson,ATL,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,0.0,0.0,-,0.0,0.0,0.0
Allan Houston,NYK,28,1.4,2.9,46.6,0.8,1.7,48.5,4.2,8.9,46.6,0.0,0.0,0.0,0.1,0.1,50.0,0.1,0.1,100,0.4,1.7,24.2
Allen Iverson,PHI,24,2.9,6.0,47.9,1.5,2.6,57.1,4.8,11.5,41.3,0.1,0.7,20.0,0.0,0.1,0.0,0.1,0.8,12.5,1.8,5.9,29.8
Alonzo Mourning,MIA,29,3.4,4.8,70.8,1.4,3.8,36.8,2.8,6.0,46.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Andrae Patterson,MIN,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Anfernee Hardaway,ORL,27,2.5,4.3,58.8,0.8,2.0,37.5,0.3,4.8,5.3,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.7,0.0,1.5,2.5,60.0
Anthony Johnson,ATL,24,0.6,1.1,50.0,0.1,0.4,25.0,0.1,1.4,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.1,0.2,50.0
Anthony Peeler,MIN,29,0.5,2.5,20.0,0.0,0.0,0.0,1.0,3.0,33.3,0.3,0.5,50.0,0.5,0.5,100,0.8,1.0,80.0,0.5,2.3,22.2
Antoine Carr,HOU,37,0.0,0.0,0.0,0.3,0.8,33.3,0.8,2.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Antonio Daniels,SAS,24,0.1,0.3,40.0,0.0,0.2,0.0,0.2,0.6,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.3,0.5,66.7
Antonio Davis,IND,30,1.6,2.7,60.0,0.4,1.3,29.4,0.4,1.8,21.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Armen Gilliam,MIL,35,0.3,1.0,33.3,0.7,2.3,28.6,1.0,1.7,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0
Arvydas Sabonis,POR,34,1.2,2.2,51.7,0.8,2.4,35.5,1.4,3.7,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.1,0.4,20.0
Austin Croshere,IND,24,0.0,0.0,0.0,-,-,-,0.0,1.0,0.0,-,-,-,-,-,-,0.0,0.0,-,-,-,-
