PLAYER,TEAM,AGE,Less Than 5 ft. FGM,Less Than 5 ft. FGA,Less Than 5 ft. FG PCT,5-9 ft. FGM,5-9 ft. FGA,5-9 ft. FG PCT,10-14 ft. FGM,10-14 ft. FGA,10-14 ft. FG PCT,15-19 ft. FGM,15-19 ft. FGA,15-19 ft. FG PCT,20-24 ft. FGM,20-24 ft. FGA,20-24 ft. FG PCT,25-29 ft. FGM,25-29 ft. FGA,25-29 ft. FG PCT
A.C. Green,DAL,35,0.8,1.5,51.3,0.1,0.2,50.0,0.2,0.6,25.8,1.0,2.4,44.0,0.1,0.4,29.4,0.0,0.1,0.0
Aaron McKie,PHI,26,0.4,0.7,60.0,0.1,0.3,31.3,0.1,0.7,17.6,0.8,1.8,46.0,0.4,1.0,40.4,0.1,0.4,23.5
Aaron Williams,SEA,27,1.0,1.8,53.4,0.2,0.7,26.9,0.1,0.3,16.7,0.1,0.2,33.3,0.0,0.1,50.0,0.0,0.0,0.0
Adam Keefe,UTA,29,0.9,1.7,53.4,0.1,0.3,26.7,0.1,0.1,50.0,0.2,0.5,40.9,0.0,0.1,16.7,0.0,0.1,0.0
Adonal Foyle,GSW,24,1.1,2.1,51.6,0.1,0.5,18.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adonis Jordan,MIL,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,100,0.3,1.0,33.3,0.0,0.0,0.0
Al Harrington,IND,19,0.5,1.2,38.5,0.3,0.7,40.0,0.1,0.8,16.7,0.1,0.1,50.0,0.1,0.2,50.0,0.0,0.3,0.0
Alan Henderson,ATL,26,2.8,4.7,58.3,1.0,2.8,37.1,0.8,2.4,32.6,0.3,1.2,28.9,0.0,0.0,0.0,0.0,0.0,0.0
Allan Houston,NYK,28,1.4,2.6,53.5,0.3,1.3,26.6,0.9,2.4,39.8,1.6,3.7,41.7,1.3,3.1,42.0,0.3,0.9,37.0
Allen Iverson,PHI,24,4.0,6.9,57.4,0.4,1.7,21.0,1.0,2.8,36.8,2.1,5.3,39.7,1.1,2.9,36.4,0.5,2.2,24.5
Alonzo Mourning,MIA,29,4.1,6.3,64.7,1.1,2.4,45.0,1.1,2.6,40.5,0.7,2.2,33.3,0.1,0.2,37.5,0.0,0.0,0.0
Alvin Sims,PHX,24,0.8,1.5,50.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.3,100
Alvin Williams,TOR,24,0.7,1.3,49.3,0.1,0.4,33.3,0.2,0.6,36.7,0.3,0.9,34.8,0.4,1.2,32.3,0.2,0.3,69.2
Andrae Patterson,MIN,23,0.8,1.2,68.3,0.2,0.7,26.3,0.1,0.3,25.0,0.2,0.6,27.8,0.1,0.4,30.0,0.0,0.0,0.0
Andrew DeClercq,CLE,26,2.5,4.7,54.1,0.2,0.7,35.5,0.1,0.3,40.0,0.0,0.2,20.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Gaze,SAS,33,0.1,0.1,100,0.1,0.1,100,0.0,0.0,0.0,0.1,0.3,25.0,0.3,0.6,40.0,0.1,0.8,11.1
Andrew Lang,CHI,33,0.5,1.6,33.3,0.4,1.3,32.1,0.2,0.9,21.1,0.4,0.9,42.1,0.0,0.0,0.0,0.0,0.0,0.0
