PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PF,NBA_FANTASY_PTS,DD2,TD3,PLUS_MINUS
A.C. Green,DAL,35,50,19,31,923,12.8,5.6,13.3,42.2,0.0,0.4,0.0,1.6,2.7,57.7,4.3,7.6,11.9,1.3,1.0,1.5,0.4,3.6,33.6,4,0,-4.3
Aaron McKie,PHI,26,50,28,22,959,12.0,4.8,11.9,40.1,0.3,1.6,19.4,2.2,3.1,71.0,1.4,5.7,7.0,5.0,2.9,3.2,0.2,4.5,35.0,0,0,-3.3
Aaron Williams,SEA,27,40,19,21,459,16.5,5.4,12.9,42.3,0.0,0.1,0.0,5.6,7.7,73.0,5.6,7.7,13.4,2.3,3.1,1.5,2.5,7.8,44.8,0,0,-10.2
Adam Keefe,UTA,29,44,32,12,643,13.0,4.2,9.3,45.2,0.0,0.3,0.0,4.6,6.6,69.7,3.8,6.8,10.6,2.1,2.5,1.2,0.9,4.7,32.7,0,0,3.9
Adonal Foyle,GSW,24,44,16,28,612,10.1,4.1,9.5,43.0,0.0,0.0,0.0,2.0,4.0,49.0,6.2,9.0,15.2,1.4,2.4,1.2,3.4,7.1,41.7,1,0,-3.4
Adonis Jordan,MIL,28,4,2,2,19,15.5,5.2,10.3,50.0,0.0,5.2,0.0,5.2,10.3,50.0,0.0,0.0,0.0,7.7,5.2,7.7,0.0,0.0,45.2,0,0,-41.3
Al Harrington,IND,19,21,11,10,159,13.6,5.4,16.9,32.1,0.0,1.5,0.0,2.7,4.5,60.0,6.0,5.7,11.8,1.5,3.3,1.2,0.6,7.8,32.1,0,0,-7.5
Alan Henderson,ATL,26,38,22,16,1142,19.9,7.9,17.8,44.2,0.0,0.0,0.0,4.2,6.3,67.1,4.2,6.3,10.5,1.1,2.4,1.4,0.8,4.0,38.4,4,0,-2.9
Allan Houston,NYK,28,50,27,23,1814,21.5,7.8,18.6,41.8,1.5,3.7,40.7,4.4,5.2,86.2,0.5,3.5,4.0,3.6,3.4,0.9,0.2,3.0,31.8,0,0,1.5
Allen Iverson,PHI,24,48,28,20,1991,31.0,10.5,25.5,41.2,1.4,4.8,29.1,8.6,11.4,75.1,1.6,4.1,5.7,5.4,4.0,2.7,0.2,2.4,50.3,4,0,4.5
Alonzo Mourning,MIA,29,46,32,14,1755,25.3,8.9,17.3,51.2,0.0,0.1,0.0,7.5,11.6,65.2,4.5,9.3,13.9,2.0,3.8,0.9,4.9,4.4,58.7,29,0,9.3
Alvin Sims,PHX,24,4,2,2,25,20.9,7.6,19.0,40.0,1.9,1.9,100,3.8,9.5,40.0,5.7,1.9,7.6,9.5,11.4,3.8,0.0,3.8,44.3,0,0,-22.8
Alvin Williams,TOR,24,50,23,27,1051,11.3,4.3,10.8,40.1,0.6,1.9,33.3,2.0,2.4,84.6,0.9,2.9,3.7,5.9,2.6,2.3,0.5,4.3,30.8,0,0,-3.2
Andrae Patterson,MIN,23,35,17,18,284,19.3,7.3,16.4,44.3,0.0,0.8,0.0,4.7,6.1,77.8,5.1,5.9,11.0,2.5,3.7,3.2,1.2,10.5,45.8,0,0,-3.4
Andrew DeClercq,CLE,26,47,20,27,1102,16.2,6.0,12.0,50.0,0.0,0.0,0.0,4.1,6.1,67.4,4.5,6.6,11.1,1.4,2.4,2.2,1.3,7.0,39.5,2,0,-2.1
Andrew Gaze,SAS,33,19,16,3,56,17.9,6.8,21.3,32.0,4.3,13.7,31.3,0.0,0.0,0.0,1.7,2.6,4.3,5.1,3.4,1.7,0.9,6.0,35.0,0,0,27.3
