PLAYER,TEAM,AGE,GP,W,L,MIN,USG_PCT,PCT_FGM,PCT_FGA,PCT_FG3M,PCT_FG3A,PCT_FTM,PCT_FTA,PCT_OREB,PCT_DREB,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_BLKA,PCT_PF,PCT_PFD,PCT_PTS
A.C. Green,DAL,35,50,19,31,923.0,14.4,15.6,16.1,0.0,3.6,11.5,13.5,30.6,25.8,27.4,6.5,7.6,22.4,7.5,17.9,19.6,0.3,14.3
Aaron McKie,PHI,26,50,28,22,959.0,14.8,14.8,15.9,17.6,18.7,10.0,10.1,9.9,20.3,16.8,27.1,16.2,29.6,3.9,5.5,18.2,0.0,13.7
Aaron Williams,SEA,27,40,19,21,459.0,17.4,18.2,17.4,0.0,0.7,26.2,23.5,42.9,27.7,32.6,12.3,16.4,17.5,47.1,25.6,34.4,0.0,19.2
Adam Keefe,UTA,29,44,32,12,643.0,14.2,12.9,12.9,0.0,4.8,19.1,20.7,30.5,22.0,24.4,9.7,14.3,16.7,19.7,24.3,20.5,0.0,14.3
Adonal Foyle,GSW,24,44,16,28,612.0,12.1,12.4,11.6,0.0,0.0,12.0,16.7,38.2,28.0,31.4,7.7,14.8,14.2,59.7,22.5,27.6,0.0,12.0
Adonis Jordan,MIL,28,4,2,2,19.0,19.0,15.4,12.5,0.0,28.6,28.6,36.4,0.0,0.0,0.0,30.0,40.0,75.0,0.0,0.0,0.0,0.0,17.1
Al Harrington,IND,19,21,11,10,159.0,20.0,17.6,21.3,0.0,13.5,15.5,17.9,35.1,20.0,25.7,8.9,21.6,16.7,20.0,37.5,27.4,0.0,16.4
Alan Henderson,ATL,26,38,22,16,1142.0,22.0,25.0,23.6,0.0,0.4,22.4,24.1,30.1,21.8,24.5,7.5,15.5,20.4,14.4,38.7,20.4,0.0,23.3
Allan Houston,NYK,28,50,27,23,1814.0,23.5,24.5,25.1,35.8,31.6,24.6,21.1,4.9,11.3,9.7,18.8,21.5,12.4,4.5,21.8,13.5,0.0,25.1
Allen Iverson,PHI,24,48,28,20,1991.0,31.8,31.4,32.7,69.9,63.2,39.3,38.2,11.1,14.4,13.3,28.6,25.4,24.5,3.1,25.7,10.6,0.0,34.1
Alonzo Mourning,MIA,29,46,32,14,1755.0,26.8,27.3,24.4,0.0,0.3,39.3,43.8,45.0,30.5,34.1,9.7,26.3,14.0,73.5,32.3,22.1,0.2,28.1
Alvin Sims,PHX,24,4,2,2,25.0,26.1,21.1,21.7,50.0,25.0,28.6,45.5,23.1,8.3,16.0,41.7,37.5,100,0.0,66.7,16.7,0.0,23.4
